,x,y,z,t,HCP0.5f90000.165,PRP0.6f9000h0.165,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP0.5f9000h0.165_inph,PRP0.6f9000h0.165_inph,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,name,ID,x_clhs,y_clhs
5110,107719.9979,183326.6793,26.1909152,40954.67,56.35169266739968,60.08414500808889,53.42588479290067,69.5160374791226,38.61468971282981,59.16462462005028,0.99,0.96,1.04,0.15,1.31,-3.69,p_clhs1,1,107719.853,183326.516
19193,107755.6395,183331.2104,26.8825864,42473.18,15.69298424259862,20.581616971034183,22.329552086336108,24.625304221029893,32.82462043548812,30.537492105936185,0.97,1.04,1.01,0.45,1.3,-2.5,p_clhs2,2,107755.838,183331.095
22305,107797.4476,183278.6469,28.4585888,42812.37,99.61229618804752,70.69626209693574,125.75478973096992,94.33861969049406,139.26706565804133,126.98369151618554,0.96,1.04,1.06,0.49,1.71,-2.57,p_clhs3,3,107797.963,183278.886
19301,107764.0831,183318.0822,27.3495328,42491.47,7.731077244756191,16.559856143445508,10.006285057775704,17.152473945645713,26.92820655455459,16.266942205258665,0.97,1.04,1.01,0.44,1.32,-2.91,p_clhs4,4,107764.388,183318.416
1500,107723.0048,183309.1898,26.586,40592.63,69.97382165422823,68.5004804063475,65.23290287744285,80.28469659991156,43.08165872581043,70.83900423003733,1.0,0.97,1.02,0.25,1.31,-3.02,p_clhs5,5,107723.617,183309.551
13678,107742.871,183330.0981,26.672,41813.46,29.063052913154685,30.82020460846088,34.23555524526541,40.04613080940365,34.86136981549575,43.11933102329375,0.97,1.01,1.0,0.31,1.29,-3.14,p_clhs6,6,107742.174,183329.651
25045,107806.7161,183274.99,28.6110368,43087.25,80.64433827690294,58.254680833560215,110.23315961457996,77.94323909303215,139.46084048366515,115.99009146997103,0.96,1.01,1.07,0.45,1.76,-2.9,p_clhs7,7,107806.339,183274.885
15655,107758.6659,183312.5732,27.35,42107.27,14.628410726682008,23.50672603512894,18.651054383386576,26.49391407202521,31.471006256132576,28.823507530468486,0.98,1.01,1.02,0.39,1.36,-2.79,p_clhs8,8,107758.704,183312.634
21719,107775.383,183309.8767,27.65,42753.74,54.99328053549598,40.32922965784708,71.27211995836137,55.711727361314416,82.8391342189358,76.58741820985718,0.96,1.03,1.01,0.44,1.4,-2.77,p_clhs9,9,107775.993,183310.289
5072,107726.3815,183318.7508,26.563,40950.86,80.37026400040281,72.89213302944692,81.9970041775892,91.9956833560452,55.09249962779661,91.74669907664438,0.99,0.98,1.01,0.24,1.37,-3.35,p_clhs10,10,107726.74,183319.096
22699,107766.4694,183327.2822,27.1940128,42851.76,13.5646892747165,16.559856143445508,20.391574306565698,20.421520059826356,36.56436641682962,24.82581911198176,0.95,1.04,1.01,0.52,1.29,-2.6,p_clhs11,11,107766.796,183327.428
19391,107777.0025,183299.3846,27.85,42500.46,52.27862476228688,35.57450514523888,74.30037449403083,51.26811006947504,93.84631327526957,78.88805967777934,0.97,1.03,1.02,0.43,1.45,-2.6,p_clhs12,12,107777.193,183299.459
9624,107752.314,183298.7686,27.45,41407.83,63.1542911111864,58.254680833560215,71.27211995836137,73.96332806859655,60.7363989955575,79.65510213760747,0.99,1.0,1.04,0.22,1.4,-3.37,p_clhs13,13,107751.848,183298.452
9755,107732.7209,183327.4299,26.5541536,41420.95,51.73604523280692,41.79230698454023,63.22506231228517,60.39018770103444,64.82073414567276,73.71264153852347,0.99,0.99,1.03,0.17,1.36,-3.48,p_clhs14,14,107732.833,183327.555
16993,107776.5235,183291.4178,27.95,42241.07,70.79326598704814,52.40081366873415,90.95239205642471,70.68629055446982,102.00872737067876,91.17045352149783,0.98,1.0,1.05,0.26,1.59,-3.59,p_clhs15,15,107776.559,183291.247
