Z,Resistivity(ohm.m),easting,northing,nb_electrode
<<<<<<< HEAD
-4.7,3.93431,41665.091,204320.014,1.0
-4.5,4.18575,41665.091,204320.014,1.0
-4.3,4.48592,41665.091,204320.014,1.0
-4.1,4.75959,41665.091,204320.014,1.0
-4.0,4.79003,41665.091,204320.014,1.0
-3.8,5.1804,41665.091,204320.014,1.0
-3.6,5.55428,41665.091,204320.014,1.0
-3.4,6.08521,41665.091,204320.014,1.0
-3.3,6.18072,41665.091,204320.014,1.0
-3.0,6.80026,41665.091,204320.014,1.0
-2.8,7.44704,41665.091,204320.014,1.0
-2.7,7.81379,41665.091,204320.014,1.0
-2.5,8.64531,41665.091,204320.014,1.0
-2.4,9.12797,41665.091,204320.014,1.0
-2.1,10.18544,41665.091,204320.014,1.0
-2.0,10.79967,41665.091,204320.014,1.0
-1.8,12.14869,41665.091,204320.014,1.0
-1.6,12.864045,41665.091,204320.014,1.0
-1.4,14.378885,41665.091,204320.014,1.0
-1.3,15.15186,41665.091,204320.014,1.0
-1.1,16.70391,41665.091,204320.014,1.0
-1.0,17.476354999999998,41665.091,204320.014,1.0
-0.8,18.88939,41665.091,204320.014,1.0
-0.7,19.48796,41665.091,204320.014,1.0
-0.5,21.09651,41665.091,204320.014,1.0
-0.3,20.718580000000003,41665.091,204320.014,1.0
-0.2,23.053685,41665.091,204320.014,1.0
-0.1,23.74002,41665.091,204320.014,1.0
-0.0,25.52717,41665.091,204320.014,1.0
-4.9,3.66683,41665.283,204319.552,2.0
-4.7,3.780565,41665.283,204319.552,2.0
-4.5,4.03115,41665.283,204319.552,2.0
-4.3,4.32577,41665.283,204319.552,2.0
-4.1,4.6148050000000005,41665.283,204319.552,2.0
-4.0,4.6399,41665.283,204319.552,2.0
-3.8,5.1804,41665.283,204319.552,2.0
-3.7,4.87211,41665.283,204319.552,2.0
-3.6,5.397525,41665.283,204319.552,2.0
-3.4,5.741923333333333,41665.283,204319.552,2.0
-3.3,5.99926,41665.283,204319.552,2.0
-3.1,6.37515,41665.283,204319.552,2.0
-3.0,6.724733333333333,41665.283,204319.552,2.0
-2.8,7.349799999999999,41665.283,204319.552,2.0
-2.7,7.742265,41665.283,204319.552,2.0
-2.5,8.574819999999999,41665.283,204319.552,2.0
-2.4,9.12797,41665.283,204319.552,2.0
-2.3,8.961835,41665.283,204319.552,2.0
-2.1,10.1134,41665.283,204319.552,2.0
-2.0,10.78406,41665.283,204319.552,2.0
-1.8,12.14869,41665.283,204319.552,2.0
-1.7,12.33693,41665.283,204319.552,2.0
-1.6,13.027086666666667,41665.283,204319.552,2.0
-1.4,14.566163333333334,41665.283,204319.552,2.0
-1.3,15.531979999999999,41665.283,204319.552,2.0
-1.1,17.214850000000002,41665.283,204319.552,2.0
-1.0,17.789559999999998,41665.283,204319.552,2.0
-0.8,19.369963333333335,41665.283,204319.552,2.0
-0.7,20.653393333333334,41665.283,204319.552,2.0
-0.6,23.37321,41665.283,204319.552,2.0
-0.5,22.022725,41665.283,204319.552,2.0
-0.4,27.30837,41665.283,204319.552,2.0
-0.3,24.340668,41665.283,204319.552,2.0
-0.2,23.053685,41665.283,204319.552,2.0
-0.1,27.177624285714284,41665.283,204319.552,2.0
-0.0,25.52717,41665.283,204319.552,2.0
-4.9,3.51859,41665.475,204319.091,3.0
-4.7,3.484745,41665.475,204319.091,3.0
-4.5,3.736295,41665.475,204319.091,3.0
-4.3,4.01744,41665.475,204319.091,3.0
-4.1,4.321845,41665.475,204319.091,3.0
-4.0,4.347675000000001,41665.475,204319.091,3.0
-3.7,4.728960000000001,41665.475,204319.091,3.0
-3.6,4.949466666666667,41665.475,204319.091,3.0
-3.4,5.436556666666667,41665.475,204319.091,3.0
-3.3,5.679455,41665.475,204319.091,3.0
-3.1,6.24186,41665.475,204319.091,3.0
-3.0,6.568383333333333,41665.475,204319.091,3.0
-2.8,7.1703833333333336,41665.475,204319.091,3.0
-2.7,7.536425,41665.475,204319.091,3.0
-2.5,8.363534999999999,41665.475,204319.091,3.0
-2.3,8.8078,41665.475,204319.091,3.0
-2.1,9.77299,41665.475,204319.091,3.0
-2.0,10.361870000000001,41665.475,204319.091,3.0
-1.8,11.53098,41665.475,204319.091,3.0
