x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,p_ID
107763.971,183306.3268,27.6337591,34539.53,46.87265441,30.20121436,64.3056017,44.72248154,77.44941268,57.81315946,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,POINT (553909.4825416066 5645489.694886872),11
107764.2384,183305.9072,27.6477131,34539.33,49.90695552,32.33439418,68.7563258,48.08099361,77.44941268,61.40890604,1.449501016,0.274244893,2.643798358,0.050725831,3.197980977,-4.866534053,POINT (553909.7575881262 5645489.280526833),12
107764.5171,183305.4684,27.65,34539.13,52.76902803,33.88592876,72.11169746,50.9369658,79.07396022,65.6117821,1.449501016,0.264244893,2.593798358,0.080725831,2.997980977,-5.046534053,POINT (553910.0442376911 5645488.84703932),13
107764.5171,183305.4684,27.65,34539.13,52.76902803,33.88592876,72.11169746,50.9369658,79.07396022,65.6117821,1.449501016,0.264244893,2.593798358,0.080725831,2.997980977,-5.046534053,POINT (553910.0442376911 5645488.84703932),14
107764.8731,183304.9038,27.65,34538.89,56.17543346,36.01946889,75.9643439,54.63461603,80.01826724,69.52202411,1.459501016,0.264244893,2.563798358,0.070725831,3.367980977,-4.626534053,POINT (553910.4104550648 5645488.289325517),15
107765.1296,183304.495,27.65,34538.69,60.85001339,40.28717411,77.73647027,60.01641018,80.01826724,73.13796107,1.479501016,0.264244893,2.643798358,0.100725831,3.367980977,-4.296534053,POINT (553910.6744276796 5645487.885496208),16
107765.4129,183304.0435,27.65,34538.49,66.26212494,46.10811296,78.86624412,64.56042552,80.96517445,81.60244737,1.469501016,0.294244893,2.863798358,0.150725831,3.327980977,-4.246239789,POINT (553910.9659527548 5645487.439411765),17
107765.6708,183303.6337,27.65,34538.29,70.60546667,51.5430196,81.77825196,68.43179073,80.96517445,81.60244737,1.469494965,0.294249208,2.924000067,0.140687416,3.327980977,-4.246239789,POINT (553911.2313027381 5645487.034611615),18
107765.967,183303.1659,27.6514014,34538.09,77.68871638,55.42610934,86.81855531,75.50972795,80.79629058,86.15080921,1.479494965,0.284249208,2.904028987,0.110668288,3.238323797,-4.706047891,POINT (553911.535967803 5645486.572514295),19
107766.1928,183302.8097,27.6679334,34537.91,85.53364736,60.28012637,92.05351476,83.944855,79.76401825,89.49146189,1.479494965,0.274249208,2.924028987,0.090668288,3.398323797,-5.166047891,POINT (553911.768214837 5645486.2207092745),20
107766.4858,183302.3482,27.6955054,34537.71,88.8281888,64.358326,95.17701677,89.85526831,78.73484981,92.22865126,1.489494965,0.264249208,2.944028987,0.120668288,3.448323797,-5.436047891,POINT (553912.0696391495 5645485.7648326885),21
107766.7664,183301.9085,27.7245174,34537.51,90.29440376,67.07754397,96.00086588,92.89677638,78.30681846,94.81702562,1.479494965,0.274249208,2.934028987,0.170668288,3.498323797,-5.026047891,POINT (553912.3581943623 5645485.330529001),22
107767.0642,183301.4457,27.7453694,34537.31,92.67047858,69.23014631,96.32880454,95.42278622,78.56363727,97.4085626,1.469198996,0.284277289,2.894028987,0.160542356,3.578323797,-4.606047891,POINT (553912.6643765701 5645484.8734574085),23
107767.3639,183300.9853,27.75,34537.11,94.32127042,70.78889683,97.47939718,96.58062399,78.99511464,98.48326215,1.479125253,0.27428716,2.92514673,0.110130386,3.619248663,-4.504911756,POINT (553912.9724801246 5645484.418914882),24
107767.6,183300.6268,27.75,34536.93,94.32127042,71.76117649,97.97491584,97.08792104,80.19699383,98.6358813,1.479125253,0.27428716,3.02514673,0.130130386,3.559248663,-4.784911756,POINT (553913.2150676863 5645484.064956336),25
107767.912,183300.1575,27.75,34536.73,93.58637124,71.56689445,98.47071328,96.07336215,82.2673781,99.70452247,1.469125253,0.29428716,3.05514673,0.190130386,3.459248663,-4.844911756,POINT (553913.535614723 5645483.601645865),26
107768.2272,183299.687,27.75,34536.53,94.87263944,70.20696787,101.4513439,95.56613552,84.26313058,100.926485,1.469125253,0.29428716,3.03514673,0.200130386,3.629248663,-4.684911756,POINT (553913.8593085998 5645483.137197392),27
107768.4987,183299.2833,27.75,34536.33,95.79195708,68.65286832,104.7748558,95.3970678,86.35801185,101.5377298,1.469125253,0.28428716,2.96514673,0.170130386,3.789248663,-4.864911756,POINT (553914.1381435147 5645482.738664545),28
107768.8159,183298.8121,27.7514014,34536.13,93.219033,65.93345669,107.2755274,93.70660581,88.99410289,102.7607466,1.469125253,0.28428716,2.88514673,0.160130386,3.859248663,-5.174911756,POINT (553914.4639287699 5645482.273625572),29
107769.0897,183298.4068,27.7679334,34535.93,90.83315311,61.66077123,109.4483227,91.00268047,91.56139085,104.5965908,1.469125253,0.27428716,2.85514673,0.180130386,3.789248663,-5.174911756,POINT (553914.7450927746 5645481.873542953),30
107769.3654,183298.0002,27.7970016,34535.73,91.01657004,58.16555252,111.2908496,89.82002816,92.89637423,105.9745136,1.469125253,0.27428716,2.85514673,0.190130386,3.739248663,-4.914911756,POINT (553915.0281496388 5645481.472279526),31
107769.6883,183297.5255,27.8258336,34535.53,93.03539185,57.97138994,112.8010962,90.8337184,93.8786129,106.2808397,1.469125253,0.26428716,2.83514673,0.170130386,3.899248663,-4.764911756,POINT (553915.3596744896 5645481.003779727),32
107769.9665,183297.1173,27.8460256,34535.33,94.13751784,61.27238626,112.9690524,90.8337184,94.14673757,105.9745136,1.459125253,0.27428716,2.80514673,0.140130386,3.839248663,-4.624911756,POINT (553915.6453032356 5645480.6009082),33
107770.28,183296.6575,27.8460256,34535.13,91.56693335,63.60279856,110.2853803,89.31323587,94.14673757,105.9745136,1.469125253,0.27428716,2.81514673,0.160130386,3.839248663,-4.564911756,POINT (553915.9670962818 5645480.147121985),34
107770.28,183296.6575,27.8460256,34535.13,91.56693335,63.60279856,110.2853803,89.31323587,94.14673757,105.9745136,1.469125253,0.27428716,2.81514673,0.160130386,3.839248663,-4.564911756,POINT (553915.9670962818 5645480.147121985),35
107770.6437,183296.1238,27.85,34534.9,90.28301494,63.21437944,108.1106097,89.48216272,92.09451945,105.3619934,1.469125253,0.28428716,2.85514673,0.190130386,3.659248663,-4.754911756,POINT (553916.3404789468 5645479.620428809),36
107770.9127,183295.7291,27.85,34534.7,91.75042531,63.79701069,107.609469,92.01653508,90.4082764,105.3619934,1.459125253,0.28428716,2.86514673,0.190130386,3.659248663,-4.754911756,POINT (553916.6166607587 5645479.23090648),37
107771.2278,183295.2678,27.85,34534.5,91.56693335,65.35076912,106.9417079,92.86152153,89.70060757,102.4549264,1.459125253,0.26428716,2.87514673,0.120130386,3.689248663,-4.874911756,POINT (553916.9401304979 5645478.775698196),38
107771.5384,183294.8157,27.85,34534.3,90.46621385,64.38007331,105.4409219,91.67824494,90.05403778,102.4549264,1.469119661,0.264292325,2.89518163,0.110120637,3.599248663,-4.874911756,POINT (553917.2589424817 5645478.329589082),39
107771.8367,183294.385,27.8653,34534.1,90.64959325,62.63217953,105.107774,89.98864387,90.05403778,101.3849021,1.459119661,0.284292325,2.87518163,0.140120637,3.599248663,-4.914911756,POINT (553917.565010944 5645477.904588591),40
107772.1034,183294.0017,27.8653,34533.93,89.54959953,61.27280222,106.2743267,88.46833752,90.4082764,100.4681667,1.449119661,0.304292325,2.85518163,0.170120637,3.839248663,-4.774911756,POINT (553917.8386502244 5645477.526378415),41
107772.4159,183293.5555,27.8875,34533.73,86.98461494,58.94406119,107.1080762,87.11591441,90.76270141,100.3247356,1.44909961,0.314302139,2.87518163,0.140090692,3.949248663,-4.804217354,POINT (553918.1592232507 5645477.086175514),42
107772.7638,183293.0615,27.9137,34533.52,84.97030834,56.81458522,107.2738366,85.59102776,92.00876882,100.9393009,1.459017101,0.294333207,2.875625107,0.129937968,3.929530605,-4.944000235,POINT (553918.5161174125 5645476.598936285),43
107773.0889,183292.6011,27.9391,34533.32,83.69118923,55.45556636,107.2738366,84.57806651,92.98859015,101.8562394,1.469017101,0.274333207,2.855625107,0.119937968,3.869530605,-5.59388897,POINT (553918.8495021368 5645476.144771729),44
107773.375,183292.1955,27.9597371,34533.12,83.32590058,54.48488993,106.7731539,83.5652462,92.98859015,101.8562394,1.469017101,0.254333207,2.805625107,0.109937968,3.869530605,-5.59388897,POINT (553919.1430151119 5645475.744682825),45
107773.375,183292.1955,27.9597371,34533.12,83.32590058,54.48488993,106.7731539,83.5652462,92.98859015,101.8562394,1.469017101,0.254333207,2.805625107,0.109937968,3.869530605,-5.59388897,POINT (553919.1430151119 5645475.744682825),46
107773.9927,183291.3215,28.0112451,34532.71,83.69118923,55.06729065,101.9474065,83.0588889,93.70303182,96.36053318,1.469017101,0.264333207,2.875625107,0.129937968,4.109530605,-4.20388897,POINT (553919.7765105853 5645474.88246627),47
107774.2753,183290.9225,28.0337591,34532.52,83.14328541,57.00873761,101.9474065,83.0588889,94.23946702,95.29357329,1.479017101,0.274333207,2.875625107,0.129937968,4.119530605,-3.93388897,POINT (553920.0663396285 5645474.488929693),48
107774.4848,183290.6272,28.0477131,34532.38,82.04800239,57.20289171,99.95810074,80.35891183,94.23946702,96.36053318,1.479017101,0.274333207,2.915625107,0.139937968,4.119530605,-4.33388897,POINT (553920.2811945045 5645474.197608473),49
107774.6827,183290.3486,28.0477131,34532.25,85.15311671,55.64970678,100.9521988,80.35891183,94.23946702,96.36053318,1.479017101,0.284333207,2.915625107,0.139937968,4.119530605,-4.33388897,POINT (553920.4841498589 5645473.92285982),50
