x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,geometry,p_ID
41668.19202,204315.9951,0.7431392,53970.55,100.6450255,63.54861321,149.4140823,89.46165625,244.0554789,135.1681811,1.918600166,0.119486132,6.288811183,0.234712419,26.79172505,0.600180674,POINT (487462.3320411383 5665268.728916366),11
41668.34728,204315.3724,0.7204512,53970.75,107.9807792,68.43405256,158.8443095,100.4726162,244.8717041,146.4265133,1.938600166,0.149486132,6.338811183,0.424712419,26.90172505,0.940180674,POINT (487462.4986687489 5665268.109413626),12
41668.50904,204314.7196,0.692525,53970.95,113.7256015,74.18300915,166.3123495,108.7901106,247.739689,158.2166884,1.968600166,0.219486132,6.308811183,0.464712419,27.16172505,1.600180674,POINT (487462.67234026536 5665267.459990165),13
41668.63502,204314.1905,0.6645152,53971.14,118.2253292,86.83595872,171.9470457,114.4049139,253.3221284,171.4982788,1.948600166,0.279486132,6.258811183,0.354712419,27.62172505,2.750180674,POINT (487462.8079814366 5665266.933473508),14
41668.7771,204313.5419,0.6504672,53971.34,123.4575466,96.04262445,180.539233,124.2896363,260.2391936,183.9042346,1.918600166,0.279486132,6.278811183,0.394712419,28.03172505,2.830180674,POINT (487462.9619113865 5665266.287892182),15
41668.7771,204313.5419,0.6504672,53971.34,123.4575466,96.04262445,180.539233,124.2896363,260.2391936,183.9042346,1.918600166,0.279486132,6.278811183,0.394712419,28.03172505,2.830180674,POINT (487462.9619113865 5665266.287892182),16
41668.90555,204312.8593,0.65,53971.55,133.9615992,100.0717356,191.2848431,137.1013354,269.8433413,195.258491,1.958600166,0.229486132,6.478811183,0.584712419,28.55172505,2.890180674,POINT (487463.10284917086 5665265.60795165),17
41669.01665,204312.178,0.65,53971.75,142.693701,99.49610382,204.594236,144.2933761,282.5252547,206.3496459,1.968600166,0.219486132,6.728811183,0.704712419,29.27172505,4.000180674,POINT (487463.2264165337 5665264.929161546),18
41669.11324,204311.5631,0.65,53971.94,149.2655227,97.76929738,215.9191235,145.2658094,298.0803502,217.3351889,1.978600166,0.209486132,6.848811183,0.664712419,29.88172505,4.450180674,POINT (487463.33425574977 5665264.316359364),19
41669.11324,204311.5631,0.65,53971.94,149.2655227,97.76929738,215.9191235,145.2658094,298.0803502,217.3351889,1.978600166,0.209486132,6.848811183,0.664712419,29.88172505,4.450180674,POINT (487463.33425574977 5665264.316359364),20
41669.24071,204310.8202,0.65,53972.15,154.2069856,97.48150929,224.8409588,147.6001698,315.1263023,225.1228642,1.988600166,0.159486132,6.878811183,0.634712419,30.56172505,4.310180674,POINT (487463.47532383655 5665263.576265357),21
41669.38348,204310.1329,0.643925,53972.36,158.9755159,101.2230437,231.304979,150.5191539,330.1116859,226.586124,1.998600166,0.189486132,6.928811183,0.754712419,31.35172505,4.720180674,POINT (487463.6306497238 5665262.891928243),22
41669.38348,204310.1329,0.643925,53972.36,158.9755159,101.2230437,231.304979,150.5191539,330.1116859,226.586124,1.998600166,0.189486132,6.928811183,0.754712419,31.35172505,4.720180674,POINT (487463.6306497238 5665262.891928243),23
41669.54537,204309.4781,0.621825,53972.55,162.2825494,103.8137037,234.7301421,150.1298896,340.0424005,225.6105095,2.008600166,0.249486132,7.138811183,0.794712419,32.09172505,5.240180674,POINT (487463.8044980085 5665262.240465416),24
41669.7279,204308.8215,0.592525,53972.76,164.1218072,102.3744111,237.2599568,148.9622195,343.8218511,225.7730819,2.038600166,0.219486132,7.338811183,0.714712419,32.53172505,5.700180674,POINT (487463.9989999404 5665261.587651653),25
41669.91453,204308.1921,0.565625,53972.96,165.7783655,100.9352111,239.4324282,150.1298896,344.3279802,226.4234916,2.078600166,0.189486132,7.258811183,0.734712419,32.93172505,5.810180674,POINT (487464.1970984624 5665260.961974698),26
41669.91453,204308.1921,0.565625,53972.96,165.7783655,100.9352111,239.4324282,150.1298896,344.3279802,226.4234916,2.078600166,0.189486132,7.258811183,0.734712419,32.93172505,5.810180674,POINT (487464.1970984624 5665260.961974698),27
41670.06884,204307.6838,0.550725,53973.13,166.330809,99.20829347,239.4324282,152.4657812,343.5689482,227.0740933,2.088600166,0.219486132,7.258811183,0.754712419,33.31172505,5.530180674,POINT (487464.3606673573 5665260.456866093),28
41670.26317,204307.0446,0.5553312,53973.33,167.4360815,99.20829347,243.2432687,154.0234506,343.310074,229.0270511,2.078600166,0.229486132,7.278811183,0.774712419,33.74201565,6.250180674,POINT (487464.5666538545 5665259.821582192),29
41670.44565,204306.4533,0.5553312,53973.53,167.8046197,98.34488469,244.6980357,154.4071143,344.8288904,232.9381623,2.048600166,0.229486132,7.258806816,0.754712419,34.16216123,7.07986325,POINT (487464.759906029 5665259.233969646),30
41670.62939,204305.8741,0.5768192,53973.73,168.1732148,99.20829347,245.7902039,155.575641,351.9823667,237.0196201,2.058600166,0.179486132,7.248806816,0.724712419,34.50216123,6.49986325,POINT (487464.95419240976 5665258.658495257),31
41670.62939,204305.8741,0.5768192,53973.73,168.1732148,99.20829347,245.7902039,155.575641,351.9823667,237.0196201,2.058600166,0.179486132,7.248806816,0.724712419,34.50216123,6.49986325,POINT (487464.95419240976 5665258.658495257),32
41670.82281,204305.2832,0.607475,53973.93,168.7262142,100.3595571,249.4375305,155.7704134,365.301691,239.3085352,2.058600166,0.169486132,7.328806816,0.764712419,34.96216123,6.45986325,POINT (487465.15836755926 5665258.071505767),33
41671.04116,204304.6409,0.634375,53974.15,169.0949516,97.76929738,254.7446472,151.6812665,380.1071529,239.9629467,2.048600166,0.219486132,7.408806816,0.774712419,35.51216123,7.16986325,POINT (487465.3884081128 5665257.4335759),34
41671.24524,204304.0662,0.6489632,53974.35,169.8325967,91.43594397,257.6820843,145.6490206,393.4266164,239.9629467,2.058600166,0.209464301,7.458806816,0.694712419,36.03216123,7.35986325,POINT (487465.60294011503 5665256.862988665),35
41671.48716,204303.4203,0.643925,53974.56,167.9897453,86.54368979,258.4179056,142.7305253,404.537918,239.3085352,2.078650065,0.179441962,7.458821168,0.694695403,36.45216207,7.20986325,POINT (487465.8566107019 5665256.221892517),36
41671.48716,204303.4203,0.643925,53974.56,167.9897453,86.54368979,258.4179056,142.7305253,404.537918,239.3085352,2.078650065,0.179441962,7.458821168,0.694695403,36.45216207,7.20986325,POINT (487465.8566107019 5665256.221892517),37
41671.71415,204302.8462,0.6204512,53974.76,168.5427022,88.26962728,259.3377431,144.0916805,410.0498846,236.6928257,2.078650065,0.179441962,7.488821168,0.714695403,36.84216207,6.72986325,POINT (487466.09402963554 5665255.652215552),38
41671.94621,204302.2811,0.592525,53974.96,172.9709532,90.8587843,261.916753,147.0092837,408.5930549,235.2228491,2.068650065,0.199441962,7.568821168,0.734695403,37.20216207,5.95986325,POINT (487466.3363487011 5665255.091708698),39
41672.16902,204301.7522,0.5645152,53975.14,175.0032866,89.7080107,264.3161205,148.3712248,402.8108859,234.5698402,2.078650065,0.229441962,7.688821168,0.774695403,37.36216207,5.60986325,POINT (487466.5687597561 5665254.567280523),40
41672.41815,204301.1689,0.5504672,53975.34,173.3403416,88.26962728,265.0552736,148.5658082,395.4007975,235.7127326,2.108650065,0.239441962,7.758821168,0.764695403,37.33216207,6.05986325,POINT (487466.8284794716 5665253.988915237),41
41672.64238,204300.6481,0.55,53975.53,172.9709532,88.55729654,263.5773845,150.3172888,389.5014349,238.9814021,2.118650065,0.229441962,7.788821168,0.754695403,37.29216207,6.73986325,POINT (487467.0621644445 5665253.472472121),42
41672.64238,204300.6481,0.55,53975.53,172.9709532,88.55729654,263.5773845,150.3172888,389.5014349,238.9814021,2.118650065,0.229441962,7.788821168,0.754695403,37.29216207,6.73986325,POINT (487467.0621644445 5665253.472472121),43
41672.90237,204300.0545,0.55,53975.74,173.89453,89.42032659,263.3927656,154.2109481,384.2277524,242.7463588,2.108650065,0.199441962,7.828821168,0.784695403,37.28216207,7.25986325,POINT (487467.332927578 5665252.884030553),44
41673.16631,204299.4647,0.55,53975.94,175.0032866,91.72190349,265.609912,157.716987,379.2866652,247.010129,2.108650065,0.179441962,7.798821168,0.804695403,37.43216207,7.24986325,POINT (487467.6075641233 5665252.299391659),45
41673.47514,204298.7908,0.55,53976.16,177.4073263,92.87278106,266.3497949,160.6399496,380.1065187,251.9400913,2.098650065,0.189441962,7.818821168,0.904695403,37.50216207,7.42986325,POINT (487467.92861036566 5665251.631543454),46
41673.47514,204298.7908,0.55,53976.16,177.4073263,92.87278106,266.3497949,160.6399496,380.1065187,251.9400913,2.098650065,0.189441962,7.818821168,0.904695403,37.50216207,7.42986325,POINT (487467.92861036566 5665251.631543454),47
41673.73776,204298.2313,0.55,53976.36,177.2223161,92.5850561,266.3497949,160.2501549,387.5515886,256.7161721,2.108650065,0.219441962,7.878821168,0.914695403,37.77216207,7.74986325,POINT (487468.2013749213 5665251.077247463),48
41674.03471,204297.6154,0.55,53976.57,175.9276369,94.59920876,268.3866238,158.8860342,400.232181,259.8509157,2.128650065,0.199441962,7.948821168,0.834695403,38.10216207,7.70986325,POINT (487468.5094889664 5665250.467087571),49
41674.25879,204297.1632,0.55,53976.74,176.2974752,92.00961732,268.3866238,158.4963314,417.9982903,261.1721339,2.178650065,0.219441962,7.948821168,0.864695403,38.45216207,7.63986325,POINT (487468.7417578149 5665250.019300038),50
41674.55545,204296.5752,0.55,53976.94,177.2223161,87.11898742,280.299883,155.7689834,436.4800603,260.3462803,2.188650065,0.279441962,7.968821168,0.914695403,38.96216207,7.45986325,POINT (487469.0490589866 5665249.437129562),51
41674.55545,204296.5752,0.55,53976.94,177.2223161,87.11898742,280.299883,155.7689834,436.4800603,260.3462803,2.188650065,0.279441962,7.968821168,0.914695403,38.96216207,7.45986325,POINT (487469.0490589866 5665249.437129562),52
41674.85872,204295.9817,0.55,53977.15,180.1841552,88.55729654,281.9837634,151.8745075,450.2919049,258.2004984,2.158650065,0.249441962,8.088821168,0.874695403,39.39216207,7.75986325,POINT (487469.3630717781 5665248.849499723),53
41675.13143,204295.4506,0.55,53977.35,182.4078741,89.13264619,282.5455273,150.7065629,454.1329183,254.9033436,2.138650065,0.209441962,8.068821168,0.784695403,39.61216207,8.24986325,POINT (487469.64539899793 5665248.3237573765),54
41675.43713,204294.8618,0.55,53977.56,183.8914632,90.8587843,281.9837634,154.0162166,445.2205843,251.446601,2.138650065,0.169441962,8.018821168,0.774695403,39.65216207,7.85986325,POINT (487469.9617511221 5665247.740910297),55
41675.71884,204294.3315,0.55,53977.75,186.675577,95.46247271,281.6093848,160.0552652,431.5596763,249.8024267,2.138650065,0.169441962,8.008821168,0.804695403,39.60216207,7.59986325,POINT (487470.2530639067 5665247.216124241),56
41675.71884,204294.3315,0.55,53977.75,186.675577,95.46247271,281.6093848,160.0552652,431.5596763,249.8024267,2.138650065,0.169441962,8.008821168,0.804695403,39.60216207,7.59986325,POINT (487470.2530639067 5665247.216124241),57
41676.04668,204293.717,0.55,53977.96,190.3925448,101.506255,282.7328343,168.0499289,415.3334855,252.1046125,2.148650065,0.219441962,8.008821168,0.834695403,39.52216207,8.06986325,POINT (487470.59201437817 5665246.607958417),58
41676.31078,204293.2156,0.55,53978.14,194.1149861,106.6879406,284.6073413,175.8578724,400.8041483,258.6954947,2.148650065,0.209441962,8.078821168,0.824695403,39.45216207,8.17986325,POINT (487470.86519224505 5665246.111729956),59
