,coilconfig,slope,intercept
0,HCPHQP,1.907751501538275,-26.108866493030945
1,PRPHQP,1.4701608946165603,-3.2345210337291164
2,HCP1QP,1.6756171804578917,-44.889586934666696
3,PRP1QP,1.4319217996579316,-9.329091124094589
4,HCP2QP,1.5023022349040214,-46.71992317508651
5,PRP2QP,1.5087774558028828,-28.91681467649481
