x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,p_ID
107763.97098477889,183306.32675039303,27.633759100000223,34539.53,46.87265440665217,30.20121436483121,64.30560169964008,44.72248154020402,77.44941267575115,57.81315945895279,1.4595010158156536,0.2742448930421658,2.803798357898017,0.0507258305677988,3.197980977328479,-4.446534052733868,POINT (553909.4825416066 5645489.694886872),11
107764.23841215766,183305.9072339721,27.64771309999998,34539.33,49.9069555212451,32.334394177719815,68.75632580295382,48.08099361462893,77.44941267575115,61.408906041027294,1.4495010158156536,0.2742448930421658,2.6437983578980173,0.0507258305677988,3.197980977328479,-4.866534052733868,POINT (553909.7575881262 5645489.280526833),12
107764.51709068971,183305.46837227698,27.65,34539.130000000005,52.76902802805193,33.885928757399455,72.11169746238498,50.9369658006718,79.07396021505429,65.61178210217585,1.4495010158156536,0.2642448930421658,2.593798357898017,0.0807258305677988,2.9979809773284787,-5.046534052733867,POINT (553910.0442376911 5645488.84703932),13
107764.51709068971,183305.46837227698,27.65,34539.130000000005,52.76902802805193,33.885928757399455,72.11169746238498,50.9369658006718,79.07396021505429,65.61178210217585,1.4495010158156536,0.2642448930421658,2.593798357898017,0.0807258305677988,2.9979809773284787,-5.046534052733867,POINT (553910.0442376911 5645488.84703932),14
107764.87305231168,183304.9037918877,27.65,34538.89,56.17543345511975,36.019468894436315,75.96434389818832,54.63461603423088,80.01826723620944,69.52202411296322,1.4595010158156536,0.2642448930421658,2.563798357898017,0.0707258305677988,3.367980977328479,-4.626534052733867,POINT (553910.4104550648 5645488.289325517),15
107765.12959874494,183304.49501278158,27.65,34538.69,60.85001338736796,40.287174105205004,77.73647027127066,60.016410179465424,80.01826723620944,73.13796106763084,1.4795010158156536,0.2642448930421658,2.6437983578980173,0.1007258305677988,3.367980977328479,-4.296534052733867,POINT (553910.6744276796 5645487.885496208),16
107765.41292058016,183304.04346188344,27.65,34538.490000000005,66.26212493605908,46.108112960638536,78.8662441209265,64.5604255230385,80.96517445118047,81.6024473743209,1.4695010158156536,0.2942448930421658,2.863798357898017,0.1507258305677988,3.3279809773284788,-4.246239788736908,POINT (553910.9659527548 5645487.439411765),17
107765.67082665159,183303.63368629944,27.65,34538.28999999999,70.60546667207096,51.54301960218843,81.77825195804597,68.43179073478518,80.96517445118047,81.6024473743209,1.4694949650584683,0.2942492078187437,2.924000067409929,0.1406874162336179,3.3279809773284788,-4.246239788736908,POINT (553911.2313027381 5645487.034611615),18
107765.96699445168,183303.16587681603,27.651401400000275,34538.09,77.68871638340538,55.426109343369625,86.81855530976416,75.50972795276066,80.79629058114901,86.15080921338185,1.4794949650584683,0.2842492078187437,2.9040289870650757,0.1106682875468071,3.238323797286467,-4.7060478912801305,POINT (553911.535967803 5645486.572514295),19
107766.19277237743,183302.80971747078,27.66793340000049,34537.91,85.53364736234157,60.28012637123886,92.05351475578168,83.94485499508828,79.7640182527972,89.49146189376383,1.4794949650584683,0.2742492078187437,2.9240289870650757,0.0906682875468071,3.3983237972864666,-5.16604789128013,POINT (553911.768214837 5645486.2207092745),20
107766.48581395714,183302.34818969574,27.695505400000176,34537.71000000001,88.82818880038856,64.35832600464651,95.17701677086362,89.855268309959,78.73484980856783,92.22865125976607,1.4894949650584683,0.2642492078187437,2.9440289870650758,0.1206682875468071,3.448323797286467,-5.436047891280131,POINT (553912.0696391495 5645485.7648326885),21
