,x,y,EC_0.30,EC_0.60,EC_1.00,EC_1.60,EC_2.40,EC_3.20,EC_end,pos
0,107763.891122979,183306.285168048,32.97969840267068,46.55571907978138,85.78340590208396,52.29423488707597,73.48088975331328,83.57560840029006,10.681250438815564,11.0
1,107764.019915842,183306.079418576,32.10295062690154,46.37623362984811,90.9000906194258,57.64691009038003,117.83086600298915,73.16713398971234,30.015871702198936,12.0
2,107764.31342527,183305.61934566,32.137912704398126,46.68583014699201,85.02167119970609,39.09958516885672,160.6539481330005,98.76229553244025,19.48969851962776,13.0
3,107764.617230534,183305.153174397,30.767251256553923,55.05091484829504,81.06701736891009,34.410379084672265,182.56214207692392,136.29850951239965,11.03249166075393,14.0
4,107764.912817767,183304.705770106,36.14361602964742,45.53388833031413,85.46116789627963,46.67853817006532,200.16130712763012,111.7794944902318,34.65504375492564,15.0
5,107765.208855885,183304.261640553,44.80103601475603,48.57492659539633,89.14158340392594,41.83361266344529,221.65656509134715,93.74574647604376,24.91400769935101,16.0
6,107765.519082019,183303.798507437,48.47865230562299,49.71539902013483,92.84865489852587,63.04493958788568,245.41178160126339,39.14363060245901,29.135601459320235,17.0
7,107765.673653588,183303.567958307,50.73807023111863,45.70861327724897,110.42372568179843,66.49866120229578,200.8678128914278,110.950934678527,32.93096337170111,18.0
8,107765.976466988,183303.116904367,49.07552103083349,49.96810359235378,163.8478809264543,107.40906131475022,139.63424625223718,93.0593655978623,24.670090235802025,19.0
9,107766.261271649,183302.695111169,52.721088460409334,47.007712253934464,186.15595830194383,142.8202000584193,106.18293958231459,50.47169848420569,32.19264847195028,20.0
10,107766.56637427,183302.245245747,52.439155009694225,48.577903074840094,160.71200973873394,204.95163059044106,44.48942264700043,98.8092921655095,21.788390466118997,21.0
11,107766.892948944,183301.764861571,52.25032206816219,67.58588766179889,191.59199346640244,177.9136481849324,37.32297235227453,114.96357282431956,17.17313036551875,22.0
12,107767.075736597,183301.496034683,53.15800113688599,61.77298039735153,196.35439187118982,224.15790467726885,53.75250254961453,17.15309097312499,8.94875803395141,23.0
13,107767.422922002,183300.984667496,51.570929146188575,47.898374851194255,192.99894956250455,229.42111915037287,54.33092438626424,24.017071358650636,17.3616233281858,24.0
14,107767.738296945,183300.519553374,53.17320192305865,63.1458319345626,188.2924283960046,210.0527935312976,54.673953883044135,64.3469268875069,21.523363803248618,25.0
15,107768.012033841,183300.116110994,51.8443149390229,61.66287188491883,181.0179494670998,252.25991858827228,44.05291017745347,29.619989103402524,29.4431891545181,26.0
16,107768.314201818,183299.671774851,53.030524590727254,51.364004350254625,171.29977097488648,301.3708915714584,56.28683684403483,27.569129211720387,8.237989993967716,27.0
17,107768.491445946,183299.411924499,52.83466730811037,59.10672521970091,172.77167037995878,264.5347570942978,63.987994008678086,50.74828362707886,20.67780839301936,28.0
