name,code,x,y,ec_i-10cm,ec_i-50cm
m_clhs1,2001,41565.381,204207.342,50.393,60.524
m_clhs2,2002,41549.211,204310.992,87.394,124.725
m_clhs3,2003,41588.221,204167.503,59.971,62.696
m_clhs4,2004,41668.451,204238.44,73.607,45.947
m_clhs5,2005,41520.385,204334.195,85.292,56.424
m_clhs6,2006,41615.875,204258.051,60.908,55.403
m_clhs7,2007,41578.212,204271.787,56.274,55.054
m_clhs8,2008,41533.328,204357.264,88.73,65.738
m_clhs9,2009,41642.385,204297.786,62.364,104.71
m_clhs10,2010,41702.154,204262.206,76.492,73.352
m_clhs11,2011,41514.141,204286.566,99.209,117.203
m_clhs12,2012,41619.55,204273.12,72.767,49.168
m_clhs13,2013,41685.271,204247.395,58.982,110.328
m_clhs14,2014,41592.391,204181.865,70.43,104.8
m_clhs15,2015,41563.215,204365.006,128.916,83.164
