x,y,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,depth14,depth15,depth16,depth17,depth18,depth19,depth20,depth21,depth22,depth23,depth24,depth25,depth26,depth27,depth28,depth29
107763.8911,183306.2852,8.262780322380841,9.174918271928313,11.89377066460477,16.04540692972773,20.959692567885583,26.103219521316177,31.135125835400565,35.8643802240658,40.19952121540276,44.11021989849412,47.60137062405342,50.69665971949409,53.42856529836628,55.83249689273012,57.94351440158834,59.79461388080297,61.41594191959613,62.83454426076274,64.07440905748703,65.15666160276085,66.09982669840791,66.92011092261205,67.63167875780516,68.24690941011465,68.77662863831344,69.23031414294996,69.61627535095192,69.94180956480633,70.21333691267586,70.43651662866657,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107764.0199,183306.0794,9.354862745643342,9.94820319467086,12.30484026773841,16.181697267511876,20.944992833003106,26.051901407460413,31.13549496407558,35.976841019919455,40.4607830103313,44.539003288511985,48.20367214419225,51.46996322644172,54.36496911870982,56.92093058338274,59.17125802274574,61.148309316467625,62.882245834635356,64.40053377619626,65.72781977683226,66.88601382738037,67.89447840120181,68.77026382379002,69.52835532460028,70.18191272257084,70.74249303559185,71.22025182108891,71.62412222383358,71.96197244717465,72.24074324548803,72.4665674109628,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107764.3134,183305.6193,10.368624097203835,10.954822399868334,13.407397274834583,17.473725418421317,22.480903978506955,27.8552828855138,33.21103917004187,38.318736703395096,43.05780850391453,47.3774760314861,51.26911902489479,54.74804391737001,57.84196485053987,60.58398063466306,63.00845083884289,65.14869138801723,67.03578575316303,68.69806361660623,70.16096681152285,71.44713007013216,72.5765721585538,73.56693543591487,74.43373808922018,75.1906193002121,75.84956724044247,76.4211254908227,76.91457676114052,77.33810459038187,77.69893462781437,78.00345749058307,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107764.6172,183305.1532,11.084600460923706,11.946657797631964,14.91127087515731,19.62094705656305,25.302674976055766,31.31454222938535,37.23305710944251,42.81290074906179,47.93104581272685,52.54162988286812,56.64445443535392,60.26446320520445,63.4389626391752,66.20996669497904,68.61980583725531,70.70875735522964,72.51389579093689,74.06865928648588,75.40282048088812,76.54267298290705,77.51132091475878,78.32900619206845,79.01343695771233,79.58009788165893,80.042533266291,80.41259980033806,80.70068908700419,80.91592178389169,81.06631597891597,81.15893268109707,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107764.9128,183304.7058,12.55018687131561,13.93882408216767,17.79891651031764,23.54043531171589,30.20871685781723,37.061246939755485,43.63528685640522,49.68246023779984,55.09472969136182,59.84841634667552,63.966877727291354,67.49717728206102,70.4961612709745,73.02252243244982,75.13254009093806,76.87801261233835,78.30545776078888,79.45601791776937,80.36573398673329,81.06599150656692,81.58402724714892,81.94343526952784,82.16464131570764,82.2653316610338,82.26083226304635,82.16443925156473,81.98770438917145,81.74068021019008,81.43212978883543,81.06970588870878,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107765.2089,183304.2616,17.032271135441277,18.782604670907993,22.835952456420696,28.49813373289865,34.87327241102716,41.3015641664915,47.38889210073995,52.93557701768273,57.865021415535864,62.17206827653556,65.889648894309,69.06853820351807,71.76564430574682,74.03758066313931,75.93739711968216,77.51314244476018,78.80745186354477,79.85768006930851,80.69630060083136,81.3514131440283,81.84727193482207,82.20479031165642,82.44200050150133,82.57446117069898,82.61561250144149,82.57708218164487,82.46894727539919,82.29995739026607,82.07772441208292,81.80888364589569,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107765.5191,183303.7985,18.576825065304128,20.60924896284805,25.10062717524846,31.23895323524548,38.05456055478358,44.85562524314114,51.24174022281383,57.01926768430653,62.12206126510729,66.55591266873951,70.3635687098019,73.60399387522288,76.34067438617181,78.63539662535506,80.54523022758482,82.121327660942,83.4087130431501,84.44657766565672,85.26880702734181,85.90458689165627,86.3790074598964,86.71362583134035,86.92696999364972,87.03498013844849,87.05138957419872,86.9880505355537,86.85521130275498,86.66175113909287,86.41537914087273,86.12280246079591,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107765.6737,183303.568,18.046173040741095,20.126694571350356,25.21520175630426,32.43703385301402,40.58704152652812,48.76265585260616,56.42124544747407,63.28881797836569,69.26338586945279,74.3433951096057,78.58083740389472,82.0525304107502,84.84342349846862,87.03742857014268,88.71278186807953,89.94004263326923,90.78156821928528,91.29177218926479,91.51776064485466,91.5001169737721,91.27370942270595,90.86845694946487,90.31002384995693,89.62043321590559,88.81859973611974,87.92078753837517,86.9410009625169,85.89131670548795,84.78216547197846,83.62257055199399,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107765.9765,183303.1169,18.761682479167142,21.458736738548865,27.493793841339865,35.70813680981921,44.7253639095198,53.58038736935571,61.731254944675655,68.93133177352954,75.11250134837145,80.30465135552217,84.58578874789902,88.0530192096523,90.80657747818346,92.94164098418784,94.54462073285225,95.69193390409697,96.45008563783844,96.8763871948689,97.01993458960999,96.9226452005691,96.62024946464697,96.14319083588,95.51741789163242,94.76506856177133,93.90505426429061,92.9535549420875,91.92443674082699,90.82960356341319,89.67929266501912,88.48232318680873,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
107766.2613,183302.6951,21.51265180872395,23.97917267108805,30.296644406675405,39.24627782898952,49.19276002657999,58.97180950935389,67.92896230857443,75.76673840712758,82.40291946621585,87.8731264213348,92.27068767631543,95.71175782747088,98.31616183485663,100.19759194878445,101.45917593610912,102.19201958379597,102.47531691146024,102.37722151179591,101.95602851848193,101.26142458905872,100.33568268961545,99.21474569656453,97.92917964337076,96.50499673284537,94.96435759015026,93.32616607035226,91.60657081355703,89.81938712041753,87.97645142074686,86.08791907601335,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001,1.5000000000000002,1.6,1.7000000000000002,1.8000000000000003,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5000000000000004,2.6,2.7,2.8000000000000003,2.9000000000000004
