ID,easting,northing,z,Resistivity(ohm.m)
3,41665.475,204319.091,-1.8,10.77982333
3,41665.475,204319.091,-1.7,11.83288
3,41665.475,204319.091,-1.6,11.72427
3,41665.475,204319.091,-1.5,13.143265
3,41665.475,204319.091,-1.4,13.68513
3,41665.475,204319.091,-1.3,14.68949333
3,41665.475,204319.091,-1.2,15.88565
3,41665.475,204319.091,-1.1,16.08006
3,41665.475,204319.091,-1,17.150985
3,41665.475,204319.091,-0.9,19.0213525
3,41665.475,204319.091,-0.7,20.03011
3,41665.475,204319.091,-0.6,22.61044
3,41665.475,204319.091,-0.5,24.3612175
3,41665.475,204319.091,-0.4,23.56619
3,41665.475,204319.091,-0.3,26.21110429
3,41665.475,204319.091,-0.1,27.39302
4,41665.667,204318.629,-4.9,3.27608
4,41665.667,204318.629,-4.8,3.340145
4,41665.667,204318.629,-4.5,3.49462
4,41665.667,204318.629,-4.4,3.43893
4,41665.667,204318.629,-4.2,3.60675
4,41665.667,204318.629,-4.1,4.00371
4,41665.667,204318.629,-3.9,4.09325
4,41665.667,204318.629,-3.8,3.960233333
4,41665.667,204318.629,-3.7,4.57091
4,41665.667,204318.629,-3.6,4.26381
4,41665.667,204318.629,-3.5,4.70448
4,41665.667,204318.629,-3.4,4.293295
4,41665.667,204318.629,-3.3,5.00361
4,41665.667,204318.629,-3.2,4.71395
4,41665.667,204318.629,-3.1,5.21852
4,41665.667,204318.629,-3,4.83943
4,41665.667,204318.629,-2.9,5.633946667
4,41665.667,204318.629,-2.8,6.2699
4,41665.667,204318.629,-2.7,5.85853
4,41665.667,204318.629,-2.6,6.603046667
4,41665.667,204318.629,-2.4,7.0773175
4,41665.667,204318.629,-2.3,8.16732
4,41665.667,204318.629,-2.2,7.74221
4,41665.667,204318.629,-2.1,8.635246667
4,41665.667,204318.629,-2,9.03469
4,41665.667,204318.629,-1.9,9.42545
4,41665.667,204318.629,-1.8,10.5762
4,41665.667,204318.629,-1.7,10.67185667
4,41665.667,204318.629,-1.6,11.63853
4,41665.667,204318.629,-1.5,12.91153
4,41665.667,204318.629,-1.4,13.013585
4,41665.667,204318.629,-1.3,14.565995
4,41665.667,204318.629,-1.1,15.65519
4,41665.667,204318.629,-1,17.45763
4,41665.667,204318.629,-0.9,19.3893
4,41665.667,204318.629,-0.8,18.26244
4,41665.667,204318.629,-0.7,21.1016975
4,41665.667,204318.629,-0.6,23.0984075
4,41665.667,204318.629,-0.5,25.09398
4,41665.667,204318.629,-0.3,26.8946725
4,41665.667,204318.629,-0.1,22.227455
5,41665.858,204318.167,-4.9,2.887185
5,41665.858,204318.167,-4.8,3.20354
5,41665.858,204318.167,-4.7,2.830295
5,41665.858,204318.167,-4.5,3.242
5,41665.858,204318.167,-4.4,3.230555
5,41665.858,204318.167,-4.3,3.02403
5,41665.858,204318.167,-4.2,3.39549
5,41665.858,204318.167,-4.1,3.413985
5,41665.858,204318.167,-4,3.47643
5,41665.858,204318.167,-3.9,3.641805
5,41665.858,204318.167,-3.8,3.859745
5,41665.858,204318.167,-3.7,3.49739
5,41665.858,204318.167,-3.6,3.963523333
5,41665.858,204318.167,-3.4,4.188306667
5,41665.858,204318.167,-3.2,4.49425
5,41665.858,204318.167,-3.1,4.9726
5,41665.858,204318.167,-3,4.72736
5,41665.858,204318.167,-2.9,5.295495
5,41665.858,204318.167,-2.8,5.05834
5,41665.858,204318.167,-2.7,5.647043333
5,41665.858,204318.167,-2.6,6.38797
5,41665.858,204318.167,-2.5,6.08713
5,41665.858,204318.167,-2.4,6.85378
5,41665.858,204318.167,-2.3,6.60091
5,41665.858,204318.167,-2.2,7.479873333
5,41665.858,204318.167,-2.1,8.39107
5,41665.858,204318.167,-2,8.187135
