ID,x_ert,y_ert,x_em,y_em,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,forward_HCPHQP,forward_PRPHQP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP
34.0,107770.2848,183296.8136,107770.2848,183296.8136,43.2,18.4,74.8,39.5,92.0,68.4,65.27000276370804,31.358094404245612,88.58210490625787,55.62442000435705,94.58200845167683,84.71498439169905
35.0,107770.5726,183296.3966,107770.5726,183296.3966,42.7,17.3,75.5,38.2,91.9,68.8,66.95763935295555,30.828800964660655,92.69212699072759,57.199187625599784,98.51524522786497,88.76850341343557
36.0,107770.8661,183295.9717,107770.8661,183295.9717,43.0,16.9,76.0,38.2,92.2,70.0,62.95016988789434,28.18964496040957,88.54973560682784,53.14548536100023,96.05975136355609,84.47880566095003
37.0,107771.0316,183295.7324,107771.0316,183295.7324,42.9,17.3,76.1,38.5,91.7,70.0,61.18458847494887,27.13240203240623,86.62692359899826,51.237627364244645,95.26230373175545,82.4256036972916
38.0,107771.2925,183295.355,107771.2925,183295.355,42.8,17.6,75.2,38.7,91.3,69.4,62.8414413809418,27.7723819233709,89.07992516734423,52.668482124093835,97.83409253135193,84.78434090469798
39.0,107771.614,183294.8899,107771.614,183294.8899,42.4,17.2,74.6,38.3,90.9,69.0,61.823895687034366,26.773401158173233,88.53317622789407,51.480807745133326,98.23790632513334,84.05026394553009
40.0,107771.9338,183294.4267,107771.9338,183294.4267,42.0,16.8,74.1,37.5,91.3,67.1,58.42788416426696,24.61859666251257,84.88891947176099,48.00449368176535,96.14149618897457,80.18406429287504
41.0,107772.2507,183293.9672,107772.2507,183293.9672,40.8,16.2,73.4,35.8,92.6,66.0,55.23962670116121,22.416703884830397,81.64710753307698,44.79681898817798,94.18011694628566,76.70215827795333
42.0,107772.5471,183293.5366,107772.5471,183293.5366,39.8,15.2,71.9,34.1,92.9,65.2,52.44854317337371,20.89363004455861,78.21905740920688,42.08517000041183,91.54164185370415,73.14900743751566
43.0,107772.8104,183293.1531,107772.8104,183293.1531,39.2,14.7,71.7,33.3,93.2,64.8,51.9872213182616,21.096989409711277,76.96122495884453,41.73388013951066,90.0716755252442,71.92452798518087
44.0,107773.1021,183292.7268,107773.1021,183292.7268,39.2,14.5,71.8,33.0,93.1,64.7,53.460572910447645,22.52910591141502,77.86019613562377,43.266092950671414,90.1931680017688,72.99253936156818
45.0,107773.4071,183292.2794,107773.4071,183292.2794,39.4,14.3,71.6,33.0,91.4,65.0,54.58095243614455,23.206980593015444,79.08044674508682,44.51804526739938,90.57041611215007,74.37570060360484
46.0,107773.5618,183292.0519,107773.5618,183292.0519,39.5,14.5,71.4,33.4,90.6,65.1,54.99912549644899,23.6375283377339,79.20049249204422,45.18690267934683,89.71304741843247,74.66611295205189
47.0,107773.984,183291.4287,107773.984,183291.4287,39.7,15.8,70.9,34.8,89.1,63.4,55.80993918198293,24.59160901092058,79.33978066168214,46.28554824317229,88.58130432888221,75.02189711605752
48.0,107774.1271,183291.2168,107774.1271,183291.2168,39.6,15.7,70.4,34.5,88.9,62.4,59.86225344507246,27.326144966863804,83.44067423744407,50.482337958506534,90.65209598315032,79.3791250420251
49.0,107774.4549,183290.7302,107774.4549,183290.7302,39.6,15.0,70.1,33.5,90.1,61.2,58.10469320881948,26.680636284128767,80.65307344981048,49.082392431010724,87.32894628031313,76.54898757375426
50.0,107774.8051,183290.2086,107774.8051,183290.2086,39.2,14.8,71.0,33.0,92.1,62.0,52.57687770563059,23.77075317350347,73.67012018796134,43.75969518263239,81.71530395862985,69.25275643654327
