ID,x_ert,y_ert,x_em,y_em,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,forward_HCPHQP,forward_PRPHQP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP
11.0,107763.8972,183306.3371,107763.8972,183306.3371,28.1,9.0,50.9,20.5,67.8,42.4,30.048093809593492,12.4065744750264,44.338156148318866,22.539561910801428,56.53014830611762,39.10294348510324
12.0,107764.0323,183306.1285,107764.0323,183306.1285,28.4,9.3,52.0,21.0,68.9,43.2,31.078297108055484,12.941450899469514,45.638672904409894,23.59956028342169,57.374710836559174,40.562860123540204
13.0,107764.3457,183305.6431,107764.3457,183305.6431,29.5,9.9,54.9,22.3,71.6,44.9,33.6241423326593,14.521289132465672,48.54731778707904,26.04756219372436,59.652880508825014,43.671230117468056
14.0,107764.6566,183305.1606,107764.6566,183305.1606,31.0,10.1,56.3,23.7,74.1,47.6,35.607283762463744,15.631625771169215,50.94639389447509,28.000416904491814,61.41945371509621,46.23191204656105
15.0,107764.9495,183304.7066,107764.9495,183304.7066,33.0,10.9,59.5,25.9,76.0,51.1,35.73857865712744,15.724954903708605,50.9916891727479,28.344730158795027,60.746571139022564,46.45532928466449
16.0,107765.2262,183304.2798,107765.2262,183304.2798,35.3,12.8,61.6,28.8,76.9,52.7,39.55392342794043,18.134075135041297,55.19154415700892,32.11353947881443,63.65415301597782,50.89548528270692
17.0,107765.5199,183303.8306,107765.5199,183303.8306,37.0,14.0,64.3,30.7,79.5,55.0,49.437555301955015,23.090783712060144,68.04180461001263,41.356669574052226,74.88926653999273,63.928743783363565
18.0,107765.665,183303.6102,107765.665,183303.6102,37.8,14.2,65.9,31.4,81.1,56.7,54.62426295544474,24.333440437996206,76.94886549672752,45.8118832846298,84.3230394293845,72.77347225117413
19.0,107765.9775,183303.1391,107765.9775,183303.1391,39.7,14.5,69.8,33.5,84.0,61.5,51.376526465385936,22.434170097951878,73.26004682536492,42.5664294973976,81.86458724599541,69.02143831151342
20.0,107766.2798,183302.6873,107766.2798,183302.6873,41.0,15.7,72.4,36.3,85.6,66.8,52.70336536979427,23.49736875690769,74.39190095349956,43.90051537392733,82.46042599542284,70.26449381520523
21.0,107766.5826,183302.2372,107766.5826,183302.2372,42.1,16.7,73.6,37.9,85.6,68.2,60.676012663940085,27.85123842932513,84.2254510041367,51.47921739898682,90.58169620003059,80.33656248710774
22.0,107766.9205,183301.737,107766.9205,183301.737,43.1,17.3,75.1,39.3,86.7,69.6,65.21379909914798,30.266467193105324,90.05126713137084,55.64735149145391,95.91319510726234,86.34169978579429
23.0,107767.0703,183301.5159,107767.0703,183301.5159,43.5,17.5,75.7,39.3,87.4,70.3,67.59855823408655,31.38774062711205,93.30020772577586,57.8796242259419,98.77675725019198,89.70304610303157
24.0,107767.4281,183300.9884,107767.4281,183300.9884,44.2,17.9,76.8,40.6,87.7,71.0,70.81542807752251,33.68774217956402,96.43913792727447,61.12244653905031,100.59524645334731,93.06124505532962
25.0,107767.7068,183300.5785,107767.7068,183300.5785,44.5,18.3,76.9,40.7,89.0,70.2,73.13340182975656,36.32023173194516,97.14148014974644,63.766812768473926,99.27868798429324,94.04790229394904
26.0,107768.029,183300.1056,107768.029,183300.1056,44.7,18.2,77.3,40.3,90.9,70.4,72.14744865547638,36.32738704645585,94.96888504764286,63.11058364923147,96.36853526591864,91.90987855406192
27.0,107768.3297,183299.665,107768.3297,183299.665,44.7,17.8,78.1,39.8,92.2,70.5,66.40023320043784,32.90053340608662,88.3177589955199,57.57011566285995,91.22386000456436,85.01518063229267
28.0,107768.5048,183299.4087,107768.5048,183299.4087,44.5,17.8,78.2,39.7,92.9,70.3,64.29018204775136,31.095909891386682,86.72750947101228,55.25747638017829,91.10816022577576,83.13064085811241
29.0,107768.9068,183298.8208,107768.9068,183298.8208,43.2,17.1,76.5,38.6,94.0,69.7,63.08712709606532,28.58999845163025,88.17216222217421,53.35259458019283,95.38147284148322,84.07517929150634
30.0,107769.0577,183298.6003,107769.0577,183298.6003,42.6,16.6,76.7,37.5,95.6,69.3,61.05046293931905,26.132521076427626,87.95675907720279,50.61372806430827,98.28275578079165,83.4118506774285
31.0,107769.3743,183298.1381,107769.3743,183298.1381,42.1,15.9,77.1,36.2,96.7,70.0,56.718029394197785,23.54772341004856,83.0546117814678,46.16016535762386,95.39993667631924,78.21576129780429
32.0,107769.6467,183297.741,107769.6467,183297.741,43.2,16.1,77.1,36.9,95.5,69.9,53.89449335920363,23.359249724300728,77.53627709220488,43.816381985653145,89.30995084525762,72.84237086715467
33.0,107769.9654,183297.2773,107769.9654,183297.2773,43.6,17.7,76.4,39.0,93.0,68.7,57.79604535617205,27.26721108735879,79.61166881739352,48.11528413401106,88.52863699616796,75.427519660768
