ID,x_ert,y_ert,x_em,y_em,EM_HCPHQP,EM_PRPHQP,EM_HCP1QP,EM_PRP1QP,EM_HCP2QP,EM_PRP2QP,forward_HCPHQP,forward_PRPHQP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP
11.0,107763.8972,183306.3371,107763.8972,183306.3371,28.1,9.0,50.9,20.5,67.8,42.4,29.89007593675663,12.121078084339452,44.42902228802635,22.350923315461046,56.783464980133814,39.12669990670347
12.0,107764.0323,183306.1285,107764.0323,183306.1285,28.4,9.3,52.0,21.0,68.9,43.2,30.761295706202933,12.607440009639099,45.469825568599376,23.295306914872697,57.289047038445275,40.338016963063524
13.0,107764.3457,183305.6431,107764.3457,183305.6431,29.5,9.9,54.9,22.3,71.6,44.9,33.417222704725425,14.172843270572468,48.62715189992795,25.818654608125645,59.883877090866406,43.68175729070045
14.0,107764.6566,183305.1606,107764.6566,183305.1606,31.0,10.1,56.3,23.7,74.1,47.6,35.25321367445333,15.129785122562335,50.964288739662685,27.585174572506542,61.77127672549243,46.12534649563615
15.0,107764.9495,183304.7066,107764.9495,183304.7066,33.0,10.9,59.5,25.9,76.0,51.1,35.399887887325136,15.380342266121547,50.81570494965814,27.943908173733863,60.880459656226684,46.12936339671081
16.0,107765.2262,183304.2798,107765.2262,183304.2798,35.3,12.8,61.6,28.8,76.9,52.7,38.92372734277432,17.619999210364774,54.690613351899074,31.428862140859206,63.55455238713956,50.2539196028966
17.0,107765.5199,183303.8306,107765.5199,183303.8306,37.0,14.0,64.3,30.7,79.5,55.0,50.106587856330314,22.88989344902837,69.7338906988956,41.832820110994476,76.96586555298326,65.47004871819361
18.0,107765.665,183303.6102,107765.665,183303.6102,37.8,14.2,65.9,31.4,81.1,56.7,53.320694322256024,23.164590713705444,76.06135065300028,44.426156229896094,84.20881378359854,71.72823628444291
19.0,107765.9775,183303.1391,107765.9775,183303.1391,39.7,14.5,69.8,33.5,84.0,61.5,51.558452144821615,21.967359883074913,74.34378492588844,42.68789036725462,83.11055942315157,70.05910530322564
20.0,107766.2798,183302.6873,107766.2798,183302.6873,41.0,15.7,72.4,36.3,85.6,66.8,52.36423775840932,22.880733344153732,74.60908373144471,43.5731358659225,82.78440404410253,70.46974645787448
21.0,107766.5826,183302.2372,107766.5826,183302.2372,42.1,16.7,73.6,37.9,85.6,68.2,58.69239870153361,26.191905087266267,82.70703032335334,49.39708254082678,90.14586097101883,78.65427538688753
22.0,107766.9205,183301.737,107766.9205,183301.737,43.1,17.3,75.1,39.3,86.7,69.6,63.82938780432834,28.572684711829826,89.76307280044625,54.15105107734202,96.56191955447174,85.81884369773157
23.0,107767.0703,183301.5159,107767.0703,183301.5159,43.5,17.5,75.7,39.3,87.4,70.3,65.82286481383177,29.446360826075605,92.62638156750519,55.94002702707457,99.36653969889814,88.77670705936862
24.0,107767.4281,183300.9884,107767.4281,183300.9884,44.2,17.9,76.8,40.6,87.7,71.0,67.95271886803877,30.99178147652415,94.67508710586034,58.04794158485105,100.65212283812929,91.0237045653279
25.0,107767.7068,183300.5785,107767.7068,183300.5785,44.5,18.3,76.9,40.7,89.0,70.2,69.71209914673936,33.155582864826094,94.96262455846235,60.17028288202702,99.03746079388114,91.5899508519052
26.0,107768.029,183300.1056,107768.029,183300.1056,44.7,18.2,77.3,40.3,90.9,70.4,68.92101813100139,33.246643022920935,93.03520023295638,59.74669671598066,96.16485821145687,89.73361460117631
27.0,107768.3297,183299.665,107768.3297,183299.665,44.7,17.8,78.1,39.8,92.2,70.5,64.18084642329788,30.59218518490869,87.26124271399765,55.26311830671745,91.36332163779497,83.74566118348085
28.0,107768.5048,183299.4087,107768.5048,183299.4087,44.5,17.8,78.2,39.7,92.9,70.3,62.12862797716311,29.05380267042783,85.33336215397256,53.092247297007766,90.5963177047834,81.5441116223146
29.0,107768.9068,183298.8208,107768.9068,183298.8208,43.2,17.1,76.5,38.6,94.0,69.7,60.145186738529965,26.351697301629066,85.51915791949932,50.39552138866165,93.90349859352087,81.24531109111427
30.0,107769.0577,183298.6003,107769.0577,183298.6003,42.6,16.6,76.7,37.5,95.6,69.3,58.45869226472804,24.0655861945406,85.76392930453608,48.0002542594708,97.15735165580381,81.05879894014913
31.0,107769.3743,183298.1381,107769.3743,183298.1381,42.1,15.9,77.1,36.2,96.7,70.0,55.050419844946596,22.11532759555995,81.86384949142432,44.37578900099066,95.23868565841258,76.89355409974294
