ID,x_ert,y_ert,x_em,y_em,EM_HCPHQP,EM_PRPHQP,EM_HCP1QP,EM_PRP1QP,EM_HCP2QP,EM_PRP2QP,forward_HCPHQP,forward_PRPHQP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP
32.0,107769.6467,183297.741,107769.6467,183297.741,43.2,16.1,77.1,36.9,95.5,69.9,52.68785439399598,22.129577508182752,76.95986401198577,42.44853871651327,89.73286872482873,72.13351161536407
33.0,107769.9654,183297.2773,107769.9654,183297.2773,43.6,17.7,76.4,39.0,93.0,68.7,57.39840170265064,26.49120661644795,80.00011286221745,47.54543247180806,89.64135468664871,75.6881943684267
34.0,107770.2848,183296.8136,107770.2848,183296.8136,43.2,18.4,74.8,39.5,92.0,68.4,62.854225393623025,29.33335548465771,86.67744754635676,53.104780513152406,93.93205539919288,82.60602413436042
35.0,107770.5726,183296.3966,107770.5726,183296.3966,42.7,17.3,75.5,38.2,91.9,68.8,63.3849432276065,28.258910218086445,89.24666873490284,53.66931724765273,96.29896825293677,85.15632965307734
36.0,107770.8661,183295.9717,107770.8661,183295.9717,43.0,16.9,76.0,38.2,92.2,70.0,60.76782470831649,26.343942610569652,86.87707492252088,50.98803851858786,95.16210728825435,82.70737598942563
37.0,107771.0316,183295.7324,107771.0316,183295.7324,42.9,17.3,76.1,38.5,91.7,70.0,59.62792365284858,25.733301923348336,85.53813454320574,49.69213039810364,94.74164370928735,81.22879925341643
38.0,107771.2925,183295.355,107771.2925,183295.355,42.8,17.6,75.2,38.7,91.3,69.4,61.74648141182538,26.731843604938263,88.3249594195953,51.58760759202071,97.43775340954197,83.89574399091264
39.0,107771.614,183294.8899,107771.614,183294.8899,42.4,17.2,74.6,38.3,90.9,69.0,61.162135229927706,26.278386699670968,87.83033536481011,50.85519434666162,97.63707590996026,83.22883594107054
40.0,107771.9338,183294.4267,107771.9338,183294.4267,42.0,16.8,74.1,37.5,91.3,67.1,56.94697141962953,23.291262939083765,83.86836583042121,46.41145210063649,96.06558892096942,78.94817989747557
41.0,107772.2507,183293.9672,107772.2507,183293.9672,40.8,16.2,73.4,35.8,92.6,66.0,53.97873612604841,21.2957933138567,80.84437409574538,43.30135995760254,94.62680936173865,75.69278315962323
42.0,107772.5471,183293.5366,107772.5471,183293.5366,39.8,15.2,71.9,34.1,92.9,65.2,51.567632245843434,20.057818426225168,77.67824771638811,41.11157928017334,91.64493454060779,72.4428736009367
43.0,107772.8104,183293.1531,107772.8104,183293.1531,39.2,14.7,71.7,33.3,93.2,64.8,51.29791855408282,20.41552187518225,76.6180080895023,41.000880613025096,90.15590345668144,71.50307437160318
44.0,107773.1021,183292.7268,107773.1021,183292.7268,39.2,14.5,71.8,33.0,93.1,64.7,52.007285228183505,21.261681909648257,76.80416494980723,41.79130030699141,89.7771989171232,71.88081837876001
45.0,107773.4071,183292.2794,107773.4071,183292.2794,39.4,14.3,71.6,33.0,91.4,65.0,52.67294824268347,21.71737562420451,77.4475517868485,42.5770741272783,89.78222134399995,72.68060727574122
46.0,107773.5618,183292.0519,107773.5618,183292.0519,39.5,14.5,71.4,33.4,90.6,65.1,52.94219112929714,22.160615576667833,77.2214661440052,43.1286457542311,88.52602259542037,72.59324645784493
47.0,107773.984,183291.4287,107773.984,183291.4287,39.7,15.8,70.9,34.8,89.1,63.4,54.06697292708149,23.17119700587678,77.9592832502732,44.47569903874557,88.10379681183156,73.51512199894641
48.0,107774.1271,183291.2168,107774.1271,183291.2168,39.6,15.7,70.4,34.5,88.9,62.4,60.09192900464892,26.889100955524643,84.59112614379146,50.53070912982091,92.32506569469064,80.39382718133153
49.0,107774.4549,183290.7302,107774.4549,183290.7302,39.6,15.0,70.1,33.5,90.1,61.2,58.0069360592308,26.167917886882687,81.29239163162077,48.802976120320714,88.61061266578044,77.07073287930288
50.0,107774.8051,183290.2086,107774.8051,183290.2086,39.2,14.8,71.0,33.0,92.1,62.0,50.43917091153296,22.44230571366356,71.29787819038869,41.67622159449841,79.96980470844234,66.79125148404476
