ID,x_ert,y_ert,x_em,y_em,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP,forward_HCP4QP,forward_PRP4QP
11.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,79.9492461203299,42.49018262945685,105.66226255129668,65.91250900012497,120.50006937149452,104.38203856980405
12.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,82.32751404952624,41.622298976341305,109.4991646825537,67.92617400716401,122.91968038157991,107.93456490568633
13.0,41668.44947,204314.7587,41668.44947,204314.7587,108.6,41.9,136.0,78.2,149.4,135.0,85.30496431979897,42.388739007280314,114.13725885018953,70.76177448725804,126.55995918807179,112.7543785707942
14.0,41668.57399,204314.1439,41668.57399,204314.1439,111.1,46.3,139.3,81.1,152.1,143.4,93.49829788305968,48.20465257371911,123.58664200099932,78.83065766844999,134.11589439344542,123.54549255996093
15.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,101.58009034328843,50.59234244333467,135.2526494316187,86.05023006706757,144.14340800040307,135.96877353563366
16.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,109.97319310373815,52.21609309717672,149.4113081465783,93.13386657982637,157.96886347296578,151.3341410981428
17.0,41668.84943,204312.794,41668.84943,204312.794,119.8,50.9,150.5,92.8,159.9,158.3,118.24341306976007,56.60290691324745,160.85447878861785,100.72075656779556,168.6097874708709,164.42735764883736
18.0,41668.98012,204312.1909,41668.98012,204312.1909,124.6,50.7,158.1,96.5,165.7,165.2,128.5335695831803,59.49326345693921,176.35112223096345,109.71150774077994,182.56219944483925,181.48052556614954
19.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,130.76560607971615,59.036672973615126,181.27240163218886,111.05796026490945,188.62778656069418,187.08321456294948
20.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,129.2509057787126,59.79077729508859,180.21705769624785,109.41716680304383,190.40828524823,186.82798425163105
21.0,41669.28864,204310.8778,41669.28864,204310.8778,130.9,50.0,169.5,98.2,179.9,176.8,123.91621860151768,56.36274160974887,174.41915701049635,104.03461412422607,186.79584025461563,180.14713565156933
22.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,123.59106706772748,57.35893548965531,171.1098460070583,104.28741572861884,181.3965670932385,176.00325351210128
23.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,118.64722167307431,60.25055054033988,159.54903843030496,101.16370217557554,168.90390816507895,163.76325449326387
24.0,41669.65117,204309.472,41669.65117,204309.472,135.3,52.2,175.0,99.5,190.1,177.1,116.91004214125742,60.05964018871367,154.68925709931014,100.30802253606731,161.28770676208438,157.8366386995405
