ID,x_ert,y_ert,x_em,y_em,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP,forward_HCP4QP,forward_PRP4QP
11.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,80.12451846194088,42.36891402036783,106.25534983299454,66.00383426700462,121.31432103373533,105.04983378566637
12.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,82.47407002834944,41.181750935392856,110.35258089338892,67.99336178453802,123.91966655581581,108.79692073524329
13.0,41668.44947,204314.7587,41668.44947,204314.7587,108.6,41.9,136.0,78.2,149.4,135.0,86.17233559634472,42.29264900562159,115.77550913692752,71.5648193746673,127.97103824111181,114.45071351082171
14.0,41668.57399,204314.1439,41668.57399,204314.1439,111.1,46.3,139.3,81.1,152.1,143.4,94.75876415579698,48.42195665230647,125.45599336644543,80.08967584907873,135.36307301476515,125.44645554833123
15.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,102.68185808516934,50.75839583506625,136.9556304410963,87.14130077799197,145.34590409153807,137.75451317102858
16.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,112.01095828541193,52.88461577623765,152.2026946707776,95.15084434362063,159.84510080552437,154.3293909288925
17.0,41668.84943,204312.794,41668.84943,204312.794,119.8,50.9,150.5,92.8,159.9,158.3,120.06725002237634,57.175271924582376,163.33983479717992,102.59426508830333,170.04383937847453,167.17881599061502
18.0,41668.98012,204312.1909,41668.98012,204312.1909,124.6,50.7,158.1,96.5,165.7,165.2,129.72114540599415,59.62562902772554,178.2318643306957,110.90467096817223,183.76286349982223,183.5227901168303
19.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,132.22649502392747,59.26078662519178,183.5794045639799,112.49955858206773,190.1716800609632,189.53173011772358
20.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,130.8400294826946,60.257542891511534,182.60803324487313,110.94760693015454,192.16280233206766,189.47175121149235
