"Z,Resistivity(ohm.m),easting,northing,nb_electrode"
"-2.4,13.52884,107761.949,183309.372,4.0"
"-2.3,15.28885,107761.949,183309.372,4.0"
"-2.2,12.26455,107761.949,183309.372,4.0"
"-2.1,12.84317,107761.949,183309.372,4.0"
"-2.0,10.25488,107761.949,183309.372,4.0"
"-1.9,13.070003333333332,107761.949,183309.372,4.0"
"-1.7,12.60744,107761.949,183309.372,4.0"
"-1.6,16.0833,107761.949,183309.372,4.0"
"-1.5,12.63628,107761.949,183309.372,4.0"
"-1.4,15.659254999999998,107761.949,183309.372,4.0"
"-1.3,13.705105,107761.949,183309.372,4.0"
"-1.2,16.5988625,107761.949,183309.372,4.0"
"-1.1,18.528405,107761.949,183309.372,4.0"
"-1.0,19.44204,107761.949,183309.372,4.0"
"-0.9,22.169027500000002,107761.949,183309.372,4.0"
"-0.8,24.113649999999996,107761.949,183309.372,4.0"
"-0.7,30.41823,107761.949,183309.372,4.0"
"-0.6,32.33063,107761.949,183309.372,4.0"
"-0.5,34.49254,107761.949,183309.372,4.0"
"-0.4,43.00442,107761.949,183309.372,4.0"
"-0.3,53.4057175,107761.949,183309.372,4.0"
"-0.2,71.2815075,107761.949,183309.372,4.0"
"-0.1,78.159586,107761.949,183309.372,4.0"
"-0.0,87.53586,107761.949,183309.372,4.0"
"-4.9,23.670704999999998,107762.23,183308.958,5.0"
"-4.7,23.516846666666666,107762.23,183308.958,5.0"
"-4.5,22.87868333333333,107762.23,183308.958,5.0"
"-4.4,21.77891,107762.23,183308.958,5.0"
"-4.3,22.693174999999997,107762.23,183308.958,5.0"
"-4.1,21.619466666666668,107762.23,183308.958,5.0"
"-4.0,20.22409,107762.23,183308.958,5.0"
"-3.9,20.780835,107762.23,183308.958,5.0"
"-3.7,19.58199,107762.23,183308.958,5.0"
"-3.5,18.422986666666667,107762.23,183308.958,5.0"
"-3.3,17.21536,107762.23,183308.958,5.0"
"-3.1,15.721865000000001,107762.23,183308.958,5.0"
"-3.0,15.56953,107762.23,183308.958,5.0"
"-2.9,14.229140000000001,107762.23,183308.958,5.0"
"-2.8,13.60557,107762.23,183308.958,5.0"
"-2.7,13.03393,107762.23,183308.958,5.0"
"-2.6,13.46649,107762.23,183308.958,5.0"
"-2.5,11.45785,107762.23,183308.958,5.0"
"-2.4,11.50716,107762.23,183308.958,5.0"
"-2.3,10.05496,107762.23,183308.958,5.0"
"-2.2,11.0705575,107762.23,183308.958,5.0"
"-2.1,11.00778,107762.23,183308.958,5.0"
"-2.0,9.614725,107762.23,183308.958,5.0"
"-1.9,11.47685,107762.23,183308.958,5.0"
"-1.8,9.644309999999999,107762.23,183308.958,5.0"
"-1.7,10.54239,107762.23,183308.958,5.0"
"-1.6,10.27511,107762.23,183308.958,5.0"
"-1.5,11.970046666666667,107762.23,183308.958,5.0"
"-1.4,11.70565,107762.23,183308.958,5.0"
"-1.3,13.6526975,107762.23,183308.958,5.0"
"-1.2,16.473287499999998,107762.23,183308.958,5.0"
"-1.0,20.14161,107762.23,183308.958,5.0"
"-0.9,25.03708,107762.23,183308.958,5.0"
"-0.8,30.407185,107762.23,183308.958,5.0"
"-0.7,33.94168,107762.23,183308.958,5.0"
"-0.6,38.203435999999996,107762.23,183308.958,5.0"
"-0.5,42.75771666666666,107762.23,183308.958,5.0"
"-0.4,43.00442,107762.23,183308.958,5.0"
"-0.3,51.56525799999999,107762.23,183308.958,5.0"
"-0.2,63.16949,107762.23,183308.958,5.0"
"-0.1,75.90972833333333,107762.23,183308.958,5.0"
"-4.9,25.34121,107762.511,183308.545,6.0"
"-4.7,25.120316666666668,107762.511,183308.545,6.0"
"-4.5,25.361424999999997,107762.511,183308.545,6.0"
"-4.4,25.12045,107762.511,183308.545,6.0"
"-4.3,22.693174999999997,107762.511,183308.545,6.0"
"-4.2,24.964925,107762.511,183308.545,6.0"
"-4.1,22.718535,107762.511,183308.545,6.0"
"-3.9,21.239206666666664,107762.511,183308.545,6.0"
"-3.8,23.01118,107762.511,183308.545,6.0"
"-3.7,20.122790000000002,107762.511,183308.545,6.0"
"-3.5,18.99904666666667,107762.511,183308.545,6.0"
"-3.3,16.9361,107762.511,183308.545,6.0"
"-3.1,15.300075,107762.511,183308.545,6.0"
"-3.0,14.60816,107762.511,183308.545,6.0"
"-2.9,13.86159,107762.511,183308.545,6.0"
"-2.8,13.14273,107762.511,183308.545,6.0"
"-2.7,12.372476666666666,107762.511,183308.545,6.0"
"-2.5,11.165816666666666,107762.511,183308.545,6.0"
"-2.4,10.76521,107762.511,183308.545,6.0"
"-2.3,9.89075,107762.511,183308.545,6.0"
"-2.2,9.876565,107762.511,183308.545,6.0"
"-2.1,8.71617,107762.511,183308.545,6.0"
"-2.0,8.80883,107762.511,183308.545,6.0"
"-1.8,9.131710000000002,107762.511,183308.545,6.0"
"-1.7,9.264145,107762.511,183308.545,6.0"
"-1.6,10.27511,107762.511,183308.545,6.0"
"-1.5,10.595303333333334,107762.511,183308.545,6.0"
"-1.4,11.85521,107762.511,183308.545,6.0"
"-1.3,13.600290000000001,107762.511,183308.545,6.0"
"-1.2,16.25617,107762.511,183308.545,6.0"
"-1.1,18.57223,107762.511,183308.545,6.0"
"-1.0,22.22357,107762.511,183308.545,6.0"
"-0.9,28.2216925,107762.511,183308.545,6.0"
"-0.8,33.09899,107762.511,183308.545,6.0"
