ID,x_ert,y_ert,x_em,y_em,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP,forward_HCP4QP,forward_PRP4QP
11.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,82.02136638767757,44.36517975267881,106.977590043246,68.02703875386291,120.8116114040595,105.88475034617599
12.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,84.94154423811052,44.00313808359626,111.03081807923635,70.6161691426655,123.0922617408094,109.71477399768669
13.0,41668.44947,204314.7587,41668.44947,204314.7587,108.6,41.9,136.0,78.2,149.4,135.0,87.36844909386254,44.73274347853447,114.86651095465007,72.81451509275344,126.52289417221404,113.76943810338244
14.0,41668.57399,204314.1439,41668.57399,204314.1439,111.1,46.3,139.3,81.1,152.1,143.4,95.98753449556736,50.99652642104813,124.56368059490214,81.28379770426507,134.25067707686577,124.84883430345415
15.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,103.6893022378627,53.11270759224132,135.85857238661794,88.15097632026969,143.9899129677543,136.8791494570941
16.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,111.01628435408642,54.16972984774347,148.94093886753816,94.12432194068981,157.4271101579323,151.08741069834144
17.0,41668.84943,204312.794,41668.84943,204312.794,119.8,50.9,150.5,92.8,159.9,158.3,120.23545644413726,59.29469323400542,161.13837657929355,102.65282191081995,168.47503824759104,165.03082768209046
18.0,41668.98012,204312.1909,41668.98012,204312.1909,124.6,50.7,158.1,96.5,165.7,165.2,130.28017235547097,61.74489748034277,176.67782923280262,111.4370082809364,182.3931690600087,181.9994203769787
19.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,132.455856229106,61.27773118835766,181.3783492342153,112.77393949460809,188.12218167203525,187.39290545993734
20.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,129.9060731439415,61.087850752637145,179.47034545114383,110.1948166423636,189.13751938536203,186.05139603548912
21.0,41669.28864,204310.8778,41669.28864,204310.8778,130.9,50.0,169.5,98.2,179.9,176.8,123.88136553874546,57.7635901875091,172.15140327417834,104.20598462955411,184.17947390620571,177.73969212354692
22.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,124.51956287552387,59.21565342663895,170.00154807605531,105.43845830941207,179.40226574971285,174.8579286629442
23.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,120.0383006856345,62.223762386605465,159.20811914584877,102.708284786898,167.65080083644395,163.46790105719185
24.0,41669.65117,204309.472,41669.65117,204309.472,135.3,52.2,175.0,99.5,190.1,177.1,118.90387764155716,62.37697090544683,155.09150882961006,102.38371078436516,160.7320342376611,158.4375626584667
