,LT0,LS0,ID0
0,0.105,0.111,0.121
1,0.518,0.53,0.565
2,0.257,0.266,0.282
3,0.263,0.273,0.257
4,0.65,0.65,0.65
5,0.29,0.3,0.362
6,0.0,0.0,0.0
7,0.578,0.59,0.644
8,0.204,0.212,0.263
9,0.432,0.309,0.401
10,0.318,0.448,0.354
11,0.458,0.486,0.357
12,0.496,0.479,0.51
13,0.49,0.65,0.553
14,0.65,0.481,0.65
15,0.491,0.154,0.585
16,0.16,0.524,0.185
17,0.534,0.295,0.65
18,0.304,0.644,0.211
19,0.65,0.65,0.578
20,0.65,0.105,0.488
21,0.11,0.65,0.139
22,0.65,0.482,0.477
23,0.493,0.65,0.394
24,0.65,0.443,0.65
25,0.65,0.65,0.65
26,0.0,0.0,0.0
27,0.43,0.441,0.409
28,0.275,0.285,0.272
29,0.65,0.65,0.65
