Z,Resistivity(ohm.m),easting,northing,nb_electrode
-4.7,3.93659,41665.091,204320.014,1.0
-4.5,4.18841,41665.091,204320.014,1.0
-4.3,4.48839,41665.091,204320.014,1.0
-4.1,4.76161,41665.091,204320.014,1.0
-4.0,4.79162,41665.091,204320.014,1.0
-3.8,5.18093,41665.091,204320.014,1.0
-3.6,5.55438,41665.091,204320.014,1.0
-3.4,6.08466,41665.091,204320.014,1.0
-3.3,6.1801,41665.091,204320.014,1.0
-3.0,6.79999,41665.091,204320.014,1.0
-2.8,7.44705,41665.091,204320.014,1.0
-2.7,7.81359,41665.091,204320.014,1.0
-2.5,8.64507,41665.091,204320.014,1.0
-2.4,9.12912,41665.091,204320.014,1.0
-2.1,10.18575,41665.091,204320.014,1.0
-2.0,10.7996,41665.091,204320.014,1.0
-1.8,12.1492,41665.091,204320.014,1.0
-1.6,12.86486,41665.091,204320.014,1.0
-1.4,14.38003,41665.091,204320.014,1.0
-1.3,15.15221,41665.091,204320.014,1.0
-1.1,16.7038,41665.091,204320.014,1.0
-1.0,17.476860000000002,41665.091,204320.014,1.0
-0.8,18.88915,41665.091,204320.014,1.0
-0.7,19.48686,41665.091,204320.014,1.0
-0.5,21.09671,41665.091,204320.014,1.0
-0.3,20.721044999999997,41665.091,204320.014,1.0
-0.2,23.053085,41665.091,204320.014,1.0
-0.1,23.738463333333332,41665.091,204320.014,1.0
-0.0,25.52404,41665.091,204320.014,1.0
-4.9,3.66865,41665.283,204319.552,2.0
-4.7,3.7825499999999996,41665.283,204319.552,2.0
-4.5,4.03347,41665.283,204319.552,2.0
-4.3,4.32818,41665.283,204319.552,2.0
-4.1,4.616665,41665.283,204319.552,2.0
-4.0,4.640985000000001,41665.283,204319.552,2.0
-3.8,5.18093,41665.283,204319.552,2.0
-3.7,4.87166,41665.283,204319.552,2.0
-3.6,5.39731,41665.283,204319.552,2.0
-3.4,5.741116666666667,41665.283,204319.552,2.0
-3.3,5.998475,41665.283,204319.552,2.0
-3.1,6.37405,41665.283,204319.552,2.0
-3.0,6.723936666666667,41665.283,204319.552,2.0
-2.8,7.348886666666666,41665.283,204319.552,2.0
-2.7,7.74139,41665.283,204319.552,2.0
-2.5,8.574069999999999,41665.283,204319.552,2.0
-2.4,9.12912,41665.283,204319.552,2.0
-2.3,8.960265,41665.283,204319.552,2.0
-2.1,10.113113333333333,41665.283,204319.552,2.0
-2.0,10.783235000000001,41665.283,204319.552,2.0
-1.8,12.1492,41665.283,204319.552,2.0
-1.7,12.33548,41665.283,204319.552,2.0
-1.6,13.027323333333333,41665.283,204319.552,2.0
-1.4,14.566809999999998,41665.283,204319.552,2.0
-1.3,15.532649999999999,41665.283,204319.552,2.0
-1.1,17.21643,41665.283,204319.552,2.0
-1.0,17.791443333333333,41665.283,204319.552,2.0
-0.8,19.372073333333333,41665.283,204319.552,2.0
-0.7,20.657773333333335,41665.283,204319.552,2.0
-0.6,23.380295,41665.283,204319.552,2.0
-0.5,22.024715,41665.283,204319.552,2.0
-0.4,27.31224,41665.283,204319.552,2.0
-0.3,24.342426,41665.283,204319.552,2.0
-0.2,23.053085,41665.283,204319.552,2.0
-0.1,27.174985714285715,41665.283,204319.552,2.0
-0.0,25.52404,41665.283,204319.552,2.0
-4.9,3.5199,41665.475,204319.091,3.0
-4.7,3.4856949999999998,41665.475,204319.091,3.0
-4.5,3.7374,41665.475,204319.091,3.0
-4.3,4.0190600000000005,41665.475,204319.091,3.0
-4.1,4.3228,41665.475,204319.091,3.0
-4.0,4.347685,41665.475,204319.091,3.0
-3.7,4.72828,41665.475,204319.091,3.0
-3.6,4.94873,41665.475,204319.091,3.0
-3.4,5.435733333333334,41665.475,204319.091,3.0
-3.3,5.67852,41665.475,204319.091,3.0
-3.1,6.240640000000001,41665.475,204319.091,3.0
-3.0,6.567173333333333,41665.475,204319.091,3.0
-2.8,7.168773333333334,41665.475,204319.091,3.0
-2.7,7.53454,41665.475,204319.091,3.0
-2.5,8.361895,41665.475,204319.091,3.0
-2.3,8.80617,41665.475,204319.091,3.0
-2.1,9.77152,41665.475,204319.091,3.0
-2.0,10.360293333333333,41665.475,204319.091,3.0
-1.8,11.528265,41665.475,204319.091,3.0
-1.7,12.399326666666667,41665.475,204319.091,3.0
-1.6,13.155505,41665.475,204319.091,3.0
-1.5,13.43711,41665.475,204319.091,3.0
-1.4,15.019995,41665.475,204319.091,3.0
-1.3,15.41117,41665.475,204319.091,3.0
-1.2,15.73662,41665.475,204319.091,3.0
-1.1,17.479,41665.475,204319.091,3.0
-1.0,18.313246666666668,41665.475,204319.091,3.0
-0.8,20.376686666666668,41665.475,204319.091,3.0
-0.7,21.345010000000002,41665.475,204319.091,3.0
