,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.75,EC_1.00,EC_1.50,EC_2.00,EC_end,pos
0,41564.55392755495,204206.5968874237,50.966998599463906,36.42749365349803,73.65239561377622,148.52326231424718,153.17036447637594,113.70677843425888,255.71317710256056,334.2219208375221,228.43406222381603,388.03910865136896,2001
1,41548.70963634274,204311.5916441949,59.89851305129784,31.92130059135691,51.05922135950024,249.86810157225634,127.80551925508229,276.00940249722066,360.4192158641979,217.1083732695392,289.11156865453086,179.47249799917614,2002
2,41589.74878156025,204167.83234439412,24.81047956758736,71.09625669776415,85.40447008646235,79.00887335609382,259.1816724830753,166.35376170576734,199.59970377615747,341.94049955773755,555.9974803290487,260.0517295432778,2003
3,41668.938801234064,204238.3061650535,47.40215637033066,66.5804510145216,130.63644997197392,118.29202157239506,235.96324644572377,172.45738743655468,237.24593810636955,257.76476802207964,270.1876737904567,372.1713782713248,2004
4,41521.70417504899,204334.5501634116,40.89213454967349,76.41849998354353,83.09828723752933,152.23994231973967,196.00949316090544,167.21864234342996,171.946421075965,418.45636840837346,426.1385162413271,528.7962035633193,2005
5,41617.19729464456,204259.13055548072,46.388593699186366,47.69176991902912,66.09956975529441,105.08470776339385,160.021647780857,141.0930977853213,160.64474938367272,391.3759746523794,260.2433228244512,373.7729646172324,2006
6,41576.96634533012,204271.18567882103,26.868386606323988,27.729444465078018,41.92285291543229,119.23393472119335,356.07687484830126,107.85838377895061,145.37011010903973,366.1098452928135,866.0862331387173,229.0406635434298,2007
7,41533.47094282546,204357.0105559174,57.878038232797756,58.01599499264006,35.96970127581363,152.18342837891257,157.94748956459716,204.49577504749212,163.95869166772138,231.19671988111628,221.95868597661647,312.7867745461871,2008
8,41643.02475027197,204298.69405943248,35.683658274463916,52.08451989179538,176.36055761198466,238.3626815899261,101.36652608401552,92.1862291397579,405.35577972980127,293.002458789897,348.49856692437265,364.1757279753667,2009
9,41701.02319091729,204261.7082008617,54.23557618371348,67.59530490713098,38.706223695033806,81.8154437448718,217.5464701296778,199.63238364352583,85.11243843927295,588.4529003445366,890.1239314954549,202.75367288914111,2010
10,41513.578573637205,204286.157007345,74.25626426298258,59.303937846859355,62.24179923186945,116.29029050192568,112.94294745173337,476.68822099417713,247.39410474112722,173.9683085467373,569.2366452894297,228.15083644364884,2011
11,41619.51167168554,204273.26360305023,28.3644719995931,72.092617615825,45.04982142188757,222.64253900350099,97.10459825145955,195.28851170781093,177.32620987657316,278.66000139865844,342.8847246229999,224.92186632473596,2012
12,41684.47119294455,204247.36901336536,72.31960336103141,73.86390695245349,83.99992904334823,231.54285721308523,222.14205696253725,323.3077149486865,256.4914344620735,269.9713554150794,430.7540970854998,707.7957559503095,2013
13,41590.8101070179,204181.1297664037,58.734153423461215,62.00896410917117,52.329025030277705,164.96003054642705,132.56288953880954,177.38526875222223,106.85338557598406,335.3728849705378,368.6568903027334,464.3376812140739,2014
14,41563.16722123715,204364.86717314,81.24135379093948,61.886236638115356,63.402019556998695,142.0439679312619,197.78075378149,332.9369187039144,380.05568363096745,194.77348816736114,423.4612350424181,225.19639677351006,2015
