,x,y,EC_0.30,EC_0.60,EC_1.00,EC_1.50,EC_2.00,EC_end,pos
0,41564.55392755495,204206.5968874237,43.08210346357873,239.98493745450514,163.82260763049538,242.13977156351757,172.0276547862697,472.089747648932,2001
1,41548.70963634274,204311.5916441949,56.24345500510154,302.6075486836965,158.45488318021523,277.5164009511555,229.36509610407302,317.98048256581,2002
2,41589.74878156025,204167.83234439412,25.068262408409346,94.0327959857959,258.9611870644479,143.5055111802959,374.6994060530758,628.6277830378992,2003
3,41668.938801234064,204238.3061650535,77.8983230707353,188.1732684426774,111.9821507181173,267.78978206327133,959.0924329256985,274.50749071157355,2004
4,41521.70417504899,204334.5501634116,62.97567476636704,259.2924996206661,283.50540961197726,262.77643067896787,422.5729293488456,270.11337442641775,2005
5,41617.19729464456,204259.13055548072,70.62967498763311,162.06960803000953,270.9905650820648,189.63818503397252,588.8053668890909,250.70755713283745,2006
6,41576.96634533012,204271.18567882103,32.5550698384429,129.08825906630648,103.66850121453012,319.2851293813404,249.53000978692856,490.7839607404655,2007
7,41533.47094282546,204357.0105559174,55.03853504493226,146.63115303204688,118.92716167940996,262.1187969910424,334.4113879825727,321.55306399917924,2008
8,41643.02475027197,204298.69405943248,41.047116943872474,122.70689349004175,171.83837404859065,199.27210143267928,381.46273045350506,239.6595156309067,2009
9,41701.02319091729,204261.7082008617,44.580348703471046,280.20705316698934,164.02815153868315,294.39559631075053,753.4255101799778,416.57575236844184,2010
10,41513.578573637205,204286.157007345,34.992924892235635,241.8046012051252,320.895710055317,130.21222176122495,345.3901163570726,354.96804794505476,2011
11,41619.51167168554,204273.26360305023,34.211991544657046,80.46307828721385,156.97718106598128,144.33595585084933,433.61022039919123,370.84543993485056,2012
12,41684.47119294455,204247.36901336536,58.66535164038767,114.97857767066779,396.7349180732526,407.7757358843609,836.5374959972361,376.86005419490954,2013
13,41590.8101070179,204181.1297664037,49.060998739607506,129.36071163217062,168.1786290250361,354.770885308923,483.8073492392059,392.55916958954975,2014
14,41563.16722123715,204364.86717314,52.47186553478101,268.75598501245963,281.1555486495844,309.0659865842037,253.9642056113528,255.22459640146576,2015
