,x,y,EC_0.30,EC_0.60,EC_1.00,EC_1.50,EC_2.00,EC_end,pos
0,41668.19202084596,204315.99513202533,50.32651978419936,151.2684584874415,90.583776776717,115.38598992857904,227.29666783637265,248.8822518258515,11
1,41668.3472825393,204315.37241863552,72.21919188954709,80.45260836396366,111.80897301748132,138.27239082694436,235.21262894158255,248.1724793125453,12
2,41668.50903895529,204314.7196479328,70.23808937200332,58.798073471294515,114.56588133524926,345.5875564632591,150.20845379259978,191.63351635717848,13
3,41668.63501882799,204314.1905125501,69.85969169941364,116.2326758340767,140.3918519987071,199.23854105770556,239.0191015339932,224.4736769495241,14
4,41668.77709984346,204313.54194829613,69.65504851361693,168.74523007706034,174.29803688819544,125.72261983293166,332.22492389684277,219.9893822055847,15
5,41668.77709984346,204313.54194829613,63.704409976280715,219.7205984534554,118.1774681120829,111.62394166985425,277.47376591028683,267.2796114612841,16
6,41668.90555317087,204312.8592560692,68.0183965481454,194.58223069305447,208.14860659132046,194.22338816469593,233.60856781982636,208.24579519909,17
7,41669.0166532396,204312.1780343056,72.99608419449626,169.68412391887023,236.06708635395447,106.03532947445812,469.6276534890475,213.68398791320038,18
8,41669.11323629835,204311.5631052591,61.05249139129134,256.85100220260745,104.03061981682528,255.12341918774143,196.40626986276314,325.1862652344565,19
9,41669.11323629835,204311.5631052591,70.31942443924032,166.4795439776451,248.3030693865809,174.38618875041814,271.48814306637246,291.19859276496913,20
10,41669.24071259088,204310.8202432543,72.00115517897068,202.65452141502655,163.0180527334801,170.93404914730857,244.81078791589886,388.5493606682529,21
11,41669.383476408286,204310.13288855832,72.89096151425045,237.57266406024473,120.50038544315312,139.37845813517652,345.55138785988834,398.09927744978984,22
12,41669.383476408286,204310.13288855832,65.86024187591941,185.38808165654743,202.29879267640985,163.09103876401073,381.5315249169591,345.1763243102982,23
13,41669.54537208696,204309.4780747741,71.15939803977162,241.69150669989762,118.189337614377,174.2311877012758,159.95786002171113,500.47376019463417,24
14,41669.72790131651,204308.82152952533,67.60939275779126,205.71437002492837,184.18898827556126,103.53530355129828,170.04406939438587,531.5522753792401,25
15,41669.91452752872,204308.19206115045,75.73913066122792,166.91485497545725,86.93019744187166,306.0091565748569,428.85059739529333,344.28722079393356,26
16,41669.91452752872,204308.19206115045,67.95822898495085,197.3440802562299,106.58875128671822,227.45475341470393,350.28658096894173,420.92163948053826,27
17,41670.06883567719,204307.6838246481,70.23905045106812,190.17097526261205,164.72031645913103,175.35780639979376,396.9122333477916,405.3927307695396,28
18,41670.26317483242,204307.0446018968,61.287326648011785,177.9628135509902,249.60307104796607,164.9632687450305,286.7654699265252,406.06307765065253,29
19,41670.44565430384,204306.45329594423,78.2223848573509,150.0494730407093,216.56800994478863,165.484624762747,302.39449760272964,458.0051916133252,30
20,41670.62939167167,204305.8741119178,72.23962193342115,197.70646440413674,141.42992719705634,188.03985371666988,293.9440032582066,494.35105689203436,31
21,41670.62939167167,204305.8741119178,57.91235080234622,208.91497181180375,187.98892235731353,181.62568300981727,407.3925852658457,380.92179648749106,32
22,41670.82280811161,204305.28322808532,73.99206431710806,172.33940332364944,123.07491304336517,334.34888657077806,237.6554098969214,431.88569840200773,33
23,41671.04115817082,204304.64091594703,73.98721745896103,203.49146279339826,86.0553651584201,167.77800093022978,197.28421375185968,653.4066450392589,34
24,41671.24523580557,204304.0662475042,67.31473997643661,134.63684864355352,144.72386185065315,155.49868894880072,345.6393242321468,567.6633287382779,35
25,41671.4871630702,204303.4203333482,63.0910836914651,135.3140943892461,89.95443240993232,196.10463494434794,475.26019849034776,536.7104752506641,36
26,41671.4871630702,204303.4203333482,72.20190291317002,122.12855855495894,110.65714059621263,208.52268777130917,219.5613943376663,627.9655831384139,37
27,41671.714149682026,204302.84615405928,74.65150462359247,80.053828811738,166.14733208667366,141.10073060605163,423.95063741039456,572.9428155044741,38
