,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.75,EC_1.00,EC_1.50,EC_2.00,EC_end,pos
0,41668.19202084596,204315.99513202533,18.728990022709915,43.426591155117904,99.3061902308657,98.62145608715335,100.45286680836355,156.90156024869216,115.82259730132591,182.2470508030748,227.6854167674765,305.412294921772,11
1,41668.3472825393,204315.37241863552,43.671152683835004,59.21682638809985,13.57309497079804,156.45876292535524,225.04143633069398,126.28612305610385,112.52988568523523,127.77561174779176,241.61282410772023,215.56189290944732,12
2,41668.50903895529,204314.7196479328,68.32551101344778,47.21572173911337,17.96954999106457,115.55228279489265,259.1663299662423,119.79679310517545,188.22579110455797,154.85087143133575,205.6766421196916,244.01097295421505,13
3,41668.63501882799,204314.1905125501,44.829040605761534,60.690552204341806,14.628445486739869,110.41314248694438,79.81297682001264,111.49672726436344,116.13751729006964,124.6099485323144,320.7687826995,192.56615362853304,14
4,41668.77709984346,204313.54194829613,32.01404568662437,81.21160171479775,153.5889031363885,62.615169078269915,270.9146471968843,91.2740678133477,157.3941787439972,113.91918768788719,197.4237896878598,255.84203672943158,15
5,41668.77709984346,204313.54194829613,44.00309587741596,41.00645354562086,20.69739364924003,74.05385131902756,191.74766187696486,130.21495547893608,173.99082181594622,170.02694801753464,344.52553840311487,219.41377637967585,16
6,41668.90555317087,204312.8592560692,44.98844012201465,26.647197116761745,106.23009351124223,188.86348173054773,69.3512105360207,108.46080882637722,137.46327320774003,171.22060885238974,340.0229050539422,304.3858925306926,17
7,41669.0166532396,204312.1780343056,49.704935656882625,44.013950955277295,67.7010487849161,119.56114585225285,91.74991797970283,126.48201804346255,172.26729590357434,223.53737079465714,201.76320309722266,284.2458648345764,18
8,41669.11323629835,204311.5631052591,33.505300433689555,37.68215450217592,31.547830091312825,90.78723691775849,122.34327559209656,188.44257568822525,259.3200277455395,148.6065866866573,246.10532633175296,236.65889012133607,19
9,41669.11323629835,204311.5631052591,31.869748010626132,40.87832678341695,115.14354721993632,76.09249149687614,76.67000815674655,100.72769301748457,225.69054367754484,173.49596398820984,434.4073476633855,201.2772138011839,20
