,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,0.00,1.50,0.50,1.00,48.78,0.18,-4.80,16.646,1.072,500,3.1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0,0,0,0,3,0.000,1,0,1.395,00.000000,00.000000,,23082201,1,0,12.87,0.0,12.55,33.4,22/08/2023 16:04:28,0,0
,Mixed / non conventional,0.00,2.50,1.00,1.50,35.04,0.75,55.92,14.669,3.946,500,9.4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,3,4,0,0,0,0,3,0.000,6,0,1.417,00.000000,00.000000,,23082201,1,0,12.87,0.0,12.55,33.8,22/08/2023 16:04:31,0,0
,Mixed / non conventional,0.00,3.50,1.50,2.00,27.24,0.068,-31.35,15.470,10.705,500,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8,4,5,0,0,0,0,3,0.000,16,0,1.501,00.000000,00.000000,,23082201,1,0,12.87,0.0,12.55,33.8,22/08/2023 16:04:35,0,0
,Mixed / non conventional,0.00,4.50,2.00,2.50,23.90,0.37,123.53,15.168,19.937,500,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10,5,6,0,0,0,0,3,0.000,27,1,1.333,00.000000,00.000000,,23082201,1,0,12.84,0.0,12.55,33.8,22/08/2023 16:04:38,0,0
,Mixed / non conventional,0.00,5.50,2.50,3.00,19.09,0.11,-103.72,16.071,39.676,500,47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,12,6,7,0,0,0,0,3,0.000,55,2,1.381,00.000000,00.000000,,23082201,1,0,12.84,0.0,12.55,33.8,22/08/2023 16:04:42,0,0
,Mixed / non conventional,0.00,6.50,3.00,3.50,16.45,0.29,242.26,14.628,58.659,500,66,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,14,7,8,0,0,0,0,3,0.000,103,6,1.758,00.000000,00.000000,,23082201,1,0,12.81,0.0,12.55,33.8,22/08/2023 16:04:45,0,0
,Mixed / non conventional,0.00,7.00,3.00,4.00,15.68,0.042,34.49,15.798,37.990,500,38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,15,7,9,0,0,0,0,3,0.000,66,3,1.745,00.000000,00.000000,,23082201,1,0,12.81,0.0,12.55,33.8,22/08/2023 16:04:48,0,0
,Mixed / non conventional,0.00,8.00,3.50,4.50,14.11,0.16,134.92,15.346,53.825,500,49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,17,8,10,0,0,0,0,3,0.000,72,4,1.336,00.000000,00.000000,,23082201,1,0,12.81,0.0,12.57,33.8,22/08/2023 16:04:52,0,0
,Mixed / non conventional,0.00,9.00,4.00,5.00,13.92,0,-50.29,15.845,71.512,500,63,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,19,9,11,0,0,0,0,3,0.000,113,8,1.579,00.000000,00.000000,,23082201,1,0,12.78,0.0,12.55,34.3,22/08/2023 16:04:55,0,0
,Mixed / non conventional,0.00,10.00,4.50,5.50,14.95,0,12.77,15.594,81.127,500,78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,21,10,12,0,0,0,0,3,0.000,110,9,1.360,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.57,33.8,22/08/2023 16:04:58,0,0
