,x,y,z,t,HCP0.5f90000.165,PRP0.6f9000h0.165,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP0.5f9000h0.165_inph,PRP0.6f9000h0.165_inph,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,name,ID,x_clhs,y_clhs
5110,107719.9979,183326.6793,26.1909152,40954.67,57.35405828991824,64.25718400465516,53.06648128199058,72.02920189979466,37.27781413785084,59.175440943248766,0.99,0.96,1.04,0.15,1.31,-3.69,p_clhs1,1,107719.853,183326.516
19193,107755.6395,183331.2104,26.8825864,42473.18,13.98124343148456,20.162956994912747,20.75511936979604,23.81303326437108,31.36378797315815,29.34047339509133,0.97,1.04,1.01,0.45,1.3,-2.5,p_clhs2,2,107755.838,183331.095
22305,107797.4476,183278.6469,28.4585888,42812.37,103.55076640381095,76.10347003479123,128.3311197916262,98.69369189262422,140.30695266995386,129.875783353568,0.96,1.04,1.06,0.49,1.71,-2.57,p_clhs3,3,107797.963,183278.886
19301,107764.0831,183318.0822,27.3495328,42491.47,5.500802475520991,15.673926870994302,7.970433633620448,15.787339657368369,25.34393014313443,14.469734802944483,0.97,1.04,1.01,0.44,1.32,-2.91,p_clhs4,4,107764.388,183318.416
1500,107723.0048,183309.1898,26.586,40592.63,71.89690929671438,73.6523012338056,65.34462101399674,83.59665955766927,41.84196454093233,71.34383034260946,1.0,0.97,1.02,0.25,1.31,-3.02,p_clhs5,5,107723.617,183309.551
13678,107742.871,183330.0981,26.672,41813.46,28.23590479716429,31.591296494030683,33.12064777983333,40.375389323165,33.443860274335414,42.452540163100124,0.97,1.01,1.0,0.31,1.29,-3.14,p_clhs6,6,107742.174,183329.651
25045,107806.7161,183274.99,28.6110368,43087.25,83.29126256057985,62.2149836613003,112.17083417769427,81.08148226724565,140.5055750367993,118.41325563118568,0.96,1.01,1.07,0.45,1.76,-2.9,p_clhs7,7,107806.339,183274.885
15655,107758.6659,183312.5732,27.35,42107.27,12.846825709687282,23.42794557705947,16.936834350195006,25.819920952739487,29.981565988131177,27.554334154054335,0.98,1.01,1.02,0.39,1.36,-2.79,p_clhs8,8,107758.704,183312.634
21719,107775.383,183309.8767,27.65,42753.74,55.90406058250709,42.20552445692079,71.62629513397535,57.201517632359234,82.50625058592183,77.3357967579944,0.96,1.03,1.01,0.44,1.4,-2.77,p_clhs9,9,107775.993,183310.289
5072,107726.3815,183318.7508,26.563,40950.86,82.99857036483952,78.55474985642411,82.78392725036295,96.1768100269839,54.11963393764161,93.13831216313636,0.99,0.98,1.01,0.24,1.37,-3.35,p_clhs10,10,107726.74,183319.096
22699,107766.4694,183327.2822,27.1940128,42851.76,11.713439775190778,15.673926870994302,18.74333358544283,19.29821455859516,35.183320252375914,23.38842454677472,0.95,1.04,1.01,0.52,1.29,-2.6,p_clhs11,11,107766.796,183327.428
19391,107777.0025,183299.3846,27.85,42500.46,53.00651650242403,36.898146504835054,74.77646765343195,52.428620485837484,93.77454835032496,79.73396927381667,0.97,1.03,1.02,0.43,1.45,-2.6,p_clhs12,12,107777.193,183299.459
9624,107752.314,183298.7686,27.45,41407.83,64.6159422484762,62.2149836613003,71.62629513397535,76.80633417851006,59.89129736339786,80.5335360553798,0.99,1.0,1.04,0.22,1.4,-3.37,p_clhs13,13,107751.848,183298.452
9755,107732.7209,183327.4299,26.5541536,41420.95,52.42740518083894,43.83866986596001,63.25638292234308,62.22673658005071,64.06892537181604,74.3391947180988,0.99,0.99,1.03,0.17,1.36,-3.48,p_clhs14,14,107732.833,183327.555
16993,107776.5235,183291.4178,27.95,42241.07,72.77186414859065,55.68046296622879,92.10260258851588,73.28624219198574,102.1328613791855,92.53759023930492,0.98,1.0,1.05,0.26,1.59,-3.59,p_clhs15,15,107776.559,183291.247
