x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,p_ID
107763.8972,183306.3371,27.5189976,42159.27,29.023908208546544,12.82211888740899,41.21236374679694,22.542128119946682,54.30925826058636,38.13979192890308,0.98,1.01,1.01,0.34,1.41,-2.85,11.0
107764.0323,183306.1285,27.5318496,42159.17,29.65761649286506,13.353196136330542,43.14174828359623,23.334694266590205,56.03305328000786,39.4158375878941,0.98,1.01,1.01,0.32,1.42,-2.99,12.0
107764.3457,183305.6431,27.5563384,42158.97,31.981213535366315,14.415350634173638,48.22830751697619,25.395366247863386,60.26418650949698,42.12743461325002,0.98,1.01,1.01,0.32,1.43,-3.1,13.0
107764.6566,183305.1606,27.5810024,42158.77,35.14975495695893,14.769402133454669,50.68388783653893,27.614551458465264,64.18190246272766,46.4340887123447,0.97,1.01,1.01,0.34,1.42,-3.02,14.0
107764.9495,183304.7066,27.6074264,42158.57,39.37447685241577,16.185608130578803,56.296642852682325,31.101842503696787,67.15936658718299,52.01678847043041,0.97,1.01,1.03,0.37,1.44,-2.82,15.0
107765.2262,183304.2798,27.6308104,42158.37,44.23290703219111,19.549097373748612,59.980013332026445,35.698726154229256,68.56974433034604,54.568879788412445,0.97,1.01,1.03,0.36,1.45,-2.8,16.0
107765.5199,183303.8306,27.6463544,42158.17,47.823920643329416,21.673406369434808,64.71577537689743,38.710477511474664,72.64416892170594,58.23751105801162,0.98,1.01,1.02,0.32,1.47,-2.93,17.0
107765.665,183303.6102,27.6481,42158.07,49.513809401512134,22.02745786871584,67.52215288496915,39.820070116775604,75.15150713177356,60.94910808336755,0.98,1.01,1.01,0.31,1.46,-3.02,18.0
107765.9775,183303.1391,27.65,42157.86,53.52729520219613,22.55853511763739,74.36269806089389,43.14884793267842,79.69605763752115,68.60538203731365,0.98,1.01,1.02,0.3,1.49,-3.2,19.0
107766.2798,183302.6873,27.65,42157.67,56.273364434243064,24.682844113323583,78.92306151151043,47.58721835388218,82.2033958475888,77.05918452812914,0.98,1.01,1.02,0.33,1.48,-3.05,20.0
