x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,p_ID
107763.8972,183306.3371,27.5189976,42159.27,34.43123567324749,17.374578042657923,56.40371696045947,28.784913142009852,77.34857364016938,50.371397427642854,0.98,1.01,1.01,0.34,1.41,-2.85,11.0
107764.0323,183306.1285,27.5318496,42159.17,34.80303975377327,17.95382957867377,57.6555509725218,29.487462800427913,78.68710056093364,51.3252367166958,0.98,1.01,1.01,0.32,1.42,-2.99,12.0
107764.3457,183305.6431,27.5563384,42158.97,36.166897102744926,19.112351707051925,60.96102385400379,31.314197973607065,81.98205150558601,53.352565719805156,0.98,1.01,1.01,0.32,1.43,-3.1,13.0
107764.6566,183305.1606,27.5810024,42158.77,38.02814077922112,19.498531394006758,62.559422736727264,33.281622455632814,85.04485056414991,56.57361624796137,0.97,1.01,1.01,0.34,1.42,-3.02,14.0
107764.9495,183304.7066,27.6074264,42158.57,40.51231994604426,21.043278346179648,66.2192775545112,36.373647904742725,87.38018181950999,60.751197405141845,0.97,1.01,1.03,0.37,1.44,-2.82,15.0
107765.2262,183304.2798,27.6308104,42158.37,43.37259037791418,24.712233023427483,68.62580094395184,40.45016813510812,88.48867070999414,62.6617551304123,0.97,1.01,1.03,0.36,1.45,-2.8,16.0
107765.5199,183303.8306,27.6463544,42158.17,45.489021397563015,27.02959838937898,71.72532916102789,43.121403454116084,91.69915736245703,65.4090678857941,0.98,1.01,1.02,0.32,1.47,-2.93,17.0
107765.665,183303.6102,27.6481,42158.07,46.48565673611037,27.415835787040862,73.56492872975721,44.10562487045544,93.68085586812818,67.4403618483573,0.98,1.01,1.01,0.31,1.46,-3.02,18.0
107765.9775,183303.1391,27.65,42157.86,48.85434808987975,27.995197151089123,78.05766871162321,47.05855412917553,97.28428677034634,73.17885977941518,0.98,1.01,1.02,0.3,1.49,-3.2,19.0
107766.2798,183302.6873,27.65,42157.67,50.47637433180037,30.31270577588408,81.05958943277197,50.996410965548,99.27875321640185,79.52039910930107,0.98,1.01,1.02,0.33,1.48,-3.05,20.0
107766.5826,183302.2372,27.65,42157.47,51.84969660500386,32.24404011306032,82.4468895628363,53.246931584161885,99.27875321640185,81.196447718018,0.97,1.02,1.02,0.36,1.46,-2.92,21.0
107766.9205,183301.737,27.65,42157.26,53.09882980500996,33.40287435302064,84.18259699260177,55.21632591734663,100.65256259993619,82.87288279283334,0.97,1.01,1.02,0.33,1.45,-2.89,22.0
107767.0703,183301.5159,27.65,42157.16,53.59865713044081,33.78915803665104,84.87736944252323,55.21632591734663,101.52791050223998,83.71124523692252,0.97,1.01,1.02,0.33,1.44,-2.96,23.0
107767.4281,183300.9884,27.6553312,42156.94,54.473592478192344,34.56173380553317,86.15184107545629,57.04520690889301,101.90332255980817,84.54970427764262,0.98,1.01,1.02,0.33,1.44,-3.07,24.0
107767.7068,183300.5785,27.6768192,42156.74,54.84865697643408,35.334320774388125,86.26774832000596,57.185896348632596,103.5319262744871,83.59147325861093,0.98,1.01,1.02,0.32,1.47,-3.03,25.0
107768.029,183300.1056,27.7059872,42156.54,55.098730438953794,35.141172982455,86.73145432320102,56.62314397656483,105.91749553449523,83.83101918644704,0.98,1.01,1.03,0.32,1.48,-3.11,26.0
107768.3297,183299.665,27.7320666,42156.34,55.098730438953794,34.36858881303443,87.65923407878651,55.91972371890862,107.55334223762036,83.95079510696804,0.98,1.01,1.04,0.3,1.52,-3.14,27.0
107768.5048,183299.4087,27.7423126,42156.24,54.84865697643408,34.36858881303443,87.77524099638168,55.77904236193542,108.43539597508517,83.71124523692252,0.98,1.01,1.03,0.3,1.53,-3.18,28.0
107768.9068,183298.8208,27.75,42155.97,53.22377729618853,33.0165934712533,85.80416545391518,54.23160673216053,109.82319257334964,82.99264294190002,0.98,1.01,1.03,0.32,1.52,-3.15,29.0
