,x,y,EC_0.10,EC_0.50,EC_0.80,EC_1.50,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,Unnamed: 0,x_clhs,y_clhs,z.1,t.1,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_hp_corr,water_ec_hp,bulk_ec_pred_Fu
10,107720.422,183327.165,76.1024392355675,67.46771669134988,53.356519480556415,41.99992272923156,35.447783440468015,26.201,33302.5,49.70876338,47.84583457,37.84377376,5166,107720.118,183326.96,26.1909152,40954.67,1,50,6.86,28.088,54.928,34.73,10.343,0.0,0.0,1.492,0.40361,20,25.4,56.8,89.9,0.09991773308862842,0.0635,0.15139050467974002,0.16843666592627407
11,107755.083,183330.802,38.05916092805138,39.09849374471136,42.415294868110905,45.48201999123202,47.28750896573006,26.8553312,34836.56,25.74330266,21.67597263,36.07144023,19244,107755.589,183331.1,26.8951584,42473.18,2,50,6.77,7.12,14.82,52.238,32.942,0.0,0.0,1.77,0.25845,15,23.0,20.6,12.8,0.025590945481543604,0.00926,0.1233298577423788,0.01957275451980903
12,107797.24,183278.473,148.98849258123857,145.18161049507233,126.26203054943736,102.48539199591715,78.26518431325012,27.9487712,35121.56,104.6776061,64.17543788,110.2768277,22350,107797.402,183278.579,28.4706568,42812.37,3,50,7.37,21.549,37.307,28.79,33.903,0.0,0.0,1.248,0.47371,3,26.4,60.9,97.8,0.10748150836195498,0.06989,0.15111635622067485,0.13601783242456617
13,107763.627,183318.268,15.310368290404364,19.611551210248788,32.386760566094004,45.217476419346404,54.86081021056836,27.2089568,34842.93,12.95959745,13.39585485,28.64737115,19352,107763.816,183318.112,27.3446688,42491.37,4,50,6.79,6.41,14.739,45.399,39.861,0.0,0.0,1.742,0.23969,10,24.4,21.5,14.4,0.027794978418854376,0.01063,0.12706275848619145,0.018086509260407103
14,107722.801,183309.348,95.45769217867029,83.17364601631223,61.75080152996355,43.40363777123494,31.266247940841456,26.679,32930.91,60.4404773,59.55735555,37.87764764,1556,107723.005,183309.182,26.586,40592.63,5,50,7.13,32.962,60.946,33.328,5.725,0.0,0.0,1.291,0.46804,7,25.4,51.0,67.1,0.08565845889528177,0.05172,0.14580163216218175,0.281265128723005
15,107742.964,183330.078,43.59778249431129,42.47138947400348,42.653922298517905,43.68259268886267,45.00400483720944,26.55,34219.71,31.53056534,26.34135276,33.90880259,14669,107742.651,183330.207,26.664,41906.95,6,50,6.99,14.162,26.589,43.811,29.6,0.0,0.0,1.379,0.45196,18,23.7,43.8,61.1,0.07472348859727368,0.04302,0.15019796702969584,0.0859870388460782
16,107805.582,183274.029,145.91761451664692,145.0259262196217,130.10833211687026,109.49646541786088,87.36234863746012,28.65,35219.35,108.0412449,57.98458208,121.2825917,23383,107805.822,183273.987,28.65,42915.67,7,50,7.32,7.422,14.696,28.668,56.637,0.0,0.0,1.691,0.2201,12,27.5,18.1,15.9,0.026516602107744352,0.00984,0.15044880628507432,0.017718883288579325
17,107758.569,183312.798,27.25926620677043,30.37797249561231,39.381096395821096,47.94231085694179,53.586772482080086,27.35,34485.9,19.40164717,17.90974875,32.11363104,15706,107758.685,183312.601,27.35,42107.27,8,50,6.33,7.612,16.873,46.152,36.975,0.0,0.0,1.876,0.15773,423,22.4,12.7,9.4,0.017251434507493765,0.00421,0.15863388052867833,0.010904317461829571
18,107776.575,183310.642,73.82729468336149,76.00232327406329,75.70205456505991,72.49537060019442,66.72253168628386,26.9900192,35105.74,56.33080748,30.77174087,68.96233072,22198,107776.692,183310.756,27.5510368,42797.16,9,50,7.24,8.751,18.018,45.765,36.217,0.0,0.0,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.16062499157242016,0.03150133973498517
19,107726.042,183318.485,116.70054124711123,102.58985003669378,74.95176222463361,50.0259925989966,32.578637218981335,26.6481,33298.53,75.26835869,67.02599913,50.83984337,5128,107726.371,183318.719,26.563,40950.86,10,50,7.19,33.2,64.061,30.681,5.259,0.0,0.0,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.14531424772433985,0.33900925353028055
