,Site,cll,percent,fs_emp,Minimization_Method,Alpha,Det,Result
104,P,0.3,1,FSlin,ROPE,0.07,ID,"[-14.276499999999999, 0.3465]"
105,P,0.3,1,FSlin,ROPE,0.2,LT,"[-12.6305, 0.3135]"
106,P,0.3,1,FSlin,ROPE,0.2,LS,"[-12.579, 0.315]"
107,P,0.3,1,FSlin,ROPE,0.2,ID,"[-15.56, 0.354]"
108,P,0.15,20,FSeq,L-BFGS-B,0.02,LT,"[-10.375499999999999, 0.2865]"
109,P,0.15,20,FSeq,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
110,P,0.15,20,FSeq,L-BFGS-B,0.02,ID,"[-12.532, 0.318]"
111,P,0.15,20,FSeq,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
112,P,0.15,20,FSeq,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
113,P,0.15,20,FSeq,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
114,P,0.15,20,FSeq,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
115,P,0.15,20,FSeq,L-BFGS-B,0.2,LS,"[-14.761, 0.3375]"
116,P,0.15,20,FSeq,L-BFGS-B,0.2,ID,"[-15.9695, 0.354]"
117,P,0.15,20,FSeq,ROPE,0.02,LT,"[-10.588000000000001, 0.292]"
118,P,0.15,20,FSeq,ROPE,0.02,LS,"[-11.082, 0.2985]"
119,P,0.15,20,FSeq,ROPE,0.02,ID,"[-14.847, 0.341]"
120,P,0.15,20,FSeq,ROPE,0.07,LT,"[-10.8155, 0.289]"
121,P,0.15,20,FSeq,ROPE,0.07,LS,"[-11.0785, 0.293]"
122,P,0.15,20,FSeq,ROPE,0.07,ID,"[-14.8125, 0.345]"
123,P,0.15,20,FSeq,ROPE,0.2,LT,"[-10.432500000000001, 0.292]"
124,P,0.15,20,FSeq,ROPE,0.2,LS,"[-10.815000000000001, 0.2975]"
125,P,0.15,20,FSeq,ROPE,0.2,ID,"[-14.1095, 0.3425]"
126,P,0.15,20,CS,L-BFGS-B,0.02,LT,"[-10.375499999999999, 0.2865]"
127,P,0.15,20,CS,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
128,P,0.15,20,CS,L-BFGS-B,0.02,ID,"[-12.532, 0.318]"
129,P,0.15,20,CS,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
130,P,0.15,20,CS,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
131,P,0.15,20,CS,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
132,P,0.15,20,CS,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
133,P,0.15,20,CS,L-BFGS-B,0.2,LS,"[-14.761, 0.3375]"
134,P,0.15,20,CS,L-BFGS-B,0.2,ID,"[-15.9695, 0.354]"
135,P,0.15,20,CS,ROPE,0.02,LT,"[-11.318, 0.295]"
136,P,0.15,20,CS,ROPE,0.02,LS,"[-11.681000000000001, 0.2965]"
137,P,0.15,20,CS,ROPE,0.02,ID,"[-15.2, 0.34299999999999997]"
138,P,0.15,20,CS,ROPE,0.07,LT,"[-11.0845, 0.2865]"
139,P,0.15,20,CS,ROPE,0.07,LS,"[-11.216000000000001, 0.2895]"
140,P,0.15,20,CS,ROPE,0.07,ID,"[-14.687999999999999, 0.337]"
141,P,0.15,20,CS,ROPE,0.2,LT,"[-11.174, 0.2955]"
142,P,0.15,20,CS,ROPE,0.2,LS,"[-11.5435, 0.3015]"
143,P,0.15,20,CS,ROPE,0.2,ID,"[-15.810500000000001, 0.348]"
144,P,0.15,20,FSlin,L-BFGS-B,0.02,LT,"[-10.375499999999999, 0.2865]"
145,P,0.15,20,FSlin,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
146,P,0.15,20,FSlin,L-BFGS-B,0.02,ID,"[-12.532, 0.318]"
147,P,0.15,20,FSlin,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
148,P,0.15,20,FSlin,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
149,P,0.15,20,FSlin,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
150,P,0.15,20,FSlin,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
151,P,0.15,20,FSlin,L-BFGS-B,0.2,LS,"[-14.761, 0.3375]"
152,P,0.15,20,FSlin,L-BFGS-B,0.2,ID,"[-15.9695, 0.354]"
153,P,0.15,20,FSlin,ROPE,0.02,LT,"[-13.186, 0.3155]"
154,P,0.15,20,FSlin,ROPE,0.02,LS,"[-13.056000000000001, 0.3125]"
155,P,0.15,20,FSlin,ROPE,0.02,ID,"[-15.592, 0.3545]"
156,P,0.15,20,FSlin,ROPE,0.07,LT,"[-11.892, 0.3005]"
157,P,0.15,20,FSlin,ROPE,0.07,LS,"[-12.166, 0.305]"
158,P,0.15,20,FSlin,ROPE,0.07,ID,"[-15.328, 0.3455]"
159,P,0.15,20,FSlin,ROPE,0.2,LT,"[-13.856, 0.3225]"
160,P,0.15,20,FSlin,ROPE,0.2,LS,"[-13.247, 0.316]"
161,P,0.15,20,FSlin,ROPE,0.2,ID,"[-16.2985, 0.358]"
162,P,0.15,1,FSeq,L-BFGS-B,0.02,LT,"[-10.382, 0.2865]"
163,P,0.15,1,FSeq,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
164,P,0.15,1,FSeq,L-BFGS-B,0.02,ID,"[-12.5225, 0.318]"
165,P,0.15,1,FSeq,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
166,P,0.15,1,FSeq,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
167,P,0.15,1,FSeq,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
168,P,0.15,1,FSeq,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
169,P,0.15,1,FSeq,L-BFGS-B,0.2,LS,"[-14.766, 0.3375]"
170,P,0.15,1,FSeq,L-BFGS-B,0.2,ID,"[-15.9775, 0.354]"
171,P,0.15,1,FSeq,ROPE,0.02,LT,"[-11.3545, 0.301]"
172,P,0.15,1,FSeq,ROPE,0.02,LS,"[-11.943999999999999, 0.3055]"
173,P,0.15,1,FSeq,ROPE,0.02,ID,"[-15.0815, 0.343]"
174,P,0.15,1,FSeq,ROPE,0.07,LT,"[-11.27, 0.3005]"
175,P,0.15,1,FSeq,ROPE,0.07,LS,"[-11.4175, 0.307]"
176,P,0.15,1,FSeq,ROPE,0.07,ID,"[-14.919, 0.3485]"
