,cll,percent,fs_emp,Minimization_Method,Alpha,Det,R2,RMSE,0R2,0RMSE
0,0.24,16,FSeq,Gauss-Newton,0.07,LT,-19.588,0.228,0.294,0.123
1,0.24,16,FSeq,Gauss-Newton,0.07,LS,-19.622,0.228,0.247,0.128
2,0.24,16,FSeq,Gauss-Newton,0.07,ID,-18.79,0.224,0.374,0.117
3,0.24,16,FSeq,Gauss-Newton,0.2,LT,-22.47,0.249,0.073,0.141
4,0.24,16,FSeq,Gauss-Newton,0.2,LS,-22.472,0.249,0.016,0.145
5,0.24,16,FSeq,Gauss-Newton,0.2,ID,-22.872,0.249,0.066,0.14
6,0.24,16,FSeq,ROPE,0.07,LT,-5.42,0.13,-0.102,0.152
7,0.24,16,FSeq,ROPE,0.07,LS,-5.433,0.131,-0.169,0.156
8,0.24,16,FSeq,ROPE,0.07,ID,-7.206,0.148,-0.267,0.164
9,0.24,16,FSeq,ROPE,0.2,LT,-4.515,0.122,-0.084,0.156
10,0.24,16,FSeq,ROPE,0.2,LS,-4.52,0.123,-0.152,0.158
11,0.24,16,FSeq,ROPE,0.2,ID,-6.155,0.137,-0.222,0.162
12,0.24,16,FSlin,Gauss-Newton,0.07,LT,-19.588,0.228,0.294,0.123
13,0.24,16,FSlin,Gauss-Newton,0.07,LS,-19.622,0.228,0.247,0.128
14,0.24,16,FSlin,Gauss-Newton,0.07,ID,-18.79,0.224,0.374,0.117
15,0.24,16,FSlin,Gauss-Newton,0.2,LT,-22.47,0.249,0.073,0.141
16,0.24,16,FSlin,Gauss-Newton,0.2,LS,-22.472,0.249,0.016,0.145
17,0.24,16,FSlin,Gauss-Newton,0.2,ID,-22.872,0.249,0.066,0.14
18,0.24,16,FSlin,ROPE,0.07,LT,-5.031,0.13,-0.026,0.15
19,0.24,16,FSlin,ROPE,0.07,LS,-5.086,0.13,-0.096,0.154
20,0.24,16,FSlin,ROPE,0.07,ID,-6.828,0.143,-0.151,0.16
21,0.24,16,FSlin,ROPE,0.2,LT,-4.156,0.12,-0.078,0.154
22,0.24,16,FSlin,ROPE,0.2,LS,-4.29,0.121,-0.14,0.157
23,0.24,16,FSlin,ROPE,0.2,ID,-6.528,0.142,-0.22,0.165
24,0.24,20,FSeq,Gauss-Newton,0.07,LT,-19.565,0.227,0.296,0.123
25,0.24,20,FSeq,Gauss-Newton,0.07,LS,-19.612,0.228,0.246,0.128
26,0.24,20,FSeq,Gauss-Newton,0.07,ID,-18.731,0.224,0.376,0.116
27,0.24,20,FSeq,Gauss-Newton,0.2,LT,-22.462,0.248,0.076,0.141
28,0.24,20,FSeq,Gauss-Newton,0.2,LS,-22.444,0.249,0.018,0.145
29,0.24,20,FSeq,Gauss-Newton,0.2,ID,-22.858,0.249,0.066,0.14
30,0.24,20,FSeq,ROPE,0.07,LT,-4.828,0.126,-0.13,0.158
31,0.24,20,FSeq,ROPE,0.07,LS,-4.879,0.127,-0.19,0.162
32,0.24,20,FSeq,ROPE,0.07,ID,-6.409,0.14,-0.278,0.166
33,0.24,20,FSeq,ROPE,0.2,LT,-6.23,0.14,-0.167,0.163
34,0.24,20,FSeq,ROPE,0.2,LS,-6.305,0.14,-0.248,0.167
35,0.24,20,FSeq,ROPE,0.2,ID,-8.47,0.154,-0.34,0.17
36,0.24,20,FSlin,Gauss-Newton,0.07,LT,-19.565,0.227,-3.345,0.286
37,0.24,20,FSlin,Gauss-Newton,0.07,LS,-19.612,0.228,-3.312,0.286
38,0.24,20,FSlin,Gauss-Newton,0.07,ID,-18.731,0.224,-2.87,0.262
39,0.24,20,FSlin,Gauss-Newton,0.2,LT,-22.462,0.248,-3.751,0.294
40,0.24,20,FSlin,Gauss-Newton,0.2,LS,-22.444,0.249,-3.775,0.295
41,0.24,20,FSlin,Gauss-Newton,0.2,ID,-22.858,0.249,-3.436,0.28
42,0.24,20,FSlin,ROPE,0.07,LT,-2.976,0.098,-0.814,0.185
43,0.24,20,FSlin,ROPE,0.07,LS,-2.96,0.099,-0.799,0.184
44,0.24,20,FSlin,ROPE,0.07,ID,-3.864,0.115,-0.67,0.172
45,0.24,20,FSlin,ROPE,0.2,LT,-5.337,0.128,-0.788,0.179
46,0.24,20,FSlin,ROPE,0.2,LS,-5.35,0.128,-0.773,0.179
47,0.24,20,FSlin,ROPE,0.2,ID,-7.175,0.146,-0.839,0.182
