,cll,percent,fs_emp,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.3,20,FSeq,Gauss-Newton,0.07,True,True,True,LT,-11.716,0.304,-2.267,0.266
1,0.3,20,FSeq,Gauss-Newton,0.07,True,True,True,LS,-11.542,0.3,-2.081,0.256
2,0.3,20,FSeq,Gauss-Newton,0.07,True,True,True,ID,-12.982,0.321,-1.356,0.237
3,0.3,20,FSeq,Gauss-Newton,0.07,True,True,False,LT,-11.716,0.304,-2.267,0.266
4,0.3,20,FSeq,Gauss-Newton,0.07,True,True,False,LS,-11.542,0.3,-2.081,0.256
5,0.3,20,FSeq,Gauss-Newton,0.07,True,True,False,ID,-12.982,0.321,-1.356,0.237
6,0.3,20,FSeq,Gauss-Newton,0.07,True,False,True,LT,-11.716,0.304,-2.267,0.266
7,0.3,20,FSeq,Gauss-Newton,0.07,True,False,True,LS,-11.542,0.3,-2.081,0.256
8,0.3,20,FSeq,Gauss-Newton,0.07,True,False,True,ID,-12.982,0.321,-1.356,0.237
9,0.3,20,FSeq,Gauss-Newton,0.07,True,False,False,LT,-11.716,0.304,-2.267,0.266
10,0.3,20,FSeq,Gauss-Newton,0.07,True,False,False,LS,-11.542,0.3,-2.081,0.256
11,0.3,20,FSeq,Gauss-Newton,0.07,True,False,False,ID,-12.982,0.321,-1.356,0.237
12,0.3,20,FSeq,Gauss-Newton,0.07,False,True,True,LT,-11.962,0.31,-2.13,0.262
13,0.3,20,FSeq,Gauss-Newton,0.07,False,True,True,LS,-11.506,0.306,-1.842,0.25
14,0.3,20,FSeq,Gauss-Newton,0.07,False,True,True,ID,-13.339,0.325,-1.116,0.218
15,0.3,20,FSeq,Gauss-Newton,0.07,False,True,False,LT,-11.962,0.31,-2.13,0.262
16,0.3,20,FSeq,Gauss-Newton,0.07,False,True,False,LS,-11.506,0.306,-1.842,0.25
17,0.3,20,FSeq,Gauss-Newton,0.07,False,True,False,ID,-13.339,0.325,-1.116,0.218
18,0.3,20,FSeq,Gauss-Newton,0.07,False,False,True,LT,-11.962,0.31,-2.13,0.262
19,0.3,20,FSeq,Gauss-Newton,0.07,False,False,True,LS,-11.506,0.306,-1.842,0.25
20,0.3,20,FSeq,Gauss-Newton,0.07,False,False,True,ID,-13.339,0.325,-1.116,0.218
21,0.3,20,FSeq,Gauss-Newton,0.07,False,False,False,LT,-11.962,0.31,-2.13,0.262
22,0.3,20,FSeq,Gauss-Newton,0.07,False,False,False,LS,-11.506,0.306,-1.842,0.25
23,0.3,20,FSeq,Gauss-Newton,0.07,False,False,False,ID,-13.339,0.325,-1.116,0.218
