,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,name,x_clhs,y_clhs,z.1,t.1,depth,humus,pH_eau,CEC,clay,TOC,silt,sand,caCO,TOC.1,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t
0,41564.554,204206.597,55.915333216141306,36.798454792600836,326.5395453838031,0.55,46700.42,150.1589942,72.92417883,226.9532523,115.0257052,373.3654681,196.7572686,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,39.299,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,0.016246876858885706,0.00368,0.0031704930647351954,0.1939925595090831,0.166944266297576,60.01680959082022
1,41548.71,204311.592,132.85370665607695,69.32731198475707,211.8560470579068,0.849275,48080.26,134.0867626,115.1310302,161.8806643,111.2257431,252.6922385,134.4836232,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,33.879,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,0.04650911557076831,0.0226,0.020046993520404496,0.15438710562910643,0.13694804579843334,49.233106178494985
2,41589.749,204167.832,92.07804060597556,89.42780351281502,375.7976489049353,0.55,46944.42,188.6381044,96.94112774,279.0106734,159.0685624,412.4524601,254.3305224,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,42.231,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,0.011783451552174664,0.00186,0.0017399702331783575,0.200569388122122,0.18779696156259987,67.51339673892588
3,41668.939,204238.306,86.494607755673,89.94587734818427,368.63015266965346,0.45,53527.92,182.368752,90.93495777,274.7372961,157.6227971,400.9166032,254.5479526,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,45.485,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,0.02663667595400924,0.00991,0.008709959618223314,0.16779008474966453,0.14742830774763838,53.00078206109276
4,41521.704,204334.55,207.7306577121667,149.77680437699684,312.9958253045473,0.85,47262.62,205.2447262,169.0786518,256.759837,187.4032453,345.9660886,242.1102779,5,41520.385,204334.195,0,0,10,1.686,8.18,20.992,26.516,34.388,58.833,14.65,2.4,11.35,1.413,0.41837,7,26.2,17.6,20.7,0.028610810964985647,0.01114,0.010864393343151153,0.1682988880293273,0.1642719917455984,59.05612135325862
5,41617.197,204259.131,83.34711216660456,94.85822036322737,319.729649101488,0.6149792,51612.3,169.1294417,85.76212638,249.398651,142.6795158,343.4848811,218.0747757,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,38.965,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,0.013320385904920006,0.00239,0.0022357682028474593,0.14597683183473978,0.13668090496644975,49.137068495963774
6,41576.966,204271.186,22.907582681604026,-1.2079864312163693,291.084294979406,1.15,48437.26,118.3107048,49.39499614,189.2290274,82.50133849,341.1916416,161.5156399,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,33.35,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,0.020367205053177455,0.00603,0.0053488217224796075,0.1752017638983007,0.15541154870764876,55.87077372502052
7,41533.471,204357.011,155.36214063619505,88.76155502860216,253.91724402096105,0.65,48325.06,158.1271652,133.0046594,195.8520413,135.6763414,296.3329814,171.7075171,8,41533.32,204357.264,0,0,10,2.594,8.21,22.041,25.989,33.115,58.685,15.325,2.0,15.4,1.435,0.44652,15,25.4,17.1,18.5,0.02706194969602102,0.01018,0.010090999327462663,0.16526381493753292,0.1639286338672111,58.93268348464714
8,41643.025,204298.694,63.13020910125276,38.704628981447414,277.98138146058216,0.65,53586.61,130.630851,71.27811831,191.7888247,102.4836769,316.4326056,181.6520242,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,41.326,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,0.031160107299936474,0.01273,0.011839325923436532,0.15387707308610604,0.1432357440351627,51.49354672076356
9,41701.023,204261.708,126.61063013170559,151.46027130697735,393.0487074230037,0.05,54124.14,219.4805003,116.3630305,315.7622493,196.503281,410.5382525,293.9809187,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,37.215,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,0.019436373358178726,0.00547,0.005228895411175438,0.19196418131534546,0.18367525986293617,66.03163643900675
10,41564.554,204206.597,55.915333216141306,36.798454792600836,326.5395453838031,0.55,46700.42,150.1589942,72.92417883,226.9532523,115.0257052,373.3654681,196.7572686,1,41565.381,204207.342,0,0,50,2.806,8.5,22.136,28.516,40.329,64.364,7.121,3.2,17.92,1.469,0.32284,18,25.0,25.104,36.484,0.04327499036628776,0.02046,0.020448478078101448,0.1640446943377095,0.1640446943377095,58.974407464232684
11,41548.71,204311.592,132.85370665607695,69.32731198475707,211.8560470579068,0.849275,48080.26,134.0867626,115.1310302,161.8806643,111.2257431,252.6922385,134.4836232,2,41549.211,204310.992,0,0,50,4.294,8.79,18.516,41.816,27.357,50.414,7.769,16.1,21.47,1.369,0.40142,23,25.0,36.536,49.772,0.06194457926853959,0.03338,0.03336120226036297,0.15231025145940394,0.15231025145940394,54.755850939348626
12,41589.749,204167.832,92.07804060597556,89.42780351281502,375.7976489049353,0.55,46944.42,188.6381044,96.94112774,279.0106734,159.0685624,412.4524601,254.3305224,3,41588.221,204167.503,0,0,50,4.55,8.62,23.378,30.686,44.713,64.001,5.313,9.6,22.75,1.432,0.30815,6,25.0,22.713,31.887,0.03881262065853241,0.01756,0.01755011119508609,0.16592794595642563,0.16592794595642563,59.651440322675526
13,41668.939,204238.306,86.494607755673,89.94587734818427,368.63015266965346,0.45,53527.92,182.368752,90.93495777,274.7372961,157.6227971,400.9166032,254.5479526,4,41668.451,204238.44,0,0,50,3.452,8.73,20.368,25.121,33.914,62.385,12.494,3.4,17.26,1.352,0.27097,422,25.0,31.41,47.845,0.05476535726846976,0.02825,0.028234091187994425,0.15984051738334845,0.15984051738334845,57.46299713938666
14,41521.704,204334.55,207.7306577121667,149.77680437699684,312.9958253045473,0.85,47262.62,205.2447262,169.0786518,256.759837,187.4032453,345.9660886,242.1102779,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,44.026,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,0.04749210257266308,0.02326,0.023246901275495585,0.15961049427882062,0.15961049427882062,57.38030335677224
15,41617.197,204259.131,83.34711216660456,94.85822036322737,319.729649101488,0.6149792,51612.3,169.1294417,85.76212638,249.398651,142.6795158,343.4848811,218.0747757,6,41615.875,204258.051,0,0,50,1.146,8.73,18.542,25.639,35.306,63.887,10.474,9.5,17.13,1.611,0.34154,9,25.0,18.975,24.261,0.03161656879729187,0.01301,0.013002673499320619,0.1689032055948814,0.1689032055948814,60.721052326517345
16,41576.966,204271.186,22.907582681604026,-1.2079864312163693,291.084294979406,1.15,48437.26,118.3107048,49.39499614,189.2290274,82.50133849,341.1916416,161.5156399,7,41578.212,204271.787,0,0,50,3.694,8.39,21.116,27.217,32.821,57.237,15.546,1.1,19.84,1.401,0.3022,3,25.0,25.267,33.202,0.04242332341408742,0.0199,0.019888793438622623,0.15958366827135909,0.15958366827135909,57.37065935151463
