,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,name,x_clhs,y_clhs,z.1,t.1,depth,humus,pH_eau,CEC,clay,TOC,silt,sand,caCO,TOC.1,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t
17,41533.471,204357.011,155.36214063619505,88.76155502860216,253.91724402096105,0.65,48325.06,158.1271652,133.0046594,195.8520413,135.6763414,296.3329814,171.7075171,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,37.924,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,0.0626765914105752,0.03392,0.03390089816271755,0.15774640762744654,0.15774640762744654,56.710160343792744
18,41643.025,204298.694,63.13020910125276,38.704628981447414,277.98138146058216,0.65,53586.61,130.630851,71.27811831,191.7888247,102.4836769,316.4326056,181.6520242,9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,28.037,42.481,10.79,8.317,18.12,1.514,0.325,470,25.0,28.698,47.318,0.050944208663516406,0.0256,0.025585583519032118,0.16501484707592975,0.16501484707592975,59.32317938347903
19,41701.023,204261.708,126.61063013170559,151.46027130697735,393.0487074230037,0.05,54124.14,219.4805003,116.3630305,315.7622493,196.503281,410.5382525,293.9809187,10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,39.338,58.597,5.753,3.425,15.4,1.251,0.28289,14,25.0,36.388,60.008,0.06459783414841766,0.03533,0.035310104129976747,0.15955992132497882,0.15955992132497882,57.3621222750946
20,41513.579,204286.157,205.91488758605692,144.19047618135139,280.6231898096686,0.1585536,46209.19,192.2361249,166.1574473,236.4844055,176.6676802,312.7792658,212.6479328,11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,28.305,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,0.05327462173216467,0.02721,0.027194676857533746,0.16433274488425578,0.16433274488425578,59.07796223246764
21,41619.512,204273.264,56.99336149501502,33.643982694106896,249.68815376894935,0.65,52247.32,113.12929,63.13857076,174.0780615,96.227034,284.1618137,161.582145,12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,36.388,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,0.04376944760711283,0.02078,0.02076829787208935,0.15860650489509562,0.15860650489509562,57.01936709336788
22,41684.471,204247.369,140.68048062324706,153.35999371110373,456.0041440950851,0.35,53809.54,249.2415183,133.6515869,357.0624951,219.3949182,488.8912322,322.3323483,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,26.383,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,0.04215731182788475,0.01973,0.01971888917306655,0.16662145873379675,0.16662145873379675,59.900759602884236
23,41590.81,204181.13,95.62925792095729,89.9363304979594,363.8106174973438,0.45,47210.22,182.6230717,97.42623195,270.5637125,156.8051343,397.9431838,252.6614551,14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,21.691,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,0.046104816553360566,0.02233,0.02231742499921825,0.15872215011054502,0.15872215011054502,57.06094178790303
24,41563.167,204364.867,236.14126747121313,166.2329878166767,263.18164230713927,0.7354848,51506.51,203.9313536,184.8579584,228.4339583,184.5589815,294.9528372,207.5544243,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,43.889,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,0.05819411183135966,0.03067,0.03065272838002793,0.15878338835295952,0.15878338835295952,57.08295706291772
25,41513.579,204286.157,205.91488758605692,144.19047618135139,280.6231898096686,0.1585536,46209.19,192.2361249,166.1574473,236.4844055,176.6676802,312.7792658,212.6479328,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,37.143,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,0.04041327431801672,0.01859,0.016398973994759432,0.15543567045391046,0.1370930050361398,49.28521932476113
26,41619.512,204273.264,56.99336149501502,33.643982694106896,249.68815376894935,0.65,52247.32,113.12929,63.13857076,174.0780615,96.227034,284.1618137,161.582145,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,33.224,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,0.019905222558735593,0.00575,0.0050078319365890415,0.17693531163320525,0.15399824528110684,55.362688215251495
27,41684.471,204247.369,140.68048062324706,153.35999371110373,456.0041440950851,0.35,53809.54,249.2415183,133.6515869,357.0624951,219.3949182,488.8912322,322.3323483,13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,41.064,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11.0,11.0,0.016938199880836207,0.00404,0.0036306404674861575,0.19357942720955665,0.1740268450979816,62.563011342476884
28,41590.81,204181.13,95.62925792095729,89.9363304979594,363.8106174973438,0.45,47210.22,182.6230717,97.42623195,270.5637125,156.8051343,397.9431838,252.6614551,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,39.434,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,0.020963297065049718,0.00639,0.005710412815860165,0.1711289556330589,0.15296258014280656,54.99036445245497
29,41563.167,204364.867,236.14126747121313,166.2329878166767,263.18164230713927,0.7354848,51506.51,203.9313536,184.8579584,228.4339583,184.5589815,294.9528372,207.5544243,15,41563.215,204365.006,0,0,10,2.168,8.25,21.544,44.312,24.976,46.326,9.362,2.725,14.11,1.438,0.39557,17,25.6,24.8,29.4,0.04041327431801672,0.01859,0.01835229064564778,0.15543567045391046,0.1535580996817619,55.20445496044156
