id,ert_id,easting,northing
"1","9101",107761.318,183310.185
"2","9102",107778.821,183285.820
"3","9201",41580.758,204256.373
"4","9202",41592.672,204228.840
"5","9203",41665.091,204320.014
"6","9204",41688.103,204264.602
