,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,Unnamed: 0,x_clhs,y_clhs,z,t,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm
2647,107720.422,183327.165,26.201,33302.5,0.002980847,0.003123477,0.000545345,0.000792917,0.000168409,0.000142565,1.460007489,0.233115632,2.463620533,0.064648215,1.845164763,-5.774020275,5166,107720.118,183326.96,26.1909152,40954.67,1,50,6.86,28.088,54.928,34.73,10.343,0,0,1.492,0.40361,20,25.4,56.8,89.9
9662,107755.083,183330.802,26.8553312,34836.56,0.001538629,0.001414996,0.000519714,0.000502037,0.000175211,0.000148286,1.451820413,0.259031095,2.570249069,0.09191943,2.3162782,-5.659096945,19244,107755.589,183331.1,26.8951584,42473.18,2,50,6.77,7.12,14.82,52.238,32.942,0,0,1.77,0.25845,15,23,20.6,12.8
11087,107797.24,183278.473,27.9487712,35121.56,0.006310485,0.004189612,0.001598737,0.001537736,0.000277794,0.000459943,1.541278204,0.307598696,3.159825525,0.23412691,5.095232791,-4.784309417,22350,107797.402,183278.579,28.4706568,42812.37,3,50,7.37,21.549,37.307,28.79,33.903,0,0,1.248,0.47371,3,26.4,60.9,97.8
9694,107763.627,183318.268,27.2089568,34842.93,0.000772866,0.000874463,0.000412421,0.000257145,0.000194627,0.00012554,1.471820413,0.259031095,2.560249069,0.141914203,2.636222065,-5.499135116,19352,107763.816,183318.112,27.3446688,42491.37,4,50,6.79,6.41,14.739,45.399,39.861,0,0,1.742,0.23969,10,24.4,21.5,14.4
789,107722.801,183309.348,26.679,32930.91,0.003628742,0.003888099,0.000545835,0.000936779,0.000168783,0.00017979,1.502608571,0.298101094,2.985024166,0.090975706,2.136324404,-6.67422042,1556,107723.005,183309.182,26.586,40592.63,5,50,7.13,32.962,60.946,33.328,5.725,0,0,1.291,0.46804,7,25.4,51,67.1
7232,107742.964,183330.078,26.55,34219.71,0.001886274,0.001719562,0.000488448,0.000524158,0.000175903,0.000135621,1.459563828,0.239156536,2.657598414,0.090489783,2.987047839,-5.139446351,14669,107742.651,183330.207,26.664,41906.95,6,50,6.99,14.162,26.589,43.811,29.6,0,0,1.379,0.45196,18,23.7,43.8,61.1
11576,107805.582,183274.029,28.65,35219.35,0.006515042,0.003785414,0.00175978,0.001533685,0.000292845,0.000464068,1.522807663,0.358971001,3.372146986,0.217391051,6.101502128,-5.833641476,23383,107805.822,183273.987,28.65,42915.67,7,50,7.32,7.422,14.696,28.668,56.637,0,0,1.691,0.2201,12,27.5,18.1,15.9
7909,107758.569,183312.798,27.35,34485.9,0.001158334,0.001169132,0.000462501,0.000379428,0.000194122,0.000156824,1.475563333,0.275872708,2.686491611,0.137416959,2.778026691,-5.287778565,15706,107758.685,183312.601,27.35,42107.27,8,50,6.33,7.612,16.873,46.152,36.975,0,0,1.876,0.15773,423,22.4,12.7,9.4
11008,107776.575,183310.642,26.9900192,35105.74,0.003380486,0.002008791,0.000996457,0.000841031,0.000227769,0.000278477,1.500919496,0.257525704,2.854231743,0.153374499,3.428801907,-5.798801407,22198,107776.692,183310.756,27.5510368,42797.16,9,50,7.24,8.751,18.018,45.765,36.217,0,0,1.78,0.30722,4,23.9,16.3,15.6
2627,107726.042,183318.485,26.6481,33298.53,0.004525772,0.004375727,0.000733495,0.001165576,0.000174871,0.00021127,1.469836089,0.252816824,2.683451131,0.0846615,1.815164763,-5.754313033,5128,107726.371,183318.719,26.563,40950.86,10,50,7.19,33.2,64.061,30.681,5.259,0,0,1.24,0.48412,23,23.7,58.6,79.3
11271,107765.719,183326.718,26.6479608,35158.36,0.001187756,0.000922597,0.000493874,0.000355606,0.000190083,0.000146468,1.502028491,0.249347122,2.74246317,0.141079414,2.182557303,-5.903186688,22744,107766.469,183327.314,27.1795488,42851.76,11,50,6.75,4.891,12.692,54.808,32.5,0,0,1.681,0.21031,8,23.7,21.3,12.2
9737,107776.924,183299.388,27.65,34851.56,0.003888067,0.002187786,0.001187434,0.000968702,0.000238522,0.000304697,1.461953415,0.258463918,2.488686001,0.142116637,3.416439102,-3.2495008,19443,107777.021,183299.37,27.85,42500.46,12,50,7.24,8.064,16.931,50.535,32.534,0,0,1.898,0.16165,415,23,21.8,21
4879,107752.723,183299.072,26.5620769,33749.13,0.003549386,0.003156172,0.000736195,0.000999247,0.0001834,0.000247109,1.495006226,0.254463861,2.862003601,0.159075349,2.51556852,-4.608651994,9680,107752.33,183298.809,27.45,41407.83,13,50,7.34,19.254,32.385,27.489,40.126,0,0,1.382,0.40536,470,23.7,30.8,38.6
4948,107732.312,183327.436,25.681,33762.93,0.003505548,0.002604719,0.000873725,0.000900401,0.000191826,0.000229494,1.464749905,0.285146925,2.544239532,0.040050533,2.546562267,-5.353262344,9811,107732.66,183327.436,26.5541536,41420.95,14,50,6.92,7.14,12.707,11.525,75.767,0,0,1.628,0.14206,17,25.1,18.2,16.1
8599,107776.631,183291.31,28.05,34623.93,0.004748554,0.002942747,0.001274411,0.001141099,0.000243864,0.000317476,1.507857108,0.275258729,2.872352737,0.110957294,4.178769418,-5.652052044,17044,107776.543,183291.428,27.95,42241.07,15,50,7.45,10.744,22.892,50.941,26.167,0,0,1.724,0.30856,400,22.8,30.7,32.4
11271,107765.719,183326.718,26.6479608,35158.36,0.001187756,0.000922597,0.000493874,0.000355606,0.000190083,0.000146468,1.502028491,0.249347122,2.74246317,0.141079414,2.182557303,-5.903186688,22744,107766.469,183327.314,27.1795488,42851.76,11,10,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3
9737,107776.924,183299.388,27.65,34851.56,0.003888067,0.002187786,0.001187434,0.000968702,0.000238522,0.000304697,1.461953415,0.258463918,2.488686001,0.142116637,3.416439102,-3.2495008,19443,107777.021,183299.37,27.85,42500.46,12,10,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4
4879,107752.723,183299.072,26.5620769,33749.13,0.003549386,0.003156172,0.000736195,0.000999247,0.0001834,0.000247109,1.495006226,0.254463861,2.862003601,0.159075349,2.51556852,-4.608651994,9680,107752.33,183298.809,27.45,41407.83,13,10,6.6,11.743,20.303,39.878,39.819,19,3.8,1.588,0.23165,416,23,13.4,10.4
4948,107732.312,183327.436,25.681,33762.93,0.003505548,0.002604719,0.000873725,0.000900401,0.000191826,0.000229494,1.464749905,0.285146925,2.544239532,0.040050533,2.546562267,-5.353262344,9811,107732.66,183327.436,26.5541536,41420.95,14,10,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6
8599,107776.631,183291.31,28.05,34623.93,0.004748554,0.002942747,0.001274411,0.001141099,0.000243864,0.000317476,1.507857108,0.275258729,2.872352737,0.110957294,4.178769418,-5.652052044,17044,107776.543,183291.428,27.95,42241.07,15,10,6.76,9.322,15.223,46.155,38.621,14,2.8,1.679,0.27536,422,23,20.6,12.5
