x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP
553948.4295024856,5645470.841658898,28.35,35939.14,90.9,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4295130253,5645470.8416590085,28.35,35939.34,90.8,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4295232365,5645470.841659114,28.35,35939.53,90.8,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4295347495,5645470.841659234,28.35,35939.740000000005,91.0,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4310438769,5645470.841674948,28.35,35939.94,91.1,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4328873028,5645470.841694143,28.35,35940.119999999995,90.9,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4348570923,5645470.841714653,28.35,35940.32000000001,90.8,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4360923052,5645470.841727514,28.35,35940.520000000004,90.8,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4359043234,5645470.841725557,28.35,35940.72,91.1,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4344862156,5645470.841710791,28.35,35940.92,91.0,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4295556433,5645470.840030081,28.35,35946.16,91.0,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4295896421,5645470.839828364,28.35,35946.36,90.9,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4296263945,5645470.839609124,28.35,35946.56,91.2,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4296660075,5645470.83937157,28.35,35946.759999999995,91.3,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4313382237,5645470.8318193825,28.35,35946.96000000001,91.0,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4336094699,5645470.8215618115,28.35,35947.17,90.8,36.4,92.5,62.3,81.7,85.9,1.51,0.31,2.63,0.05,4.82,-4.79
553948.4367018642,5645470.808644185,28.35,35948.130000000005,91.1,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4369188203,5645470.809106985,28.35,35948.33,91.0,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.437273233,5645470.809859613,28.35,35948.53,90.9,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4378048617,5645470.810956368,28.35,35948.729999999996,90.9,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4435419805,5645470.822611171,28.35,35948.92999999999,90.7,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4527193453,5645470.841254747,28.35,35949.16,90.6,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4600028935,5645470.856026431,28.35,35949.36,90.5,36.6,92.2,62.3,81.7,85.9,1.51,0.31,2.72,0.05,4.82,-4.79
553948.463646852,5645470.863660397,28.35,35949.56,90.7,36.6,92.2,62.3,81.7,85.9,1.5,0.3,2.72,0.05,4.82,-4.79
553948.4630806543,5645470.864257382,28.35,35949.759999999995,90.8,36.6,92.2,62.3,81.7,85.9,1.5,0.3,2.72,0.05,4.82,-4.79
553948.4598938447,5645470.864242055,28.35,35949.96000000001,91.1,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4561637681,5645470.864218194,28.35,35950.14,91.0,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4523150035,5645470.864180753,28.35,35950.34,90.7,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4501049162,5645470.864135277,28.35,35950.53999999999,90.5,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4500104501,5645470.86289915,28.35,35950.740000000005,90.9,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.450060212,5645470.85810723,28.35,35950.94,90.9,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4501210988,5645470.852268216,28.35,35951.119999999995,91.1,36.6,92.2,62.3,81.7,85.9,1.49,0.31,2.72,0.05,4.82,-4.79
553948.4501691883,5645470.841797094,28.35,35952.07000000001,90.7,36.6,92.2,62.3,81.7,85.9,1.51,0.31,2.72,0.05,4.82,-4.79
553948.4500577288,5645470.841781252,28.35,35952.270000000004,90.8,36.6,92.2,62.3,81.7,85.9,1.51,0.31,2.72,0.05,4.82,-4.79
553948.4498679684,5645470.841751109,28.35,35952.47,90.8,36.6,92.2,62.3,81.7,85.9,1.51,0.31,2.72,0.05,4.82,-4.79
553948.4495820024,5645470.841678632,28.35,35952.67,90.6,36.6,92.2,62.3,81.7,85.9,1.5,0.31,2.72,0.05,4.82,-4.79
553948.4410198835,5645470.8390445635,28.35,35952.869999999995,90.5,36.4,92.5,62.3,81.7,85.9,1.5,0.31,2.63,0.05,4.82,-4.79
553948.4133276391,5645470.830262317,28.35,35953.16,90.7,36.2,92.5,62.3,81.7,85.9,1.5,0.32,2.63,0.05,4.82,-4.79
553948.3859786834,5645470.82139511,28.35,35953.36,90.9,36.2,92.5,62.3,81.7,85.9,1.5,0.32,2.63,0.05,4.82,-4.79
553948.3506625871,5645470.808552671,28.35,35953.56,90.8,36.0,92.5,62.3,81.7,86.9,1.49,0.32,2.63,0.05,4.82,-4.77
553948.2999012241,5645470.78594542,28.35,35953.759999999995,90.5,36.0,92.5,62.4,82.5,86.9,1.49,0.32,2.63,0.14,4.84,-4.77
553948.202412006,5645470.731531625,28.35,35953.96000000001,90.4,35.9,93.3,62.4,82.5,86.9,1.48,0.34,2.59,0.14,4.84,-4.77
553948.0976793005,5645470.670987261,28.35,35954.119999999995,90.5,35.9,93.3,62.8,82.5,86.9,1.47,0.35,2.59,0.28,4.84,-4.77
553947.9421925044,5645470.581431624,28.35,35954.32000000001,90.7,35.9,93.5,62.8,83.5,87.9,1.46,0.35,2.75,0.28,4.5,-3.97
553947.7691557963,5645470.484587488,28.35,35954.520000000004,91.3,35.8,93.3,62.9,83.5,87.9,1.46,0.35,3.07,0.44,4.5,-3.97
553947.5734914376,5645470.379918282,28.35,35954.72,91.5,35.8,93.3,62.9,84.4,88.8,1.48,0.33,3.07,0.44,4.37,-3.09
553947.3191758628,5645470.248249282,28.35,35954.92,91.7,35.9,93.8,62.6,85.1,89.0,1.52,0.3,3.2,0.46,4.37,-2.79
553946.9649962329,5645470.070978335,28.35,35955.149999999994,92.3,35.6,94.7,63.6,85.1,89.0,1.54,0.28,3.0,0.3,4.37,-2.79
