Z,Resistivity(ohm.m),easting,northing,nb_electrode
-4.0,4.960908333333333,41665.475,204319.091,3.0
-3.9,5.070110000000001,41665.475,204319.091,3.0
-3.8,5.25619,41665.475,204319.091,3.0
-3.7,5.372948333333333,41665.475,204319.091,3.0
-3.6,5.541182,41665.475,204319.091,3.0
-3.5,5.776739999999999,41665.475,204319.091,3.0
-3.4,5.857692,41665.475,204319.091,3.0
-3.3,6.111844285714286,41665.475,204319.091,3.0
-3.2,6.32324,41665.475,204319.091,3.0
-3.1,6.522742857142857,41665.475,204319.091,3.0
-3.0,6.80976375,41665.475,204319.091,3.0
-2.9,7.0088099999999995,41665.475,204319.091,3.0
-2.8,7.32866375,41665.475,204319.091,3.0
-2.7,7.561078571428571,41665.475,204319.091,3.0
-2.6,7.87285625,41665.475,204319.091,3.0
-2.5,8.27374,41665.475,204319.091,3.0
-2.4,8.586147777777777,41665.475,204319.091,3.0
-2.3,9.022998571428571,41665.475,204319.091,3.0
-2.2,9.4252625,41665.475,204319.091,3.0
-2.1,9.795071111111112,41665.475,204319.091,3.0
-2.0,10.280675,41665.475,204319.091,3.0
-1.9,10.876265,41665.475,204319.091,3.0
-1.8,11.365154444444444,41665.475,204319.091,3.0
-1.7,11.985901111111112,41665.475,204319.091,3.0
-1.6,12.548386666666666,41665.475,204319.091,3.0
-1.5,13.242498000000001,41665.475,204319.091,3.0
-1.4,14.044403333333333,41665.475,204319.091,3.0
-1.3,14.907214545454543,41665.475,204319.091,3.0
-1.2,15.679118333333333,41665.475,204319.091,3.0
-1.1,16.508682857142855,41665.475,204319.091,3.0
-1.0,17.163361666666667,41665.475,204319.091,3.0
-0.9,18.229239285714286,41665.475,204319.091,3.0
-0.8,19.279693125,41665.475,204319.091,3.0
-0.7,20.56440125,41665.475,204319.091,3.0
-0.6,21.942184375,41665.475,204319.091,3.0
-0.5,23.50126,41665.475,204319.091,3.0
-0.4,24.89711947368421,41665.475,204319.091,3.0
-0.3,26.19335947368421,41665.475,204319.091,3.0
-0.2,27.38592263157895,41665.475,204319.091,3.0
-0.1,28.772185357142856,41665.475,204319.091,3.0
-0.0,29.375139,41665.475,204319.091,3.0
-4.9,3.82549375,41665.667,204318.629,4.0
-4.8,3.70749,41665.667,204318.629,4.0
-4.7,3.9899325,41665.667,204318.629,4.0
-4.6,4.03085,41665.667,204318.629,4.0
-4.5,4.1646875,41665.667,204318.629,4.0
-4.4,4.233515,41665.667,204318.629,4.0
-4.3,4.413646666666666,41665.667,204318.629,4.0
-4.2,4.4666025000000005,41665.667,204318.629,4.0
-4.1,4.590552857142858,41665.667,204318.629,4.0
-4.0,4.743056,41665.667,204318.629,4.0
-3.9,4.816272857142857,41665.667,204318.629,4.0
-3.8,5.0632225,41665.667,204318.629,4.0
-3.7,5.104963333333333,41665.667,204318.629,4.0
-3.6,5.29993,41665.667,204318.629,4.0
-3.5,5.470671666666667,41665.667,204318.629,4.0
-3.4,5.693391428571429,41665.667,204318.629,4.0
-3.3,5.791146666666666,41665.667,204318.629,4.0
-3.2,6.031610000000001,41665.667,204318.629,4.0
-3.1,6.340282,41665.667,204318.629,4.0
-3.0,6.49361,41665.667,204318.629,4.0
-2.9,6.83047,41665.667,204318.629,4.0
-2.8,7.036517142857143,41665.667,204318.629,4.0
