Z,Resistivity(ohm.m),easting,northing,ID
-0.0,54.88294,107761.668,183309.785,3.0
-4.3,21.97773,107761.949,183309.372,4.0
-4.2,21.73605,107761.949,183309.372,4.0
-4.1,21.25412,107761.949,183309.372,4.0
-4.0,21.14729,107761.949,183309.372,4.0
-3.9,20.712,107761.949,183309.372,4.0
-3.8,20.34847,107761.949,183309.372,4.0
-3.7,19.84814,107761.949,183309.372,4.0
-3.6,19.72606,107761.949,183309.372,4.0
-3.5,19.15423,107761.949,183309.372,4.0
-3.4,18.76971,107761.949,183309.372,4.0
-3.3,18.24577,107761.949,183309.372,4.0
-3.2,18.15554,107761.949,183309.372,4.0
-3.1,17.4501,107761.949,183309.372,4.0
-3.0,16.71765,107761.949,183309.372,4.0
-2.9,16.72451,107761.949,183309.372,4.0
-2.8,15.99575,107761.949,183309.372,4.0
-2.7,15.27028,107761.949,183309.372,4.0
-2.6,15.36015,107761.949,183309.372,4.0
-2.5,14.681135000000001,107761.949,183309.372,4.0
-2.3,14.132995,107761.949,183309.372,4.0
-2.2,13.93686,107761.949,183309.372,4.0
-2.1,13.45394,107761.949,183309.372,4.0
-2.0,13.255253333333334,107761.949,183309.372,4.0
-1.9,13.214986666666666,107761.949,183309.372,4.0
-1.8,13.035755,107761.949,183309.372,4.0
-1.7,13.10795,107761.949,183309.372,4.0
-1.6,13.436423333333332,107761.949,183309.372,4.0
-1.5,13.900513333333334,107761.949,183309.372,4.0
-1.4,14.56498,107761.949,183309.372,4.0
-1.3,14.69497,107761.949,183309.372,4.0
-1.2,15.78072,107761.949,183309.372,4.0
-1.1,17.14003,107761.949,183309.372,4.0
-1.0,19.41342333333333,107761.949,183309.372,4.0
-0.9,21.80228,107761.949,183309.372,4.0
-0.8,25.66096,107761.949,183309.372,4.0
-0.7,29.5698,107761.949,183309.372,4.0
-0.6,35.01817,107761.949,183309.372,4.0
-0.5,39.394726666666664,107761.949,183309.372,4.0
-0.4,46.85565333333333,107761.949,183309.372,4.0
-0.3,54.387744999999995,107761.949,183309.372,4.0
-0.2,58.791669999999996,107761.949,183309.372,4.0
-0.1,61.540864,107761.949,183309.372,4.0
-0.0,61.78836,107761.949,183309.372,4.0
-4.3,22.0025,107762.23,183308.958,5.0
-4.2,21.78224,107762.23,183308.958,5.0
-4.0,21.07886,107762.23,183308.958,5.0
-3.9,20.43337,107762.23,183308.958,5.0
-3.8,19.806725,107762.23,183308.958,5.0
-3.7,19.35768,107762.23,183308.958,5.0
-3.6,19.116855,107762.23,183308.958,5.0
-3.5,18.42314,107762.23,183308.958,5.0
-3.4,18.134144999999997,107762.23,183308.958,5.0
-3.3,17.51752,107762.23,183308.958,5.0
-3.2,17.20057,107762.23,183308.958,5.0
-3.1,16.375040000000002,107762.23,183308.958,5.0
-3.0,15.66064,107762.23,183308.958,5.0
-2.9,15.35704,107762.23,183308.958,5.0
-2.8,14.591636666666666,107762.23,183308.958,5.0
-2.7,13.96709,107762.23,183308.958,5.0
-2.6,13.70905,107762.23,183308.958,5.0
-2.5,13.23324,107762.23,183308.958,5.0
-2.4,12.78016,107762.23,183308.958,5.0
-2.3,12.38974,107762.23,183308.958,5.0
-2.2,11.891635,107762.23,183308.958,5.0
-2.1,11.47398,107762.23,183308.958,5.0
-2.0,11.61761,107762.23,183308.958,5.0
-1.9,11.414055,107762.23,183308.958,5.0
-1.8,11.44735,107762.23,183308.958,5.0
-1.7,11.40571,107762.23,183308.958,5.0
-1.6,11.64796,107762.23,183308.958,5.0
-1.5,12.3052,107762.23,183308.958,5.0
-1.4,13.19827,107762.23,183308.958,5.0
-1.3,13.59237,107762.23,183308.958,5.0
-1.2,14.669473333333334,107762.23,183308.958,5.0
-1.1,16.77558,107762.23,183308.958,5.0
-1.0,19.111516666666663,107762.23,183308.958,5.0
-0.9,23.256196666666668,107762.23,183308.958,5.0
-0.8,26.94485,107762.23,183308.958,5.0
-0.7,31.60118,107762.23,183308.958,5.0
-0.6,37.195805,107762.23,183308.958,5.0
-0.5,43.5771925,107762.23,183308.958,5.0
-0.4,50.07209,107762.23,183308.958,5.0
-0.3,55.367496,107762.23,183308.958,5.0
-0.2,61.696575,107762.23,183308.958,5.0
-0.1,65.497506,107762.23,183308.958,5.0
-0.0,68.26076666666667,107762.23,183308.958,5.0
-4.2,22.10653,107762.511,183308.545,6.0
-4.0,21.189335,107762.511,183308.545,6.0
-3.8,20.153505,107762.511,183308.545,6.0
-3.7,19.27145,107762.511,183308.545,6.0
-3.6,18.92665,107762.511,183308.545,6.0
-3.5,18.18839,107762.511,183308.545,6.0
-3.4,17.8292,107762.511,183308.545,6.0
-3.3,17.09113,107762.511,183308.545,6.0
-3.2,16.67153,107762.511,183308.545,6.0
-3.1,15.752289999999999,107762.511,183308.545,6.0
-3.0,14.85205,107762.511,183308.545,6.0
-2.9,14.36331,107762.511,183308.545,6.0
-2.7,13.261775,107762.511,183308.545,6.0
-2.6,12.719633333333334,107762.511,183308.545,6.0
-2.5,12.08957,107762.511,183308.545,6.0
-2.4,11.877044999999999,107762.511,183308.545,6.0
-2.3,11.386986666666667,107762.511,183308.545,6.0
-2.2,10.759705,107762.511,183308.545,6.0
-2.1,10.36698,107762.511,183308.545,6.0
-2.0,10.4172,107762.511,183308.545,6.0
-1.9,10.269723333333333,107762.511,183308.545,6.0
