Z,Resistivity(ohm.m),easting,northing,nb_electrode
-4.9,21.419565,107761.108,183310.609,1.0
-4.7,21.368445,107761.108,183310.609,1.0
-4.6,21.314629999999998,107761.108,183310.609,1.0
-4.5,21.26709,107761.108,183310.609,1.0
-4.4,21.222515,107761.108,183310.609,1.0
-4.3,21.172165,107761.108,183310.609,1.0
-4.2,21.11618,107761.108,183310.609,1.0
-4.1,21.07084,107761.108,183310.609,1.0
-4.0,21.0094,107761.108,183310.609,1.0
-3.9,20.915766666666666,107761.108,183310.609,1.0
-3.8,20.92776,107761.108,183310.609,1.0
-3.7,20.706783333333334,107761.108,183310.609,1.0
-3.6,20.84857666666667,107761.108,183310.609,1.0
-3.5,20.563415,107761.108,183310.609,1.0
-3.4,20.663726666666665,107761.108,183310.609,1.0
-3.3,20.518919999999998,107761.108,183310.609,1.0
-3.2,20.450233333333333,107761.108,183310.609,1.0
-3.1,20.46048,107761.108,183310.609,1.0
-3.0,20.154586666666663,107761.108,183310.609,1.0
-2.9,20.3177875,107761.108,183310.609,1.0
-2.8,20.090577500000002,107761.108,183310.609,1.0
-2.7,20.288,107761.108,183310.609,1.0
-2.6,20.39229,107761.108,183310.609,1.0
-2.5,20.160656666666668,107761.108,183310.609,1.0
-2.4,20.40962,107761.108,183310.609,1.0
-2.3,21.058335,107761.108,183310.609,1.0
-2.2,20.519285,107761.108,183310.609,1.0
-2.1,20.6797525,107761.108,183310.609,1.0
-2.0,20.654883333333334,107761.108,183310.609,1.0
-1.9,21.228978,107761.108,183310.609,1.0
-1.8,21.67627428571429,107761.108,183310.609,1.0
-1.7,21.492703333333335,107761.108,183310.609,1.0
-1.6,23.077092,107761.108,183310.609,1.0
-1.5,23.0307625,107761.108,183310.609,1.0
-1.4,23.019090000000002,107761.108,183310.609,1.0
-1.3,24.26996,107761.108,183310.609,1.0
-1.2,24.676308333333335,107761.108,183310.609,1.0
-1.1,24.784406,107761.108,183310.609,1.0
-1.0,26.792146000000002,107761.108,183310.609,1.0
-0.9,27.48472166666667,107761.108,183310.609,1.0
-0.8,28.99611,107761.108,183310.609,1.0
-0.7,30.444268571428573,107761.108,183310.609,1.0
-0.6,33.11260333333333,107761.108,183310.609,1.0
-0.5,34.85033833333333,107761.108,183310.609,1.0
-0.4,39.18474111111111,107761.108,183310.609,1.0
-0.3,43.50187285714286,107761.108,183310.609,1.0
-0.2,49.4377675,107761.108,183310.609,1.0
-0.1,54.06791785714286,107761.108,183310.609,1.0
-0.0,54.569292,107761.108,183310.609,1.0
-4.9,21.61449625,107761.387,183310.199,2.0
-4.8,21.65057,107761.387,183310.199,2.0
-4.7,21.50028,107761.387,183310.199,2.0
-4.6,21.386142,107761.387,183310.199,2.0
-4.5,21.344867999999998,107761.387,183310.199,2.0
-4.4,21.251806,107761.387,183310.199,2.0
-4.3,21.159585999999997,107761.387,183310.199,2.0
-4.2,21.07414,107761.387,183310.199,2.0
-4.1,20.95215,107761.387,183310.199,2.0
-4.0,20.891923333333335,107761.387,183310.199,2.0
-3.9,20.742738,107761.387,183310.199,2.0
-3.8,20.62248333333333,107761.387,183310.199,2.0
-3.7,20.466922,107761.387,183310.199,2.0
-3.6,20.428548333333335,107761.387,183310.199,2.0
-3.5,20.105438,107761.387,183310.199,2.0
-3.4,20.086656666666666,107761.387,183310.199,2.0
-3.3,19.755275714285712,107761.387,183310.199,2.0
-3.2,19.767695,107761.387,183310.199,2.0
-3.1,19.725669999999997,107761.387,183310.199,2.0
-3.0,19.31895,107761.387,183310.199,2.0
-2.9,19.33739375,107761.387,183310.199,2.0
-2.8,19.162502857142858,107761.387,183310.199,2.0
-2.7,19.41037,107761.387,183310.199,2.0
-2.6,19.04738,107761.387,183310.199,2.0
-2.5,18.901754285714283,107761.387,183310.199,2.0
-2.4,18.86971625,107761.387,183310.199,2.0
-2.3,19.749912857142856,107761.387,183310.199,2.0
-2.2,18.79117888888889,107761.387,183310.199,2.0
-2.1,19.300294285714283,107761.387,183310.199,2.0
-2.0,18.562785555555553,107761.387,183310.199,2.0
-1.9,19.452523,107761.387,183310.199,2.0
-1.8,19.843750833333335,107761.387,183310.199,2.0
-1.7,19.369297142857143,107761.387,183310.199,2.0
-1.6,20.40625181818182,107761.387,183310.199,2.0
-1.5,20.398498,107761.387,183310.199,2.0
-1.4,20.714730833333334,107761.387,183310.199,2.0
-1.3,21.230605384615384,107761.387,183310.199,2.0
-1.2,21.736693846153848,107761.387,183310.199,2.0
-1.1,22.18871083333333,107761.387,183310.199,2.0
-1.0,22.936563333333336,107761.387,183310.199,2.0
-0.9,24.43316833333333,107761.387,183310.199,2.0
-0.8,25.05972625,107761.387,183310.199,2.0
-0.7,27.0833675,107761.387,183310.199,2.0
-0.6,29.58219933333333,107761.387,183310.199,2.0
-0.5,32.99863875,107761.387,183310.199,2.0
-0.4,38.86874842105263,107761.387,183310.199,2.0
