Z,Resistivity(ohm.m),easting,northing,ID
-4.9,3.980034,41665.091,204320.014,1.0
-4.8,3.86036,41665.091,204320.014,1.0
-4.7,4.140025294117647,41665.091,204320.014,1.0
-4.6,4.238401428571429,41665.091,204320.014,1.0
-4.5,4.33412,41665.091,204320.014,1.0
-4.4,4.476988181818182,41665.091,204320.014,1.0
-4.3,4.638528571428572,41665.091,204320.014,1.0
-4.2,4.6178015384615385,41665.091,204320.014,1.0
-4.1,4.830984,41665.091,204320.014,1.0
-4.0,4.896655,41665.091,204320.014,1.0
-3.9,5.070800666666667,41665.091,204320.014,1.0
-3.8,5.146485,41665.091,204320.014,1.0
-3.7,5.432795333333333,41665.091,204320.014,1.0
-3.6,5.462942857142857,41665.091,204320.014,1.0
-3.5,5.7738875,41665.091,204320.014,1.0
-3.4,5.867842142857143,41665.091,204320.014,1.0
-3.3,6.199451333333333,41665.091,204320.014,1.0
-3.2,6.276111333333334,41665.091,204320.014,1.0
-3.1,6.665557333333334,41665.091,204320.014,1.0
-3.0,6.816509444444445,41665.091,204320.014,1.0
-2.9,7.035362000000001,41665.091,204320.014,1.0
-2.8,7.458726666666667,41665.091,204320.014,1.0
-2.7,7.621748947368421,41665.091,204320.014,1.0
-2.6,7.911518947368421,41665.091,204320.014,1.0
-2.5,8.288661052631578,41665.091,204320.014,1.0
-2.4,8.61102625,41665.091,204320.014,1.0
-2.3,9.037120000000002,41665.091,204320.014,1.0
-2.2,9.384105,41665.091,204320.014,1.0
-2.1,9.884597142857142,41665.091,204320.014,1.0
-2.0,10.393177727272727,41665.091,204320.014,1.0
-1.9,10.905286250000001,41665.091,204320.014,1.0
-1.8,11.544705200000001,41665.091,204320.014,1.0
-1.7,11.954040416666667,41665.091,204320.014,1.0
-1.6,12.660250666666666,41665.091,204320.014,1.0
-1.5,13.264608076923079,41665.091,204320.014,1.0
-1.4,13.966701666666667,41665.091,204320.014,1.0
-1.3,14.632604666666667,41665.091,204320.014,1.0
-1.2,15.195954285714285,41665.091,204320.014,1.0
-1.1,15.88028361111111,41665.091,204320.014,1.0
-1.0,16.345845882352943,41665.091,204320.014,1.0
-0.9,17.17900527777778,41665.091,204320.014,1.0
-0.8,18.191377297297297,41665.091,204320.014,1.0
-0.7,19.140914054054054,41665.091,204320.014,1.0
-0.6,20.07408577777778,41665.091,204320.014,1.0
-0.5,21.393199318181818,41665.091,204320.014,1.0
-0.4,22.691286304347827,41665.091,204320.014,1.0
-0.3,23.933648958333333,41665.091,204320.014,1.0
-0.2,25.01731,41665.091,204320.014,1.0
-0.1,26.350851746031747,41665.091,204320.014,1.0
-0.0,24.04745,41665.091,204320.014,1.0
-4.9,3.8640075,41665.283,204319.552,2.0
-4.8,3.86036,41665.283,204319.552,2.0
-4.7,4.00148,41665.283,204319.552,2.0
-4.6,4.1462725,41665.283,204319.552,2.0
-4.5,4.1960838095238095,41665.283,204319.552,2.0
-4.4,4.307163571428571,41665.283,204319.552,2.0
-4.3,4.479058235294118,41665.283,204319.552,2.0
-4.2,4.46843875,41665.283,204319.552,2.0
-4.1,4.725729411764706,41665.283,204319.552,2.0
-4.0,4.728488666666666,41665.283,204319.552,2.0
