Z,Resistivity(ohm.m),easting,northing,ID
-4.7,3.82718,41665.091,204320.014,1.0
-4.5,4.08046,41665.091,204320.014,1.0
-4.3,4.38994,41665.091,204320.014,1.0
-4.1,4.66625,41665.091,204320.014,1.0
-4.0,4.68888,41665.091,204320.014,1.0
-3.8,5.08217,41665.091,204320.014,1.0
-3.6,5.46837,41665.091,204320.014,1.0
-3.4,6.00515,41665.091,204320.014,1.0
-3.3,6.08877,41665.091,204320.014,1.0
-3.0,6.71227,41665.091,204320.014,1.0
-2.8,7.37188,41665.091,204320.014,1.0
-2.7,7.73589,41665.091,204320.014,1.0
-2.5,8.57902,41665.091,204320.014,1.0
-2.4,9.08035,41665.091,204320.014,1.0
-2.1,10.145299999999999,41665.091,204320.014,1.0
-2.0,10.76371,41665.091,204320.014,1.0
-1.8,12.1309,41665.091,204320.014,1.0
-1.6,12.863669999999999,41665.091,204320.014,1.0
-1.4,14.394485,41665.091,204320.014,1.0
-1.3,15.16013,41665.091,204320.014,1.0
-1.1,16.70012,41665.091,204320.014,1.0
-1.0,17.473785,41665.091,204320.014,1.0
-0.8,18.8185,41665.091,204320.014,1.0
-0.7,19.341,41665.091,204320.014,1.0
-0.5,20.75999333333333,41665.091,204320.014,1.0
-0.3,20.207735,41665.091,204320.014,1.0
-0.2,22.370675,41665.091,204320.014,1.0
-0.1,23.072383333333335,41665.091,204320.014,1.0
-0.0,24.70082,41665.091,204320.014,1.0
-4.9,3.55173,41665.283,204319.552,2.0
-4.7,3.66704,41665.283,204319.552,2.0
-4.5,3.919715,41665.283,204319.552,2.0
-4.3,4.2219999999999995,41665.283,204319.552,2.0
-4.1,4.513439999999999,41665.283,204319.552,2.0
-4.0,4.53259,41665.283,204319.552,2.0
-3.8,5.08217,41665.283,204319.552,2.0
-3.7,4.7613,41665.283,204319.552,2.0
-3.6,5.30203,41665.283,204319.552,2.0
-3.4,5.646036666666667,41665.283,204319.552,2.0
-3.3,5.901365,41665.283,204319.552,2.0
-3.1,6.27598,41665.283,204319.552,2.0
-3.0,6.632403333333333,41665.283,204319.552,2.0
-2.8,7.266226666666667,41665.283,204319.552,2.0
-2.7,7.66057,41665.283,204319.552,2.0
-2.5,8.504965,41665.283,204319.552,2.0
-2.4,9.08035,41665.283,204319.552,2.0
-2.3,8.89852,41665.283,204319.552,2.0
-2.1,10.074716666666667,41665.283,204319.552,2.0
-2.0,10.750689999999999,41665.283,204319.552,2.0
-1.8,12.1309,41665.283,204319.552,2.0
-1.7,12.34305,41665.283,204319.552,2.0
-1.6,13.04997,41665.283,204319.552,2.0
-1.4,14.616886666666668,41665.283,204319.552,2.0
-1.3,15.635103333333333,41665.283,204319.552,2.0
-1.1,17.345486666666666,41665.283,204319.552,2.0
-1.0,17.859309999999997,41665.283,204319.552,2.0
-0.8,19.388833333333334,41665.283,204319.552,2.0
-0.7,20.716313333333336,41665.283,204319.552,2.0
-0.6,23.381320000000002,41665.283,204319.552,2.0
-0.5,21.74846,41665.283,204319.552,2.0
-0.4,26.90426,41665.283,204319.552,2.0
-0.3,23.815148,41665.283,204319.552,2.0
-0.2,22.370675,41665.283,204319.552,2.0
-0.1,26.540095714285716,41665.283,204319.552,2.0
-0.0,24.70082,41665.283,204319.552,2.0
-4.9,3.398835,41665.475,204319.091,3.0
-4.7,3.3619649999999996,41665.475,204319.091,3.0
-4.5,3.616315,41665.475,204319.091,3.0
-4.3,3.901765,41665.475,204319.091,3.0
-4.1,4.208615,41665.475,204319.091,3.0
-4.0,4.232984999999999,41665.475,204319.091,3.0
-3.7,4.61789,41665.475,204319.091,3.0
-3.6,4.842773333333334,41665.475,204319.091,3.0
-3.4,5.33518,41665.475,204319.091,3.0
-3.3,5.577529999999999,41665.475,204319.091,3.0
-3.1,6.145185,41665.475,204319.091,3.0
-3.0,6.477956666666667,41665.475,204319.091,3.0
-2.8,7.087350000000001,41665.475,204319.091,3.0
-2.7,7.455045,41665.475,204319.091,3.0
-2.5,8.29615,41665.475,204319.091,3.0
-2.3,8.752656666666667,41665.475,204319.091,3.0
-2.1,9.751339999999999,41665.475,204319.091,3.0
-2.0,10.35966,41665.475,204319.091,3.0
-1.8,11.596905,41665.475,204319.091,3.0
-1.7,12.461453333333333,41665.475,204319.091,3.0
-1.6,13.26002,41665.475,204319.091,3.0
-1.5,13.600635,41665.475,204319.091,3.0
-1.4,15.19266,41665.475,204319.091,3.0
-1.3,15.602446666666665,41665.475,204319.091,3.0
-1.2,16.04278,41665.475,204319.091,3.0
-1.1,17.74567,41665.475,204319.091,3.0
-1.0,18.674466666666664,41665.475,204319.091,3.0
-0.8,20.775299999999998,41665.475,204319.091,3.0
-0.7,21.61955,41665.475,204319.091,3.0
-0.6,23.82699,41665.475,204319.091,3.0
-0.5,25.393469999999997,41665.475,204319.091,3.0
-0.4,27.320975,41665.475,204319.091,3.0
-0.3,26.980086,41665.475,204319.091,3.0
-0.1,28.782365714285714,41665.475,204319.091,3.0
-4.9,3.1089599999999997,41665.667,204318.629,4.0
-4.7,3.08824,41665.667,204318.629,4.0
-4.5,3.47366,41665.667,204318.629,4.0
-4.4,3.24616,41665.667,204318.629,4.0
-4.3,3.620215,41665.667,204318.629,4.0
-4.1,3.925895,41665.667,204318.629,4.0
-4.0,3.971815,41665.667,204318.629,4.0
-3.7,4.35274,41665.667,204318.629,4.0
-3.6,4.574673333333333,41665.667,204318.629,4.0
-3.4,5.07258,41665.667,204318.629,4.0
-3.3,5.16977,41665.667,204318.629,4.0
-3.2,5.27807,41665.667,204318.629,4.0
-3.1,6.01439,41665.667,204318.629,4.0
-3.0,6.10811,41665.667,204318.629,4.0
-2.8,6.65514,41665.667,204318.629,4.0
-2.7,6.9547300000000005,41665.667,204318.629,4.0
-2.5,7.77025,41665.667,204318.629,4.0
-2.3,8.25048,41665.667,204318.629,4.0
-2.1,9.34442,41665.667,204318.629,4.0
-2.0,9.928286666666667,41665.667,204318.629,4.0
-1.8,11.3209,41665.667,204318.629,4.0
-1.7,12.447153333333333,41665.667,204318.629,4.0
-1.6,12.593615,41665.667,204318.629,4.0
-1.5,13.471849999999998,41665.667,204318.629,4.0
-1.4,15.32363,41665.667,204318.629,4.0
-1.3,14.814824999999999,41665.667,204318.629,4.0
-1.2,15.465029999999999,41665.667,204318.629,4.0
-1.1,17.550975,41665.667,204318.629,4.0
-1.0,17.67616,41665.667,204318.629,4.0
-0.8,20.356503333333333,41665.667,204318.629,4.0
-0.7,20.73899333333333,41665.667,204318.629,4.0
-0.6,24.617130000000003,41665.667,204318.629,4.0
-0.5,24.6276825,41665.667,204318.629,4.0
-0.4,27.73769,41665.667,204318.629,4.0
-0.3,28.5504975,41665.667,204318.629,4.0
-0.2,24.777435,41665.667,204318.629,4.0
-0.1,23.747984285714285,41665.667,204318.629,4.0
-0.0,10.6245,41665.667,204318.629,4.0
-4.9,2.97198,41665.858,204318.167,5.0
-4.8,2.70874,41665.858,204318.167,5.0
-4.7,2.816195,41665.858,204318.167,5.0
-4.4,3.24616,41665.858,204318.167,5.0
-4.3,3.3355599999999996,41665.858,204318.167,5.0
-4.1,3.5896333333333335,41665.858,204318.167,5.0
-4.0,3.85396,41665.858,204318.167,5.0
-3.9,3.62956,41665.858,204318.167,5.0
-3.7,4.095505,41665.858,204318.167,5.0
