Z,Resistivity(ohm.m),easting,northing,ID
-1.9,13.031229999999999,107761.949,183309.372,4.0
-1.8,11.4873,107761.949,183309.372,4.0
-1.7,13.716115,107761.949,183309.372,4.0
-1.6,12.767523333333335,107761.949,183309.372,4.0
-1.5,13.341915,107761.949,183309.372,4.0
-1.4,14.16707,107761.949,183309.372,4.0
-1.3,14.63308,107761.949,183309.372,4.0
-1.2,16.356806666666667,107761.949,183309.372,4.0
-1.1,17.3767025,107761.949,183309.372,4.0
-1.0,18.830215000000003,107761.949,183309.372,4.0
-0.9,21.461727500000002,107761.949,183309.372,4.0
-0.8,24.394534999999998,107761.949,183309.372,4.0
-0.7,28.981530000000003,107761.949,183309.372,4.0
-0.6,35.310495,107761.949,183309.372,4.0
-0.5,39.7566225,107761.949,183309.372,4.0
-0.4,50.82496,107761.949,183309.372,4.0
-0.3,53.35449,107761.949,183309.372,4.0
-0.1,60.72572,107761.949,183309.372,4.0
-4.2,22.744464999999998,107762.23,183308.958,5.0
-4.1,22.246409999999997,107762.23,183308.958,5.0
-3.8,21.043426666666665,107762.23,183308.958,5.0
-3.7,20.36061,107762.23,183308.958,5.0
-3.4,18.992905,107762.23,183308.958,5.0
-3.3,18.327090000000002,107762.23,183308.958,5.0
-3.1,16.929213333333333,107762.23,183308.958,5.0
-3.0,16.255685,107762.23,183308.958,5.0
-2.8,15.013905000000001,107762.23,183308.958,5.0
-2.7,14.475083333333332,107762.23,183308.958,5.0
-2.6,13.33656,107762.23,183308.958,5.0
-2.5,14.17076,107762.23,183308.958,5.0
-2.4,12.866653333333334,107762.23,183308.958,5.0
-2.3,11.33943,107762.23,183308.958,5.0
-2.2,12.524429999999999,107762.23,183308.958,5.0
-2.1,11.521585,107762.23,183308.958,5.0
-2.0,10.647305,107762.23,183308.958,5.0
-1.9,12.357795,107762.23,183308.958,5.0
-1.8,10.897636666666665,107762.23,183308.958,5.0
-1.7,10.69013,107762.23,183308.958,5.0
-1.6,11.890233333333333,107762.23,183308.958,5.0
-1.5,11.524423333333333,107762.23,183308.958,5.0
-1.4,13.34182,107762.23,183308.958,5.0
-1.3,13.67354,107762.23,183308.958,5.0
-1.2,14.532515,107762.23,183308.958,5.0
-1.1,16.843166666666665,107762.23,183308.958,5.0
-1.0,18.763086666666666,107762.23,183308.958,5.0
-0.9,21.64871,107762.23,183308.958,5.0
-0.8,26.18777,107762.23,183308.958,5.0
-0.7,30.66921,107762.23,183308.958,5.0
-0.6,36.103260000000006,107762.23,183308.958,5.0
-0.5,43.20881,107762.23,183308.958,5.0
-0.4,51.55010333333333,107762.23,183308.958,5.0
-0.3,56.485446,107762.23,183308.958,5.0
-0.1,65.83932874999999,107762.23,183308.958,5.0
-4.2,23.104660000000003,107762.511,183308.545,6.0
-4.1,22.508816666666664,107762.511,183308.545,6.0
-3.8,21.03109,107762.511,183308.545,6.0
-3.7,20.218635,107762.511,183308.545,6.0
-3.4,18.59904,107762.511,183308.545,6.0
-3.3,17.564025,107762.511,183308.545,6.0
-3.1,16.15148,107762.511,183308.545,6.0
-3.0,15.683315,107762.511,183308.545,6.0
-2.9,14.702335,107762.511,183308.545,6.0
-2.8,14.48775,107762.511,183308.545,6.0
-2.7,13.049325,107762.511,183308.545,6.0
-2.6,12.421880000000002,107762.511,183308.545,6.0
-2.4,11.640635,107762.511,183308.545,6.0
-2.3,10.89253,107762.511,183308.545,6.0
-2.2,10.32597,107762.511,183308.545,6.0
-2.1,10.7761,107762.511,183308.545,6.0
-2.0,10.39557,107762.511,183308.545,6.0
-1.9,9.31147,107762.511,183308.545,6.0
-1.8,10.602805,107762.511,183308.545,6.0
-1.7,10.18972,107762.511,183308.545,6.0
-1.6,10.550245,107762.511,183308.545,6.0
-1.5,11.335564999999999,107762.511,183308.545,6.0
-1.4,11.3421,107762.511,183308.545,6.0
-1.3,12.630555000000001,107762.511,183308.545,6.0
-1.2,14.3800025,107762.511,183308.545,6.0
-1.1,16.44153,107762.511,183308.545,6.0
-1.0,19.516863333333333,107762.511,183308.545,6.0
-0.9,23.114293333333336,107762.511,183308.545,6.0
-0.8,26.867793333333335,107762.511,183308.545,6.0
-0.7,31.73151,107762.511,183308.545,6.0
-0.6,37.46577,107762.511,183308.545,6.0
-0.5,43.899296666666665,107762.511,183308.545,6.0
-0.4,52.87501666666666,107762.511,183308.545,6.0
-0.3,57.4787825,107762.511,183308.545,6.0
-0.2,67.53103,107762.511,183308.545,6.0
-0.1,70.533235,107762.511,183308.545,6.0
-4.2,23.77015,107762.792,183308.131,7.0
-4.1,23.50702,107762.792,183308.131,7.0
-3.9,22.79025,107762.792,183308.131,7.0
-3.8,21.08144,107762.792,183308.131,7.0
-3.7,20.53556,107762.792,183308.131,7.0
-3.6,20.06151,107762.792,183308.131,7.0
-3.4,18.286095,107762.792,183308.131,7.0
-3.3,17.572145,107762.792,183308.131,7.0
-3.2,17.00942,107762.792,183308.131,7.0
-3.0,15.349205000000001,107762.792,183308.131,7.0
-2.9,14.503076666666667,107762.792,183308.131,7.0
-2.7,12.617385,107762.792,183308.131,7.0
-2.6,11.8818925,107762.792,183308.131,7.0
-2.5,11.00707,107762.792,183308.131,7.0
-2.4,10.487476666666668,107762.792,183308.131,7.0
-2.3,10.669080000000001,107762.792,183308.131,7.0
-2.2,9.844225,107762.792,183308.131,7.0
-2.1,9.47944,107762.792,183308.131,7.0
-2.0,9.29849,107762.792,183308.131,7.0
-1.9,9.31147,107762.792,183308.131,7.0
-1.8,8.604935000000001,107762.792,183308.131,7.0
-1.7,9.30717,107762.792,183308.131,7.0
-1.6,9.1639,107762.792,183308.131,7.0
-1.5,9.614419999999999,107762.792,183308.131,7.0
-1.4,11.257263333333334,107762.792,183308.131,7.0
-1.3,11.39616,107762.792,183308.131,7.0
-1.2,13.077285,107762.792,183308.131,7.0
-1.1,15.988199999999999,107762.792,183308.131,7.0
-1.0,17.697586666666666,107762.792,183308.131,7.0
-0.9,23.114293333333336,107762.792,183308.131,7.0
-0.8,25.634414999999997,107762.792,183308.131,7.0
-0.7,31.063589999999998,107762.792,183308.131,7.0
-0.6,38.1864875,107762.792,183308.131,7.0
-0.5,44.98296333333334,107762.792,183308.131,7.0
-0.4,53.45044333333333,107762.792,183308.131,7.0
-0.3,58.2364075,107762.792,183308.131,7.0
-0.2,65.87325,107762.792,183308.131,7.0
-0.1,67.94099833333333,107762.792,183308.131,7.0
-4.2,24.68385,107763.073,183307.718,8.0
-4.1,24.492265000000003,107763.073,183307.718,8.0
-3.9,23.031315,107763.073,183307.718,8.0
-3.8,21.99571,107763.073,183307.718,8.0
-3.7,20.88796,107763.073,183307.718,8.0
-3.6,20.22625,107763.073,183307.718,8.0
-3.5,19.708,107763.073,183307.718,8.0
-3.4,18.764295,107763.073,183307.718,8.0
-3.3,17.78375,107763.073,183307.718,8.0
-3.2,17.024456666666666,107763.073,183307.718,8.0
-3.0,14.95172,107763.073,183307.718,8.0
-2.9,14.18188,107763.073,183307.718,8.0
-2.8,13.62387,107763.073,183307.718,8.0
-2.7,12.51538,107763.073,183307.718,8.0
-2.6,11.85854,107763.073,183307.718,8.0
-2.5,10.96902,107763.073,183307.718,8.0
-2.4,10.249120000000001,107763.073,183307.718,8.0
-2.3,9.562735,107763.073,183307.718,8.0
-2.2,9.086165000000001,107763.073,183307.718,8.0
-2.1,9.06066,107763.073,183307.718,8.0
-2.0,8.24857,107763.073,183307.718,8.0
-1.8,8.327756666666668,107763.073,183307.718,8.0
-1.7,7.617543333333333,107763.073,183307.718,8.0
-1.6,8.82429,107763.073,183307.718,8.0
-1.5,9.089926666666667,107763.073,183307.718,8.0
-1.4,9.978785,107763.073,183307.718,8.0
-1.3,9.856435000000001,107763.073,183307.718,8.0
-1.2,11.2258375,107763.073,183307.718,8.0
-1.1,14.599793333333333,107763.073,183307.718,8.0
-1.0,16.036923333333334,107763.073,183307.718,8.0
-0.9,18.291265000000003,107763.073,183307.718,8.0
-0.8,25.441443333333336,107763.073,183307.718,8.0
-0.7,28.023195,107763.073,183307.718,8.0
-0.6,35.6678025,107763.073,183307.718,8.0
