,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_end,pos
0,107761.335,183310.273,3.913388967898698,6.9247239928382225,12.083270903443733,18.22906646447253,24.56239783277522,30.625568626261195,36.18766228798765,41.153644948118576,45.505141450283425,49.26656538288491,52.48016679692917,55.197956149446725,57.471920506075186,59.353078723859106,60.88914090196586,62.12158573328199,63.088519949608965,63.82402682551495,64.35748547519059,64.715283357479,0.0
1,107761.335,183310.273,3.913388967898698,6.9247239928382225,12.083270903443733,18.22906646447253,24.56239783277522,30.625568626261195,36.18766228798765,41.153644948118576,45.505141450283425,49.26656538288491,52.48016679692917,55.197956149446725,57.471920506075186,59.353078723859106,60.88914090196586,62.12158573328199,63.088519949608965,63.82402682551495,64.35748547519059,64.715283357479,0.030030167
2,107761.335,183310.273,3.913388967898698,6.9247239928382225,12.083270903443733,18.22906646447253,24.56239783277522,30.625568626261195,36.18766228798765,41.153644948118576,45.505141450283425,49.26656538288491,52.48016679692917,55.197956149446725,57.471920506075186,59.353078723859106,60.88914090196586,62.12158573328199,63.088519949608965,63.82402682551495,64.35748547519059,64.715283357479,0.060060335
3,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.090090502
4,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.12012067
5,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.150150837
6,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.180181004
7,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.210211172
8,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.240241339
9,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.270271507
10,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.300301674
11,107761.486,183310.042,3.3313364458196943,6.5621924364168605,12.133868116550783,18.79872594779037,25.6697869238453,32.224411381181795,38.189283689365524,43.44764737135993,47.974506256327274,51.79522317711324,54.9592656953628,57.52984998800532,59.56970955248774,61.14054554897358,62.300962546707005,63.103664315681414,63.593884374752626,63.811687561037694,63.792354989545125,63.56791104501371,0.330331841
12,107761.639,183309.81,3.5817323457360195,6.750683997237076,12.249271654178765,18.86060490451002,25.707908835587215,32.26793155458595,38.26389887665118,43.57242034012363,48.16231842876059,52.054797864581964,55.29870812653037,57.95198746294419,60.07609876102296,61.73219075198866,62.976370093468326,63.86235897749497,64.43231091944018,64.72796904344388,64.78488885544355,64.63319365835432,0.360362009
13,107761.639,183309.81,3.5817323457360195,6.750683997237076,12.249271654178765,18.86060490451002,25.707908835587215,32.26793155458595,38.26389887665118,43.57242034012363,48.16231842876059,52.054797864581964,55.29870812653037,57.95198746294419,60.07609876102296,61.73219075198866,62.976370093468326,63.86235897749497,64.43231091944018,64.72796904344388,64.78488885544355,64.63319365835432,0.390392176
