,x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,name,x_clhs,y_clhs,wet_weight,dry_weight,grav_mois,bd,porosity,vol_moist,ph-eau,CEC,clay,total silt,tot_sand,TOC,humus,Soil moisture (%),Soil Temperature (°C),Bulk EC (raw) [mS/m],Bulk EC (TC) [mS/m],Pore water EC,Rawl real dielectric,Raw imaginary dielectric,Loss Tangent
5166,107720.118,183326.96,26.1909152000001,40954.67,35.8952412033848,19.4782379731381,54.6517611003814,38.2373718019186,52.845295678398,50.258492492931,0.944679566617482,1.00745081209825,1.00904279256786,0.446184333316747,1.30744069419953,-3.00863039067689,1,107719.853,183326.516,186.41,149.08,0.250402468,1.536907216,0.420035013,38.48453608,6.6,15.16,22.84,42.132,35.028,19.3,3.9,35.2,14.7,0.44,0.51,1.97,23.722,15.852,0.67
19244,107755.589,183331.1,26.8951583999997,42473.18,20.7984883883838,8.56852847814786,38.8065063563993,18.5674177837066,49.1618271851463,35.0532396139356,0.958049506537634,1.03904394788167,0.987898399079424,0.489410134189014,1.31547902965901,-2.45375306753971,2,107755.838,183331.095,183.24,149.18,0.228314788,1.537938144,0.419645983,35.11340206,6.36,6.33,10.27,50.16,39.569,12.2,2.4,31.1,14.6,0.16,0.19,0.89,20.203,5.857,0.29
22350,107797.402,183278.579,28.4706567999991,42812.37,51.9494825255885,22.5305920617952,89.5750777063114,47.9664437399955,107.978367379441,84.2646421666672,0.958535298888491,1.03160399538517,1.0535376516719,0.464473328254651,1.72576996353271,-2.64965285418825,3,107797.963,183278.886,185.88,146.05,0.272714824,1.505670103,0.431822603,41.06185567,6.6,9.75,14.066,45.87,40.063,17.2,3.4,33.3,14.0,0.27,0.32,1.35,22.041,9.626,0.44
19352,107763.816,183318.112,27.3446688,42491.37,17.424280127092,7.43090989476608,31.8440197950727,15.2175072327823,45.4568271981892,27.6423161146609,0.958228819793909,1.03727253273268,1.00008397016669,0.50536263969544,1.32146712571087,-2.77861491606504,4,107764.388,183318.416,188.61,150.72,0.251393312,1.553814433,0.413654931,39.06185567,6.33,5.8,11.237,47.195,41.568,12.8,2.6,29.7,13.1,0.16,0.19,0.95,19.107,5.809,0.3
1556,107723.005,183309.182,26.586,40592.63,41.8567689709849,22.675712785318,61.3967590986928,43.6557155208578,55.729340074493,57.7170533764804,0.952039129152348,1.02888460596619,0.99133274967348,0.477327974770511,1.3148627900694,-2.65904960350622,5,107723.617,183309.551,172.27,128.89,0.336566064,1.328762887,0.498580043,44.72164948,6.6,16.57,26.081,39.904,34.015,23.0,4.6,31.2,14.6,0.38,0.44,2.04,20.317,13.615,0.67
14669,107742.651,183330.207,26.664,41906.95,26.1648200082652,12.3902893559669,44.5073850421747,26.0194815735876,48.8100025469872,41.9996236931043,0.948616430158982,1.02889303436343,0.984506803978118,0.497617093630578,1.27802418121758,-2.36124861597465,6,107742.174,183329.651,187.79,148.11,0.267908987,1.526907216,0.423808598,40.90721649,6.5,9.941,15.97,45.215,38.815,16.8,3.4,35.5,15.0,0.28,0.33,1.38,22.226,10.165,0.46
23383,107805.822,183273.987,28.65,42915.67,50.4353741211804,19.4634522933827,90.7781370072814,43.1855482536842,115.220143158372,81.7843252598451,0.959775189893222,1.02297708329124,1.05331654309547,0.349025086400764,1.80408662015882,-3.18389082801789,7,107806.339,183274.885,198.82,159.5,0.246520376,1.644329897,0.379498152,40.53608247,6.56,9.868,15.173,44.224,40.602,17.8,3.6,37.2,13.8,0.34,0.4,1.41,25.594,12.13,0.47
15706,107758.685,183312.601,27.35,42107.27,20.3026626444371,9.84076561558495,36.3057058147246,19.551984634885,48.0547353636089,34.4904902588327,0.948893144841246,1.02861848550854,0.99547968316391,0.534732760865819,1.3736407328864,-2.36767489169654,8,107758.704,183312.634,176.76,141.77,0.24680821,1.461546392,0.44847306,36.07216495,7.23,6.785,12.324,45.037,42.639,15.5,3.1,32.6,13.1,0.21,0.25,1.09,21.442,7.516,0.35
22198,107776.692,183310.756,27.5510368,42797.16,31.9802511779302,11.5563754728953,58.919169891654,26.497495243556,77.0700375372603,53.5565488377412,0.948097839639279,1.04176408294113,0.993040825455481,0.474818648936476,1.45671698514466,-2.63757858516502,9,107775.993,183310.289,180.15,140.42,0.282936904,1.447628866,0.453724956,40.95876289,6.56,6.147,11.631,49.871,38.498,12.5,2.5,36.3,13.3,0.21,0.25,0.92,24.76,7.635,0.31
5128,107726.371,183318.719,26.563,40950.86,44.6952836370036,22.9783068234774,68.8477870619875,47.8381904308836,62.3448140656786,67.2614300241636,0.944675223461878,1.02751571938736,0.97904108269087,0.536184333316747,1.36744416408389,-2.49858404834333,10,107726.74,183319.096,198.72,156.18,0.272378025,1.610103093,0.392413927,43.8556701,6.56,15.774,25.914,38.833,35.253,25.9,5.2,41.3,14.6,0.6,0.7,2.11,29.458,21.568,0.73
