npoint,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,pos
16243,107761.335,183310.273,27.45,42160.97,20.73844299,8.151814095,37.42148711,16.64094854,50.7416247,30.05232596,0.939508732,1.027910066,0.986982078,0.456442885,1.393822937,-2.456221195,0
16243,107761.335,183310.273,27.45,42160.97,20.73844299,8.151814095,37.42148711,16.64094854,50.7416247,30.05232596,0.939508732,1.027910066,0.986982078,0.456442885,1.393822937,-2.456221195,0.030030167
16243,107761.335,183310.273,27.45,42160.97,20.73844299,8.151814095,37.42148711,16.64094854,50.7416247,30.05232596,0.939508732,1.027910066,0.986982078,0.456442885,1.393822937,-2.456221195,0.060060335
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.090090502
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.12012067
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.150150837
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.180181004
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.210211172
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.240241339
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.270271507
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.300301674
16242,107761.486,183310.042,27.45,42160.87,20.93844299,8.151814095,37.42148711,16.84094854,51.0416247,31.25232596,0.939508732,1.027910066,0.986982078,0.456442885,1.383822937,-2.636221195,0.330331841
16241,107761.639,183309.81,27.45,42160.77,21.23844299,8.251814095,37.72148711,17.04094854,51.7416247,31.55232596,0.939508732,1.027910066,0.996982078,0.456442885,1.383822937,-2.636221195,0.360362009
