,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,name,depth,x_clhs,y_clhs,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t
10,107720.118,183326.96,43.9314641301294,56.59363809305111,58.473170550621035,26.1909152,40954.67,0.035895241200000004,0.01947823797,0.0546517611,0.038237371799999996,0.05284529568,0.05025849249,1,50,107719.853,183326.516,6.86,28.088,54.928,34.73,10.343,,,1.492,0.40361,20,25.4,56.8,89.9,0.09991773308862842,0.0635,0.06294483863397633,0.15139050467974002,0.15016740731779626,53.98549403113093
11,107755.589,183331.1,13.703061817129074,37.53104255102561,56.99263426055185,26.8951584,42473.18,0.020798488389999998,0.008568528478,0.03880650636,0.018567417779999998,0.04916182719,0.03505323961,2,50,107755.838,183331.095,6.77,7.12,14.82,52.238,32.942,,,1.77,0.25845,15,23.0,20.6,12.8,0.025590945481543604,0.00926,0.00965091958045776,0.1233298577423788,0.12851538799581336,46.201548228596494
12,107797.402,183278.579,42.294158216599975,89.78674190937414,124.09509997140023,28.4706568,42812.37,0.05194948253,0.02253059206,0.08957507771,0.04796644374,0.1079783674,0.08426464217,3,50,107797.963,183278.886,7.37,21.549,37.307,28.79,33.903,,,1.248,0.47371,3,26.4,60.9,97.8,0.10748150836195498,0.06989,0.06788655779169468,0.15111635622067485,0.14691137089368703,52.81494219116411
13,107763.816,183318.112,9.045016513971042,30.337692406982566,51.52960329521092,27.3446688,42491.37,0.01742428013,0.007430909895,0.031844019800000005,0.01521750723,0.0454568272,0.02764231611,4,50,107764.388,183318.416,6.79,6.41,14.739,45.399,39.861,,,1.742,0.23969,10,24.4,21.5,14.4,0.027794978418854376,0.01063,0.010756893042630332,0.12706275848619145,0.12862809215380297,46.24206560688189
14,107723.005,183309.182,53.19131757864156,64.46675198885059,61.73425272140439,26.586,40592.63,0.04185676897,0.02267571279,0.0613967591,0.04365571552,0.05572934007,0.05771705338,5,50,107723.617,183309.551,7.13,32.962,60.946,33.328,5.725,,,1.291,0.46804,7,25.4,51.0,67.1,0.08565845889528177,0.05172,0.05126782762439773,0.14580163216218175,0.14462368779874954,51.99251537916287
15,107742.651,183330.207,25.80219201345376,45.14872675056154,55.969719766272355,26.664,41906.95,0.02616482001,0.01239028936,0.04450738504,0.02601948157,0.04881000255,0.04199962369,6,50,107742.174,183329.651,6.99,14.162,26.589,43.811,29.6,,,1.379,0.45196,18,23.7,43.8,61.1,0.07472348859727368,0.04302,0.04417633474339641,0.15019796702969584,0.15425430498820983,55.45474221043147
16,107805.822,183273.987,32.29071125355489,87.93766334628411,133.64748428958077,28.65,42915.67,0.05043537412,0.01946345229,0.09077813701,0.04318554825,0.1152201432,0.08178432526,7,50,107806.339,183274.885,7.32,7.422,14.696,28.668,56.637,,,1.691,0.2201,12,27.5,18.1,15.9,0.026516602107744352,0.00984,0.009350562381295367,0.15044880628507432,0.14310099199919166,51.445103084667466
17,107758.685,183312.601,15.335728586343711,36.44423736610834,54.33754164579752,27.35,42107.27,0.02030266264,0.009840765616,0.03630570581,0.019551984629999998,0.04805473536,0.03449049026,8,50,107758.704,183312.634,6.33,7.612,16.873,46.152,36.975,,,1.876,0.15773,423,22.4,12.7,9.4,0.017251434507493765,0.00421,0.0044444310396269966,0.15863388052867833,0.1673949569997102,60.17883383192909
18,107776.692,183310.756,17.797778326828404,56.89605981505421,89.80769707190639,27.5510368,42797.16,0.03198025118,0.011556375470000001,0.05891916989,0.02649749524,0.07707003754,0.053556548839999996,9,50,107775.993,183310.289,7.24,8.751,18.018,45.765,36.217,,,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.008906585208751297,0.16062499157242016,0.16428321658094258,59.060156704819235
19,107726.371,183318.719,56.52511233485666,73.03526383942558,70.51552807216667,26.563,40950.86,0.04469528364,0.02297830682,0.06884778706,0.04783819043,0.06234481407,0.06726143002000001,10,50,107726.74,183319.096,7.19,33.2,64.061,30.681,5.259,,,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.06457015175882767,0.14531424772433985,0.14923869297891912,53.65161930229598
20,107766.469,183327.314,9.419724550738,34.70587445324602,59.59794947033804,27.1795488,42851.76,0.02045103517,0.007743880457,0.03739882672,0.016399810219999998,0.05188833344,0.03113130335,11,50,107766.796,183327.428,6.75,4.891,12.692,54.808,32.5,,,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.009303523774411238,0.11687088780528117,0.12002717432383346,43.150017828568544
21,107777.021,183299.37,20.3741655017242,63.226962014095484,97.60733226575475,27.85,42500.46,0.034432701620000006,0.01262280266,0.06473274433000001,0.029812455369999998,0.08356545721,0.06024304748,12,50,107777.193,183299.459,7.24,8.064,16.931,50.535,32.534,,,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.014538912326931509,0.14880874717411624,0.15506556344369274,55.74639130585397
22,107752.33,183298.809,42.36273932419402,65.82575494858838,74.97001641944547,27.45,41407.83,0.03867130096,0.018986035470000003,0.06360415183,0.03982014998,0.06568431762999999,0.06128327009,13,50,107751.848,183298.452,7.34,19.254,32.385,27.489,40.126,,,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.026339446447422542,0.1523186996661532,0.15643231142446115,56.23774003641895
23,107732.66,183327.436,31.279561158302876,61.19525343546052,78.56692304998273,26.5541536,41420.95,0.03446278999,0.01446014941,0.059557767660000004,0.03395605515,0.06793135205,0.05815342045,14,50,107732.833,183327.555,6.92,7.14,12.707,11.525,75.767,,,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.009953857534108938,0.15064246868673514,0.15033671360213308,54.046359991100225
24,107776.543,183291.428,32.631491113967684,72.1694751292491,101.13771132329167,27.95,42241.07,0.04113591741,0.01755223533,0.0729424524,0.03834994201,0.0876547433,0.06719781535,15,50,107776.559,183291.247,7.45,10.744,22.892,50.941,26.167,,,1.724,0.30856,400,22.8,30.7,32.4,0.04817847354827262,0.02372,0.024827058882488647,0.14435497692366328,0.15105444947328409,54.304387523705564
25,107766.469,183327.314,9.419724550738,34.70587445324602,59.59794947033804,27.1795488,42851.76,0.02045103517,0.007743880457,0.03739882672,0.016399810219999998,0.05188833344,0.03113130335,11,10,107766.796,183327.428,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.00397668062011686,0.1077020778871218,0.1115315886323461,40.095837172255116
26,107777.021,183299.37,20.3741655017242,63.226962014095484,97.60733226575475,27.85,42500.46,0.034432701620000006,0.01262280266,0.06473274433000001,0.029812455369999998,0.08356545721,0.06024304748,12,10,107777.193,183299.459,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.0048038073301888175,0.12231479038729613,0.12852883152569752,46.206381205440685
27,107752.33,183298.809,42.36273932419402,65.82575494858838,74.97001641944547,27.45,41407.83,0.03867130096,0.018986035470000003,0.06360415183,0.03982014998,0.06568431762999999,0.06128327009,13,10,107751.848,183298.452,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.005190235368323936,0.15837191635243025,0.1650308258701515,59.32892379310486
28,107732.66,183327.436,31.279561158302876,61.19525343546052,78.56692304998273,26.5541536,41420.95,0.03446278999,0.01446014941,0.059557767660000004,0.03395605515,0.06793135205,0.05815342045,14,10,107732.833,183327.555,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.014892318099376394,0.13424701360945826,0.13452038603781155,48.36035746519192
29,107776.543,183291.428,32.631491113967684,72.1694751292491,101.13771132329167,27.95,42241.07,0.04113591741,0.01755223533,0.0729424524,0.03834994201,0.0876547433,0.06719781535,15,10,107776.559,183291.247,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.009442476392974873,0.12172650849840003,0.12684462428980836,45.60090521498249
