,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,name,depth,x_clhs,y_clhs,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t
0,107720.118,183326.96,43.9314641301294,56.59363809305111,58.473170550621035,26.1909152,40954.67,0.035895241200000004,0.01947823797,0.0546517611,0.038237371799999996,0.05284529568,0.05025849249,1,10,107719.853,183326.516,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,0.031327621669965396,0.01283,0.012588833933515628,0.1415937702597306,0.13904059414391473,49.98538164380796
1,107755.589,183331.1,13.703061817129074,37.53104255102561,56.99263426055185,26.8951584,42473.18,0.020798488389999998,0.008568528478,0.03880650636,0.018567417779999998,0.04916182719,0.03505323961,2,10,107755.838,183331.095,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,0.01703016528782021,0.00409,0.004235579097989051,0.10643853304887631,0.11022311654079167,39.625438744592174
2,107797.402,183278.579,42.294158216599975,89.78674190937414,124.09509997140023,28.4706568,42812.37,0.05194948253,0.02253059206,0.08957507771,0.04796644374,0.1079783674,0.08426464217,3,10,107797.963,183278.886,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,0.024946765143411105,0.00886,0.008746707644994047,0.1287574975143799,0.12720218325915125,45.72944840521276
3,107763.816,183318.112,9.045016513971042,30.337692406982566,51.52960329521092,27.3446688,42491.37,0.01742428013,0.007430909895,0.031844019800000005,0.01521750723,0.0454568272,0.02764231611,4,10,107764.388,183318.416,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,0.013138134568614724,0.00232,0.002357506514538913,0.10510507654891779,0.10683727306405863,38.40822100028706
4,107723.005,183309.182,53.19131757864156,64.46675198885059,61.73425272140439,26.586,40592.63,0.04185676897,0.02267571279,0.0613967591,0.04365571552,0.05572934007,0.05771705338,5,10,107723.617,183309.551,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,0.02900479844691781,0.01138,0.011563975920453806,0.1423548390032776,0.14470093458811026,52.02028575996948
5,107742.651,183330.207,25.80219201345376,45.14872675056154,55.969719766272355,26.664,41906.95,0.02616482001,0.01239028936,0.04450738504,0.02601948157,0.04881000255,0.04199962369,6,10,107742.174,183329.651,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,0.03032204272878833,0.01221,0.012304497345166076,0.12251330395470031,0.12351616540819775,44.404317351507004
6,107805.822,183273.987,32.29071125355489,87.93766334628411,133.64748428958077,28.65,42915.67,0.05043537412,0.01946345229,0.09077813701,0.04318554825,0.1152201432,0.08178432526,7,10,107806.339,183274.885,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,0.01872077011101166,0.00504,0.004915309017009139,0.13615105535281205,0.13289336194053908,47.775438931532186
7,107758.685,183312.601,15.335728586343711,36.44423736610834,54.33754164579752,27.35,42107.27,0.02030266264,0.009840765616,0.03630570581,0.019551984629999998,0.04805473536,0.03449049026,8,10,107758.704,183312.634,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,0.018851409065389353,0.00512,0.005463759393683271,0.11874903348276758,0.12663707708633437,45.526291565360026
8,107776.692,183310.756,17.797778326828404,56.89605981505421,89.80769707190639,27.5510368,42797.16,0.03198025118,0.011556375470000001,0.05891916989,0.02649749524,0.07707003754,0.053556548839999996,9,10,107775.993,183310.289,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,0.016559194475144978,0.00384,0.003926669024294486,0.1077020778871218,0.11015498655929974,39.60094587510159
9,107726.371,183318.719,56.52511233485666,73.03526383942558,70.51552807216667,26.563,40950.86,0.04469528364,0.02297830682,0.06884778706,0.04783819043,0.06234481407,0.06726143002000001,10,10,107726.74,183319.096,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,0.03035432992037498,0.01223,0.012665313537507602,0.1445444281922618,0.14968392458623764,53.81168098750905
