,x,y,EC_0.30,EC_0.60,EC_1.00,EC_end,pos
0,107763.891122979,183306.285168048,28.4921097881884,45.37931240009138,98.74771034170014,44.91377160722379,11.0
1,107764.019915842,183306.079418576,31.71818459052485,37.51039950516801,159.58245683202404,13.5861486606222,12.0
2,107764.31342527,183305.61934566,28.74120954630215,69.25306070368738,111.15731844647497,39.42431390509315,13.0
3,107764.617230534,183305.153174397,25.282309844609568,76.99892014981906,120.10923890634504,47.31865761627567,14.0
4,107764.912817767,183304.705770106,30.623318266800602,113.01051771638818,80.48659033136703,51.710655887051246,15.0
5,107765.208855885,183304.261640553,28.185878761014745,86.2540907954426,192.083261257363,36.88120666631998,16.0
6,107765.519082019,183303.798507437,49.15908808281333,60.23043495102215,185.66120395545602,47.79597842030482,17.0
7,107765.673653588,183303.567958307,72.45568931525979,90.22800588030853,119.20432645848993,51.42917522663163,18.0
8,107765.976466988,183303.116904367,60.494151026649924,110.91638264084165,171.69043637258466,39.84094334339493,19.0
9,107766.261271649,183302.695111169,50.87450314515684,157.37243937231528,152.0964507882031,44.94256174993858,20.0
10,107766.56637427,183302.245245747,71.48511277221291,146.31947053891525,141.6532794460796,47.24668811261689,21.0
11,107766.892948944,183301.764861571,65.38260389833829,97.28858931567517,197.0594563346079,56.24564403960687,22.0
12,107767.075736597,183301.496034683,96.00622694211651,102.36229790759717,185.91626160859246,35.81644817898919,23.0
13,107767.422922002,183300.984667496,54.82969135669808,128.98282116964265,240.62286769847114,52.23364108671589,24.0
14,107767.738296945,183300.519553374,63.70369223920043,141.48773861856242,210.81706755773058,49.59496622335933,25.0
15,107768.012033841,183300.116110994,46.02658385207755,222.58054729079,167.32101181031408,43.04019073719411,26.0
16,107768.314201818,183299.671774851,48.92746685362351,188.00436014619663,194.37577802939424,44.21575068175902,27.0
17,107768.491445946,183299.411924499,61.383084215215526,157.75964791015863,199.49516489437863,51.109641910519656,28.0
18,107768.900347679,183298.815642995,30.397498727210685,183.05718265734174,201.86898726368787,55.0107363051898,29.0
19,107769.054144,183298.592548005,46.66158880388884,128.1164992297553,238.8534530073649,43.83791055753867,30.0
20,107769.329926647,183298.193780093,32.413398880241495,150.04215298335325,232.0021900560312,39.59775517393167,31.0
21,107769.652227533,183297.729321073,39.07647226978119,216.69875499472832,149.0028464512685,46.76716761089606,32.0
22,107769.973631241,183297.267208399,65.13375604964115,119.51243037844786,219.6716475818907,46.56011112223768,33.0
23,107770.247213055,183296.874179699,75.36458886579986,154.13746211161504,173.2211261099832,39.02453029296093,34.0
24,107770.577163847,183296.401402106,31.210208523720933,157.68503480614618,237.8313582394019,46.84979199713518,35.0
25,107770.860115891,183295.997739715,46.76070550237982,118.88463050464806,248.30554699166032,48.77445396560075,36.0
26,107771.023651063,183295.764657444,55.575401623508895,164.41754098405187,195.21892361771768,40.93192268565739,37.0
27,107771.317653548,183295.345047732,30.89390052550244,187.41964619804304,222.0381165902594,28.34918483943745,38.0
28,107771.633169874,183294.892482512,55.57146098455241,125.78365655036966,195.15437489896632,45.136714016602205,39.0
29,107771.956526987,183294.425265583,30.897851155875692,216.15799743649134,171.14475180093748,41.00236007135236,40.0
30,107772.241052212,183294.012834531,26.636820934792908,146.04559140248057,235.03173542932873,41.43741426062959,41.0
31,107772.56132671,183293.546786699,51.38797016399001,120.91063015918881,183.86539600067806,46.16267757319861,42.0
32,107772.852897262,183293.120103048,63.625754038095806,86.66322983415371,221.6600293808782,38.78205959803794,43.0
33,107773.118407389,183292.728909676,33.70391321647591,170.80049523788614,175.4737225097967,33.10644990383505,44.0
34,107773.446260349,183292.241114626,32.00086516264514,140.41948113458847,189.96437570279588,48.43046413431958,45.0
35,107773.595339141,183292.016766185,14.928285448986584,165.28176831304614,206.71596311842413,29.929546825207268,46.0
36,107773.980663386,183291.430524535,46.17446802084626,87.51904957878472,224.908677081888,37.0039688813601,47.0
37,107774.130678126,183291.200827292,31.096781462225938,144.32307385630185,177.34808518853188,55.41975544701854,48.0
38,107774.436793881,183290.731809642,34.961572109698146,142.01981025812935,195.85829501794979,38.630394351917,49.0
39,107774.779304324,183290.210190485,28.889675022800034,128.92237210032255,239.38334978466608,55.32315255260846,50.0
