ID,x_ert,y_ert,x_em,y_em,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,forward_HCPHQP,forward_PRPHQP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP
11.0,107763.8972,183306.3371,107763.8972,183306.3371,28.1,9.0,50.9,20.5,67.8,42.4,30.21462896699646,12.848178673962497,43.93999837308282,22.973809827833506,55.187475820287716,38.884171677013
12.0,107764.0323,183306.1285,107764.0323,183306.1285,28.4,9.3,52.0,21.0,68.9,43.2,31.758171794997107,13.674143435168258,45.91054413923019,24.40015398298935,56.97610448691137,40.953147961555494
13.0,107764.3457,183305.6431,107764.3457,183305.6431,29.5,9.9,54.9,22.3,71.6,44.9,33.532686421567014,14.553267083766604,48.264544155996944,26.050683943332807,59.08740934499685,43.413207746145275
14.0,107764.6566,183305.1606,107764.6566,183305.1606,31.0,10.1,56.3,23.7,74.1,47.6,35.26704568127822,15.42237250628994,50.54200534534712,27.688417865731754,61.0475250716785,45.806580192094806
15.0,107764.9495,183304.7066,107764.9495,183304.7066,33.0,10.9,59.5,25.9,76.0,51.1,37.00467268945423,16.257229789457725,52.86907871814962,29.34036473719669,63.02143667769257,48.24626687345143
16.0,107765.2262,183304.2798,107765.2262,183304.2798,35.3,12.8,61.6,28.8,76.9,52.7,39.43194669098367,17.491804308483683,56.00267764605152,31.656287012268127,65.6230312039824,51.50953798249909
17.0,107765.5199,183303.8306,107765.5199,183303.8306,37.0,14.0,64.3,30.7,79.5,55.0,42.71245443728435,19.170558157376853,60.24538313669865,34.736469318014564,69.29731088653892,55.8817015367242
18.0,107765.665,183303.6102,107765.665,183303.6102,37.8,14.2,65.9,31.4,81.1,56.7,46.0963865743934,20.855025750194194,64.69132017191352,37.90916847938869,73.17457406288875,60.44802238182152
19.0,107765.9775,183303.1391,107765.9775,183303.1391,39.7,14.5,69.8,33.5,84.0,61.5,49.380945152612966,22.43494118498696,69.06576951439239,41.006258064117205,76.94128527223351,64.9301508561422
20.0,107766.2798,183302.6873,107766.2798,183302.6873,41.0,15.7,72.4,36.3,85.6,66.8,53.404880130279764,24.490507979077783,74.2701107601253,44.79105322850333,81.42329372074221,70.26648608758711
21.0,107766.5826,183302.2372,107766.5826,183302.2372,42.1,16.7,73.6,37.9,85.6,68.2,58.53223500709838,27.18245528913185,80.79325432400807,49.6235486326811,86.9881141230379,76.9545875245095
22.0,107766.9205,183301.737,107766.9205,183301.737,43.1,17.3,75.1,39.3,86.7,69.6,61.55483678940816,28.61638359191794,84.8772849727883,52.440549292171504,90.6199840385722,81.12563010670917
23.0,107767.0703,183301.5159,107767.0703,183301.5159,43.5,17.5,75.7,39.3,87.4,70.3,62.40484295143554,29.225297796309594,85.73261725073849,53.2689740099725,91.22083312655776,82.04996277521282
24.0,107767.4281,183300.9884,107767.4281,183300.9884,44.2,17.9,76.8,40.6,87.7,71.0,63.77128782504772,30.15470635645498,87.14745473455777,54.592118061718104,92.2509165885549,83.52245797642671
25.0,107767.7068,183300.5785,107767.7068,183300.5785,44.5,18.3,76.9,40.7,89.0,70.2,65.63802976313876,31.0572439677755,89.64890387695992,56.30013139936461,94.5738996413306,86.04034721673881
26.0,107768.029,183300.1056,107768.029,183300.1056,44.7,18.2,77.3,40.3,90.9,70.4,65.7991431998518,30.911355182371103,90.26085203566994,56.300872890235624,95.6591634773831,86.58834221342987
27.0,107768.3297,183299.665,107768.3297,183299.665,44.7,17.8,78.1,39.8,92.2,70.5,63.832111876024726,29.54879943825496,88.32430223461681,54.257311066944176,94.72200845011182,84.5165873797328
28.0,107768.5048,183299.4087,107768.5048,183299.4087,44.5,17.8,78.2,39.7,92.9,70.3,62.18587642194531,28.791549626382544,86.12700799948064,52.62097656762311,93.09825589448481,82.24572271743064
29.0,107768.9068,183298.8208,107768.9068,183298.8208,43.2,17.1,76.5,38.6,94.0,69.7,61.539624155908044,28.580013836323776,85.12588118961469,51.98904126060204,92.28041176941478,81.19879340133464
30.0,107769.0577,183298.6003,107769.0577,183298.6003,42.6,16.6,76.7,37.5,95.6,69.3,61.32242593811,28.413907551786256,84.92169617956196,51.75304758304648,92.217448429996,80.9420385327392
31.0,107769.3743,183298.1381,107769.3743,183298.1381,42.1,15.9,77.1,36.2,96.7,70.0,60.66731075903261,27.728084771223774,84.60006002640257,51.02827827209847,92.38194176429063,80.50889288200689
32.0,107769.6467,183297.741,107769.6467,183297.741,43.2,16.1,77.1,36.9,95.5,69.9,60.15926586376582,27.20416438243358,84.3765356737008,50.415041785544915,92.70151565138381,80.19683304776555
33.0,107769.9654,183297.2773,107769.9654,183297.2773,43.6,17.7,76.4,39.0,93.0,68.7,60.08708506335476,26.895655002876538,84.72953879587156,50.19945037612601,93.55917458376656,80.46555193358914
34.0,107770.2848,183296.8136,107770.2848,183296.8136,43.2,18.4,74.8,39.5,92.0,68.4,60.1968044436128,26.784389508388482,85.1557354643471,50.20829192870197,94.28080891550196,80.84558267756873
35.0,107770.5726,183296.3966,107770.5726,183296.3966,42.7,17.3,75.5,38.2,91.9,68.8,59.91909971092754,26.58264566896258,84.89416235014865,49.9150907573213,94.17405076870693,80.55570125000412
36.0,107770.8661,183295.9717,107770.8661,183295.9717,43.0,16.9,76.0,38.2,92.2,70.0,59.65075461333643,26.46050368569402,84.53296919408572,49.662190286484446,93.86129297786569,80.187925253459
37.0,107771.0316,183295.7324,107771.0316,183295.7324,42.9,17.3,76.1,38.5,91.7,70.0,59.53214405668669,26.25522134467298,84.57629228555956,49.54670745997117,93.94663148911461,80.20398731909839
38.0,107771.2925,183295.355,107771.2925,183295.355,42.8,17.6,75.2,38.7,91.3,69.4,59.07169044777686,25.586050091147445,84.62313336141244,49.028592163672066,94.37638876562676,80.16660507937745
39.0,107771.614,183294.8899,107771.614,183294.8899,42.4,17.2,74.6,38.3,90.9,69.0,58.271984389275936,24.96998669714099,83.93934861034344,48.164481245768144,94.21072538703626,79.4054721993558
40.0,107771.9338,183294.4267,107771.9338,183294.4267,42.0,16.8,74.1,37.5,91.3,67.1,57.04653780755973,24.195370311915823,82.62206183414546,46.89741320933848,93.49232925246598,78.00200611938435
41.0,107772.2507,183293.9672,107772.2507,183293.9672,40.8,16.2,73.4,35.8,92.6,66.0,56.38503901608575,23.78475036472249,81.89925654906926,46.20128256848092,93.12936801185137,77.21527554950961
42.0,107772.5471,183293.5366,107772.5471,183293.5366,39.8,15.2,71.9,34.1,92.9,65.2,55.80197199675954,23.460247942901802,81.18840620832967,45.63251304082306,92.58863853065307,76.47077926573566
43.0,107772.8104,183293.1531,107772.8104,183293.1531,39.2,14.7,71.7,33.3,93.2,64.8,55.4823514995486,23.38635467869414,80.62952136606542,45.3804222801953,91.92395913626818,75.93057041264017
44.0,107773.1021,183292.7268,107773.1021,183292.7268,39.2,14.5,71.8,33.0,93.1,64.7,55.15246383644681,23.324119471921634,80.02330040512128,45.15226490513773,91.10394160600842,75.36390113078636
