ID,x_ert,y_ert,x_em,y_em,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP,forward_HCP4QP,forward_PRP4QP
11.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,82.29710551247024,43.38855589822647,109.25575471199988,68.05397791005213,123.59421839544875,108.19042579614025
12.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,85.56538119642835,42.108076421165656,115.75355434633092,70.31154303379995,130.3459314592201,114.70606344433898
13.0,41668.44947,204314.7587,41668.44947,204314.7587,108.6,41.9,136.0,78.2,149.4,135.0,89.81845548418666,43.167467492607216,122.69894001344358,73.90175865178644,137.34695970531502,122.13861841434662
14.0,41668.57399,204314.1439,41668.57399,204314.1439,111.1,46.3,139.3,81.1,152.1,143.4,97.5413686145819,48.4460142202066,132.3201862775282,81.20562242609716,146.1964556856758,133.184319254536
15.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,104.8987534976246,49.3954464364663,144.41329425550776,87.39510387509942,157.54400508496587,146.36154110918412
16.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,114.08584437718547,52.085585963231686,158.30422942719915,95.56244180035175,169.8465368520344,161.420408747222
17.0,41668.84943,204312.794,41668.84943,204312.794,119.8,50.9,150.5,92.8,159.9,158.3,125.72948089430517,58.35946527649593,173.06490678614023,106.73745593184479,181.3814419007042,178.18140552707501
18.0,41668.98012,204312.1909,41668.98012,204312.1909,124.6,50.7,158.1,96.5,165.7,165.2,133.36566158877494,59.602027830698994,184.50636350348853,113.6155339864771,190.23993140174716,190.4414270949779
19.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,136.12982353330193,59.63067778408362,189.1733418770092,115.99983879977297,194.1721383350833,195.45489455218666
20.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,134.71004530523243,61.804289033140265,186.24611312703854,114.97214336468276,192.77747145156258,193.1156717387496
21.0,41669.28864,204310.8778,41669.28864,204310.8778,130.9,50.0,169.5,98.2,179.9,176.8,134.62470413641094,65.06466762408063,183.75021691636445,115.45961533640354,190.51745218712057,191.14104833844408
22.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,136.10828760888126,66.53735847896867,184.06873219796313,117.10388256785275,189.58863060126066,191.4079491284405
23.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,138.05427862790785,70.90348920614771,183.9416304899462,119.65727782253417,188.63713156019736,191.92206209327557
24.0,41669.65117,204309.472,41669.65117,204309.472,135.3,52.2,175.0,99.5,190.1,177.1,133.62279746860685,64.757209577325,181.48946780994467,114.70449857035837,187.49614562385818,188.26387921259519
25.0,41669.81435,204308.8737,41669.81435,204308.8737,136.3,51.7,176.4,98.9,191.6,177.2,129.18757825100056,58.9567507291845,179.03666034646744,109.82484974505623,186.51363873885404,184.71062827853856
26.0,41670.00186,204308.2093,41670.00186,204308.2093,137.2,51.2,177.6,99.5,191.8,177.6,130.4839639102024,60.66242072362964,179.63698100333514,111.25743794057955,186.59343609964304,185.58391858561225
