ID,x_ert,y_ert,x_em,y_em,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,forward_HCP1QP,forward_PRP1QP,forward_HCP2QP,forward_PRP2QP,forward_HCP4QP,forward_PRP4QP
11.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,81.86075575753476,41.20481825109675,110.13100806965602,67.294781041023,124.5288606823058,108.75068474880065
12.0,41668.31481,204315.4004,41668.31481,204315.4004,105.4,39.9,131.6,73.9,148.0,127.5,85.8775058966078,42.59792838640417,116.20029085771671,70.7171420523639,130.62380126837058,115.22207467623781
13.0,41668.44947,204314.7587,41668.44947,204314.7587,108.6,41.9,136.0,78.2,149.4,135.0,91.22312558170069,45.162298701415615,123.3850550457507,75.5286994208311,137.26936821377225,123.02418413202149
14.0,41668.57399,204314.1439,41668.57399,204314.1439,111.1,46.3,139.3,81.1,152.1,143.4,96.38187617080837,46.58028644989141,131.18397109559385,79.98090476812017,144.58691121040354,131.355670151991
15.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,102.16992361062613,48.47280173781947,139.86927091894606,85.05967969032959,152.78445875104333,141.02370221710515
16.0,41668.70589,204313.4887,41668.70589,204313.4887,114.0,49.5,144.3,86.2,155.4,151.2,107.7441443684191,50.75453603042886,147.809071940453,90.08150370530588,159.96184747579264,149.71821904439352
17.0,41668.84943,204312.794,41668.84943,204312.794,119.8,50.9,150.5,92.8,159.9,158.3,113.7285049693493,53.01191642430425,156.45851542699162,95.53524660092826,167.5302397694327,159.53450428179548
18.0,41668.98012,204312.1909,41668.98012,204312.1909,124.6,50.7,158.1,96.5,165.7,165.2,119.98182508155027,56.18669597357791,164.8132688432716,101.40993652617523,174.56319815632202,169.014466682691
19.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,125.45866075857909,58.788474987136816,172.18834688461206,106.5419414225203,180.6590842765784,177.37033850054127
20.0,41669.12606,204311.5522,41669.12606,204311.5522,128.2,50.1,164.5,97.0,172.6,172.0,129.38791217001992,60.144111898819446,177.88103612528286,110.16790699962654,185.30162047683626,183.68303282021455
21.0,41669.28864,204310.8778,41669.28864,204310.8778,130.9,50.0,169.5,98.2,179.9,176.8,131.86202060103344,61.30559872779867,181.2750787270127,112.52889826897369,187.9896787788376,187.51545248799277
22.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,133.36832051291327,62.23415944044938,183.03338085174508,114.00127081817753,189.25476584493435,189.53067051214572
23.0,41669.46967,204310.1615,41669.46967,204310.1615,133.5,51.3,173.1,99.7,186.1,177.7,133.52127117386942,62.6715336081334,183.09563645181504,114.21555408446068,189.32877715609033,189.70398390405788
24.0,41669.65117,204309.472,41669.65117,204309.472,135.3,52.2,175.0,99.5,190.1,177.1,133.95968198377435,63.35620411994412,183.27839186464774,114.73857962394862,189.30670282101255,189.99721543771744
25.0,41669.81435,204308.8737,41669.81435,204308.8737,136.3,51.7,176.4,98.9,191.6,177.2,134.17124970158048,62.813878105124566,183.9370172753621,114.87186007195736,189.6945647736779,190.53739361114015
26.0,41670.00186,204308.2093,41670.00186,204308.2093,137.2,51.2,177.6,99.5,191.8,177.6,135.5494596619575,62.984817586989706,185.80217548946214,116.17026400786202,190.77749089129242,192.4305334506163
27.0,41670.00186,204308.2093,41670.00186,204308.2093,137.2,51.2,177.6,99.5,191.8,177.6,137.12632259660177,63.726561699339584,187.76787973192788,117.72936257103412,192.05505622125304,194.54169963144062
28.0,41670.15453,204307.6858,41670.15453,204307.6858,137.5,50.6,177.6,100.7,191.5,178.0,138.7481352138973,64.21037430462026,189.86528258972947,119.28947380249649,193.3647179466335,196.8254811552086
29.0,41670.3466,204307.0499,41670.3466,204307.0499,138.1,50.6,179.7,101.5,191.4,179.2,139.92398974246146,64.25881487276948,191.62688565341844,120.38163605980655,194.52919763221067,198.6775758860757
30.0,41670.52277,204306.4886,41670.52277,204306.4886,138.3,50.3,180.5,101.7,192.0,181.6,141.29711910352634,65.0605291544127,193.18407098017647,121.7682213431874,195.50457630412416,200.4045260131376
31.0,41670.73131,204305.8502,41670.73131,204305.8502,138.5,50.6,181.1,102.3,194.8,184.1,142.89382468654398,65.68115077454587,195.05050863924478,123.3312691582264,196.57393238572163,202.36897347396885
32.0,41670.73131,204305.8502,41670.73131,204305.8502,138.5,50.6,181.1,102.3,194.8,184.1,143.82499581474192,65.68879760041226,196.38279582262842,124.22856030609427,197.30166820960804,203.67528611593468
33.0,41670.91631,204305.3064,41670.91631,204305.3064,138.8,51.0,183.1,102.4,199.9,185.5,145.19666865600223,66.29178572054575,197.82895414147208,125.62265164025948,197.9000741454047,205.16916245235066
34.0,41671.12674,204304.7098,41671.12674,204304.7098,139.0,50.1,186.0,100.3,205.4,185.9,145.9947114955538,66.80733010935879,198.53103124289746,126.48507678611831,198.0379867039291,205.8954140426466
35.0,41671.35487,204304.085,41671.35487,204304.085,139.4,47.9,187.6,97.2,210.2,185.9,146.49118219485956,67.45302439588879,198.65630683056747,127.08897276971196,197.74778184470577,205.97457602679177
36.0,41671.59446,204303.4493,41671.59446,204303.4493,138.4,46.2,188.0,95.7,214.1,185.5,146.6823969103353,67.836690049002,198.48208213985575,127.41826415267565,197.14016005726754,205.77531885025059
37.0,41671.59446,204303.4493,41671.59446,204303.4493,138.4,46.2,188.0,95.7,214.1,185.5,146.35176460529325,67.3945851543441,198.1459001055799,127.15129426407644,196.54686427000553,205.27179858036135
38.0,41671.80629,204302.9022,41671.80629,204302.9022,138.7,46.8,188.5,96.4,216.0,183.9,146.0414901822951,67.18483095302079,197.83611184189832,126.90313901059025,196.15780419437604,204.77180158230058
