x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP
487532.39083222457,5665180.3141270345,0.25,54807.100000000006,192.5,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.39081908687,5665180.314127066,0.25,54807.29999999999,192.3,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.39080562576,5665180.314127099,0.25,54807.5,192.3,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.39079183736,5665180.314127132,0.25,54807.70000000001,192.7,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.3881612941,5665180.314133505,0.25,54807.899999999994,192.7,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.38398688514,5665180.314143618,0.25,54808.109999999986,192.2,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3772257237,5665180.314159998,0.25,54809.09,192.8,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.377282042,5665180.314159862,0.25,54809.29000000001,192.9,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.37737459736,5665180.314159638,0.25,54809.48999999999,192.8,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3775109799,5665180.314159308,0.25,54809.69,192.9,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.3800390999,5665180.314153182,0.25,54809.890000000014,193.0,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3911566329,5665180.314948437,0.25,54824.100000000006,192.2,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.39116583014,5665180.314984483,0.25,54824.29999999999,192.5,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3911755737,5665180.315021567,0.25,54824.5,192.7,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.39118588355,5665180.315059707,0.25,54824.70000000001,192.6,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.39120107854,5665180.321328085,0.25,54824.899999999994,192.6,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.39122519165,5665180.331276831,0.25,54825.109999999986,192.7,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.39124792226,5665180.3406544,0.25,54825.31,192.8,92.9,223.4,157.3,215.1,230.3,2.15,0.26,8.2,0.86,40.83,9.91
487532.3912608459,5665180.3466265835,0.25,54825.51000000001,192.7,93.4,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.39079377375,5665180.3474951135,0.25,54825.70999999999,192.6,93.4,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3880641653,5665180.347505821,0.25,54825.91,192.5,92.9,223.4,157.3,215.1,230.3,2.17,0.26,8.2,0.86,40.83,9.91
487532.384463121,5665180.347513165,0.25,54826.09,192.7,92.9,223.4,157.3,215.1,230.3,2.17,0.26,8.2,0.86,40.83,9.91
487532.38044389815,5665180.347518745,0.25,54826.29000000001,192.8,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3776348763,5665180.347521654,0.25,54826.48999999999,192.7,92.9,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.3788690179,5665180.347119075,0.25,54826.69,192.6,92.9,223.4,157.3,215.1,230.3,2.17,0.26,8.2,0.86,40.83,9.91
487532.3914998826,5665180.343843961,0.25,54826.890000000014,192.7,93.4,223.4,157.3,215.1,230.3,2.16,0.26,8.2,0.86,40.83,9.91
487532.41319914017,5665180.337883951,0.25,54827.109999999986,192.5,93.3,223.4,157.3,215.1,230.3,2.15,0.28,8.2,0.86,40.83,9.91
487532.4328682131,5665180.331853449,0.25,54827.31,192.4,93.3,223.4,156.7,215.1,230.3,2.15,0.28,8.2,0.81,40.83,9.91
487532.44502121833,5665180.326753259,0.25,54827.51000000001,192.4,93.2,223.4,156.7,215.1,230.3,2.16,0.27,8.2,0.81,40.83,9.91
487532.4460019854,5665180.323451407,0.25,54827.70999999999,192.5,93.3,223.4,156.7,215.1,230.3,2.15,0.27,8.2,0.81,40.83,9.91
487532.43917270855,5665180.32040438,0.25,54827.91,192.7,93.5,223.4,156.7,215.1,230.3,2.16,0.27,8.2,0.81,40.83,9.91
487532.4291507414,5665180.317616825,0.25,54828.109999999986,192.6,93.4,223.4,156.7,215.1,230.3,2.16,0.27,8.2,0.81,40.83,9.91
487532.4192968104,5665180.315438311,0.25,54828.31,192.4,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
487532.41297164257,5665180.3142184075,0.25,54828.51000000001,192.3,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
487532.41217290587,5665180.314449206,0.25,54828.70999999999,192.5,93.4,223.4,157.3,215.1,230.3,2.15,0.27,8.2,0.86,40.83,9.91
487532.4121781616,5665180.316617561,0.25,54828.91,192.7,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
487532.4121850953,5665180.319478484,0.25,54829.09,192.8,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
487532.4121928342,5665180.322672333,0.25,54829.29000000001,192.5,93.4,223.4,157.3,215.1,230.3,2.15,0.27,8.2,0.86,40.83,9.91
487532.4121982428,5665180.3248662725,0.25,54829.48999999999,192.0,93.4,223.4,157.3,215.1,230.3,2.15,0.27,8.2,0.86,40.83,9.91
487532.41215771466,5665180.325197629,0.25,54829.69,192.0,93.4,223.4,157.3,215.1,230.3,2.15,0.27,8.2,0.86,40.83,9.91
487532.40702008846,5665180.32521097,0.25,54830.94,192.3,93.4,223.4,157.3,215.1,230.3,2.15,0.27,8.2,0.86,40.83,9.91
487532.4066450856,5665180.325211406,0.25,54831.01999999999,192.5,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
487532.40515489544,5665180.325213081,0.25,54832.100000000006,192.4,93.4,223.4,157.3,215.1,230.3,2.16,0.27,8.2,0.86,40.83,9.91
