,x,y,z,t,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP4.0f9000h0.165,PRP4.1f9000h0.165,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,HCP4.0f9000h0.165_inph,PRP4.1f9000h0.165_inph,geometry,name,ID,x_clhs,y_clhs,ec_i-10cm,ec_i-50cm
2647,107720.42247517884,183327.1652732613,26.200999999999475,33302.5,55.04928944673399,67.24165355656913,41.80046881730041,62.39281336272165,58.19925196655181,43.02989104608444,1.4600074892878645,0.2331156318038499,2.4636205332320205,0.0646482150080441,1.8451647627873848,-5.774020274675945,POINT (553865.5709307101 5645509.717827976),p_clhs1,1,107719.853,183326.516,36.495,176.853
10002,107756.48177074116,183331.5834993701,26.731813699999822,34904.53999999999,20.9991507419222,22.10460821610984,33.55527317167344,29.18441288191229,61.49904758039309,37.75821762478751,1.4716274057744665,0.2511865867023585,2.5132717884367386,0.0767593616139168,2.3219220652752792,-5.7563685510859655,POINT (553901.53025105 5645514.800376372),p_clhs2,2,107755.838,183331.095,16.47,20.23
11164,107798.6790420696,183279.3095389856,27.95,35136.95,114.11849540758544,71.09927479996539,135.53496214501757,108.45433790437085,103.47578499730172,131.62254589334603,1.5216443730788058,0.2678355367285227,3.0521935447983704,0.2072145268580145,5.021056371434142,-4.64856785500708,POINT (553944.6724051919 5645463.332974073),p_clhs3,3,107797.963,183278.886,25.741,146.1
9695,107763.88838932809,183317.83087363653,27.235484799999423,34843.16,14.6863792112249,19.386787274126437,32.17039832968902,20.676741074614807,69.306066292361,38.28809166744959,1.4718204130399417,0.2690310946085361,2.520249068504272,0.111914202620643,2.7662220645860502,-5.939135116415431,POINT (553909.1873313849 5645501.191644408),p_clhs4,4,107764.388,183318.416,18.34,19.27
788,107723.14840103866,183308.9096540241,26.699000000000524,32930.71000000001,68.74400586359425,86.06499173393084,41.99290060948144,74.44499463796816,58.42419161662187,55.61106310858073,1.502608570782772,0.2881010942407732,2.925024165718769,0.1309757061921718,2.36632440408449,-7.264220420315594,POINT (553868.6329318851 5645491.521864809),p_clhs5,5,107723.617,183309.551,44.544,293.703
6854,107741.76603492562,183329.34763974324,26.402999999999885,34144.130000000005,42.02994246699708,42.29913407204796,46.344924215766206,49.36299193668167,63.67946371235588,49.4448411497708,1.4449286537581123,0.2396137322550378,2.322370638110009,0.0422855400166813,2.6243068004426746,-4.844528096452635,POINT (553886.863315018 5645512.293627407),p_clhs6,6,107742.174,183329.651,29.59,88.005
11575,107806.10468473926,183273.8703928096,28.659261199999644,35219.149999999994,124.02051095470308,84.42585538766238,144.04201858214122,122.15332749278944,110.9409229813394,144.87724228105904,1.492819987774534,0.338849504575758,3.231840679376034,0.1674420962601158,6.171502128478864,-6.5365990917669095,POINT (553952.1948238718 5645458.033852963),p_clhs7,7,107806.339,183274.885,21.222,20.093
7909,107758.5691227807,183312.79827083927,27.35,34485.899999999994,21.073936686320994,25.145716006945555,35.21425406995509,29.788863416696827,68.27355136355862,47.3834773896718,1.4755633331517692,0.2758727082003886,2.6864916111946178,0.1374169587910253,2.778026690649054,-5.28777856458626,POINT (553903.9637935396 5645496.063267923),p_clhs8,8,107758.704,183312.634,19.375,11.288
11008,107776.5750528058,183310.64245850596,26.99001920000052,35105.740000000005,62.59461529381745,43.222271273137,78.76301440310303,66.19610861507525,81.94595092279938,84.90167883698685,1.5009194955106535,0.2575257041382283,2.85423174343917,0.1533744993484987,3.4288019074134466,-5.798801406971879,POINT (553922.0004358401 5645494.241394103),p_clhs9,9,107775.993,183310.289,19.185,32.887
2714,107727.52604146884,183319.34728804417,26.62200000000012,33315.92,84.18169567898742,100.75638333631912,55.32433324783698,94.9795384885938,59.87467681717213,67.02683344011582,1.4530758396379069,0.2868051075709768,2.61058453374538,0.1153721525318656,2.253659822720081,-3.722852723653232,POINT (553872.8154084311 5645502.035122276),p_clhs10,10,107726.74,183319.096,37.889,341.247
