,x,y,z,t,HCP0.5f90000.165,PRP0.6f9000h0.165,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP0.5f9000h0.165_inph,PRP0.6f9000h0.165_inph,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,name,ID,x_clhs,y_clhs,ec_i-10cm,ec_i-50cm
5166,107720.117738372,183326.959902559,26.1909152000001,40954.67,52.18731790903319,49.05273445382613,51.6181053529658,63.83285599108762,35.85009807403792,55.75278642971381,0.944679566617482,1.00745081209825,1.00904279256786,0.446184333316747,1.30744069419953,-3.00863039067689,p_clhs1,1,107719.853,183326.516,36.495,176.853
19244,107755.589190752,183331.100489861,26.8951583999997,42473.18,16.512443793523662,18.07469016851384,21.88380711009308,24.230130417805764,29.554972158864324,28.43331003275566,0.958049506537634,1.03904394788167,0.987898399079424,0.489410134189014,1.31547902965901,-2.45375306753971,p_clhs2,2,107755.838,183331.095,16.47,20.23
22350,107797.401544918,183278.57899222,28.4706567999991,42812.37,90.70814403990782,57.72308804352285,119.37021201064611,83.44733209889678,137.35738611917358,117.22837415590418,0.958535298888491,1.03160399538517,1.0535376516719,0.464473328254651,1.72576996353271,-2.64965285418825,p_clhs3,3,107797.963,183278.886,25.741,146.1
19352,107763.815597682,183318.112286904,27.3446688,42491.37,8.642002901589162,14.845470615374095,9.100944126569976,17.492703445685358,23.29955297584672,15.155926516311006,0.958228819793909,1.03727253273268,1.00008397016669,0.50536263969544,1.32146712571087,-2.77861491606504,p_clhs4,4,107764.388,183318.416,18.34,19.27
1556,107723.005060785,183309.181768966,26.586,40592.63,66.43114384253435,58.13534503721247,64.48875923653583,74.7544675696476,40.82875653578994,69.19176442468337,0.952039129152348,1.02888460596619,0.99133274967348,0.477327974770511,1.3148627900694,-2.65904960350622,p_clhs5,5,107723.617,183309.551,44.544,293.703
13734,107742.786781999,183330.053314048,26.672,41813.46,27.770210761617143,28.072734685762523,32.27068459769535,37.88677829710027,30.316971373864003,40.15502558828745,0.938618541326243,1.02889303436343,0.973402046448379,0.512842731076655,1.28802418121758,-2.47571999551677,p_clhs6,6,107742.174,183329.651,29.59,88.005
23383,107805.822078311,183273.987327432,28.65,42915.67,87.05397133172751,49.01073845176015,121.7494314439756,73.8065504879755,151.587408112655,112.72697498938967,0.959775189893222,1.02297708329124,1.05331654309547,0.349025086400764,1.80408662015882,-3.18389082801789,p_clhs7,7,107806.339,183274.885,21.222,20.093
15706,107758.685246777,183312.601172566,27.35,42107.27,15.352851379288042,21.68626889995347,17.26799703480868,26.2107147609275,27.677489155148123,27.424215934673896,0.948893144841246,1.02861848550854,0.99547968316391,0.534732760865819,1.3736407328864,-2.36767489169654,p_clhs8,8,107758.704,183312.634,19.375,11.288
22198,107776.692175805,183310.755670886,27.5510368,42797.16,42.87676400585722,26.556867471525194,59.74783144177994,40.18763133823957,78.8851085688495,61.69220187285104,0.948097839639279,1.04176408294113,0.993040825455481,0.474818648936476,1.45671698514466,-2.63757858516502,p_clhs9,9,107775.993,183310.289,19.185,32.887
5128,107726.370663997,183318.719064341,26.563,40950.86,73.23916146929032,58.99496025915244,78.83412988097821,83.18865184511122,52.404134294568166,86.42546470421044,0.944675223461878,1.02751571938736,0.97904108269087,0.536184333316747,1.36744416408389,-2.49858404834333,p_clhs10,10,107726.74,183319.096,37.889,341.247
22744,107766.468953537,183327.314254961,27.1795488000001,42851.76,15.699750207158177,15.733842386920344,19.282540069646387,19.870342628368505,34.20763098355117,21.40367612496724,0.949088129928511,1.03144032898482,1.0037793794058,0.494615183894539,1.30249558512636,-2.62960620033015,p_clhs11,11,107766.796,183327.428,17.833,14.671
19443,107777.021270032,183299.369659998,27.85,42500.46,48.70489135067449,29.584668510750276,70.89556836146558,46.86169897024361,90.85912389581456,73.74881788839359,0.958453562711393,1.02694229535157,1.00049570549694,0.464205340697371,1.45073138526894,-2.47968799272795,p_clhs12,12,107777.193,183299.459,20.874,11.363
9680,107752.330282581,183298.809192402,27.45,41407.83,58.81061656001221,47.65474152190179,68.72514709918808,67.02266276495821,58.325622849806194,75.62627858234502,0.947684167949704,1.03217423528715,1.00885468264762,0.488922160300447,1.4001092530263,-2.48358282716056,p_clhs13,13,107751.848,183298.452,26.383,91.369
9811,107732.66007035,183327.436330498,26.5541535999993,41420.95,48.77648419594083,34.80166945835475,60.96836317889665,55.20693496255865,62.33838940295509,69.97879344284831,0.947779638953972,1.02207197635239,0.998656816152126,0.437652973930523,1.36032258895054,-2.59364983441393,p_clhs14,14,107732.833,183327.555,34.472,10.172
17044,107776.543341175,183291.427672797,27.95,42241.07,64.70481269683003,43.58255552225686,86.77092079039741,64.05970594788914,98.4854045038556,86.31046419902287,0.952446743750763,1.01537535983272,1.02990020135065,0.40261196061598,1.59987689151629,-3.14116963106649,p_clhs15,15,107776.559,183291.247,23.614,37.292
